locations,links,details,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Bedfordshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86413,success,,,date | job title | company working | location working | link,,,
Berkshire,https://www.adzuna.co.uk/jobs/search?ac_where=1&f=1&loc=86464,success,,,,,,
Bristol,https://www.adzuna.co.uk/jobs/search?f=1&loc=56201,unprocessed,,,,,,
Buckinghamshire,https://www.adzuna.co.uk/jobs/search?ac_where=1&f=1&loc=86395,unprocessed,,,job title,company working,location working,link
Cambridgeshire,https://www.adzuna.co.uk/jobs/search?ac_where=1&f=1&loc=86420,unprocessed,,,,,,
Cheshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86452,unprocessed,,,https://vimeo.com/859768062/37eda9c993,,,
Cornwall,https://www.adzuna.co.uk/jobs/search?ac_where=1&f=1&loc=86456,unprocessed,,,,,,
Cumbria,https://www.adzuna.co.uk/jobs/search?f=1&loc=86417,unprocessed,,,,,,
Derbyshire,https://www.adzuna.co.uk/jobs/search?ac_where=1&f=1&loc=86421,unprocessed,,,,,,
Devon,https://www.adzuna.co.uk/jobs/search?ac_where=1&f=1&loc=86409,unprocessed,,,,,,
Dorset,https://www.adzuna.co.uk/jobs/search?ac_where=1&f=1&loc=86404,unprocessed,,,,,,
Durham,https://www.adzuna.co.uk/jobs/search?ac_where=1&f=1&loc=63195,unprocessed,,,,,,
Essex,https://www.adzuna.co.uk/jobs/search?f=1&loc=86458,unprocessed,,,,,,
Gloucestershire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86406,unprocessed,,,,,,
Greater Manchester,https://www.adzuna.co.uk/jobs/search?f=1&loc=67883,unprocessed,,,,,,
Hampshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86437,unprocessed,,,,,,
Herefordshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86454,unprocessed,,,,,,
Hertfordshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86414,unprocessed,,,,,,
Isle of Wight,https://www.adzuna.co.uk/jobs/search?f=1&loc=86469,unprocessed,,,,,,
Kent,https://www.adzuna.co.uk/jobs/search?f=1&loc=86465,unprocessed,,,,,,
Lancashire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86415,unprocessed,,,,,,
Leicestershire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86402,unprocessed,,,,,,
Lincolnshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86449,unprocessed,,,,,,
London,https://www.adzuna.co.uk/jobs/search?f=1&loc=86384,unprocessed,,,,,,
Merseyside,https://www.adzuna.co.uk/jobs/search?ac_where=1&f=1&loc=86419,unprocessed,,,,,,
Norfolk,https://www.adzuna.co.uk/jobs/search?f=1&loc=86455,unprocessed,,,,,,
Northamptonshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86412,unprocessed,,,,,,
Northumberland,https://www.adzuna.co.uk/jobs/search?f=1&loc=86410,unprocessed,,,,,,
Nottinghamshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86457,unprocessed,,,,,,
Oxfordshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86411,unprocessed,,,,,,
Rutland,https://www.adzuna.co.uk/jobs/search?f=1&loc=86577,unprocessed,,,,,,
Shropshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86446,unprocessed,,,,,,
Somerset,https://www.adzuna.co.uk/jobs/search?f=1&loc=86448,unprocessed,,,,,,
Staffordshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86416,unprocessed,,,,,,
Suffolk,https://www.adzuna.co.uk/jobs/search?f=1&loc=86472,unprocessed,,,,,,
Surrey,https://www.adzuna.co.uk/jobs/search?f=1&loc=86463,unprocessed,,,,,,
Sussex,https://www.adzuna.co.uk/jobs/search?f=1&loc=86466,unprocessed,,,,,,
Tyne and Wear,https://www.adzuna.co.uk/jobs/search?f=1&loc=86389,unprocessed,,,,,,
Warwickshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86436,unprocessed,,,,,,
West Midlands,https://www.adzuna.co.uk/jobs/search?f=1&loc=86407,unprocessed,,,,,,
Wiltshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86459,unprocessed,,,,,,
Worcestershire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86435,unprocessed,,,,,,
Yorkshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86386,unprocessed,,,,,,
City of Glasgow,https://www.adzuna.co.uk/jobs/search?ac_where=1&f=1&loc=86470,unprocessed,,,,,,
City of Edinburgh,https://www.adzuna.co.uk/jobs/search?ac_where=1&f=1&loc=86566,unprocessed,,,,,,
Fife,https://www.adzuna.co.uk/jobs/search?f=1&loc=86493,unprocessed,,,,,,
South Lanarkshire,https://www.adzuna.co.uk/jobs/search?loc=86468&ac_where=1,unprocessed,,,,,,
North Lanarkshire,https://www.adzuna.co.uk/jobs/search?ac_where=1&f=1&loc=86477,unprocessed,,,,,,
Aberdeenshire,https://www.adzuna.co.uk/jobs/search?f=1&loc=86443,unprocessed,,,,,,
Highland,https://www.adzuna.co.uk/jobs/search?f=1&loc=86494,unprocessed,,,,,,
West Lothian,https://www.adzuna.co.uk/jobs/search?ac_where=1&f=1&loc=86487,unprocessed,,,,,,
Renfrewshire,https://www.adzuna.co.uk/jobs/search?ac_where=1&f=1&loc=86480,unprocessed,,,,,,
Falkirk,https://www.adzuna.co.uk/jobs/search?f=1&loc=64519,unprocessed,,,,,,
Perth and Kinross,https://www.adzuna.co.uk/jobs/search?f=1&loc=86496,unprocessed,,,,,,
