date,job title,company working,location working,link
24h,Dental Nurse,east boldon dental practice,"East Boldon, England","https://www.glassdoor.co.uk/job-listing/dental-nurse-east-boldon-dental-practice-JV_IC2701276_KO0,12_KE13,40.htm?jl=1009022583855"
24h,Deputy Home Manager (Nursing Home),Royal Blue Consultants,"Telford, England","https://www.glassdoor.co.uk/job-listing/deputy-home-manager-nursing-home-royal-blue-consultants-JV_IC3528208_KO0,32_KE33,55.htm?jl=1009022339352"
24h,Nursery Cook,Wibli Wobli Nursery Ltd,"Newport, Newport, Wales","https://www.glassdoor.co.uk/job-listing/nursery-cook-wibli-wobli-nursery-ltd-JV_IC3310304_KO0,12_KE13,36.htm?jl=1009022522980"
24h,Client Representative,Communications and Solutions Partners Group,"Belfast, Northern Ireland","https://www.glassdoor.co.uk/job-listing/client-representative-communications-and-solutions-partners-group-JV_IC3304415_KO0,21_KE22,65.htm?jl=1009022588113"
24h,Potato Preparation Person,Krispies,"Exmouth, England","https://www.glassdoor.co.uk/job-listing/potato-preparation-person-krispies-JV_IC3378928_KO0,25_KE26,34.htm?jl=1009022542282"
24h,Full Time General Assistant,Palatial Leisure Limited,"Felixstowe, England","https://www.glassdoor.co.uk/job-listing/full-time-general-assistant-palatial-leisure-limited-JV_IC3318831_KO0,27_KE28,52.htm?jl=1009022616081"
24h,Bar Supervisor/Bartender,DINE CRAIGLOCKHART,"Edinburgh, Scotland","https://www.glassdoor.co.uk/job-listing/bar-supervisor-bartender-dine-craiglockhart-JV_IC3312271_KO0,24_KE25,43.htm?jl=1009022586229"
24h,Plumber,Dyno-Plumbing South Wales,"Swansea, Wales","https://www.glassdoor.co.uk/job-listing/plumber-dyno-plumbing-south-wales-JV_IC3312297_KO0,7_KE8,33.htm?jl=1009022616075"
24h,Dental Associate,Alan Crosbie and Associates,"Maidenhead, England","https://www.glassdoor.co.uk/job-listing/dental-associate-alan-crosbie-and-associates-JV_IC3254463_KO0,16_KE17,44.htm?jl=1009022536194"
24h,Lead Teaching Assistant,Classroom Recruiters,"Sutton in Ashfield, England","https://www.glassdoor.co.uk/job-listing/lead-teaching-assistant-classroom-recruiters-JV_IC3528037_KO0,23_KE24,44.htm?jl=1009022588167"
24h,Poultry Farm Manager (parent stock),SCEA Geisser,West Sussex,"https://www.glassdoor.co.uk/job-listing/poultry-farm-manager-parent-stock-scea-geisser-JV_KO0,33_KE34,46.htm?jl=1009022613642"
24h,Brand Ambassador - Full Time Only,Market Social Group,"Belfast, Northern Ireland","https://www.glassdoor.co.uk/job-listing/brand-ambassador-full-time-only-market-social-group-JV_IC3304415_KO0,31_KE32,51.htm?jl=1009022511515"
24h,Brand Ambassador/Team Sales Rep,Market Social Group,"Newcastle upon Tyne, England","https://www.glassdoor.co.uk/job-listing/brand-ambassador-team-sales-rep-market-social-group-JV_IC3293413_KO0,31_KE32,51.htm?jl=1009022517199"
24h,Fish and Chip Delivery Drivers,Krispies,"Exmouth, England","https://www.glassdoor.co.uk/job-listing/fish-and-chip-delivery-drivers-krispies-JV_IC3378928_KO0,30_KE31,39.htm?jl=1009022533851"
24h,Finance Manager,Reliance Talent Solutions,United Kingdom,"https://www.glassdoor.co.uk/job-listing/finance-manager-reliance-talent-solutions-JV_KO0,15_KE16,41.htm?jl=1009022482262"
24h,Physical Educator (School Sports Coach) Full time,Central Education Group Ltd,"Birmingham, England","https://www.glassdoor.co.uk/job-listing/physical-educator-school-sports-coach-full-time-central-education-group-ltd-JV_IC3376957_KO0,47_KE48,75.htm?jl=1009022613287"
24h,Plumber,Maxx Services Ltd,Hertfordshire,"https://www.glassdoor.co.uk/job-listing/plumber-maxx-services-ltd-JV_KO0,7_KE8,25.htm?jl=1009022595319"
24h,Home Manager,Royal Blue Consultants,"Sheffield, England","https://www.glassdoor.co.uk/job-listing/home-manager-royal-blue-consultants-JV_IC3414736_KO0,12_KE13,35.htm?jl=1009022458876"
24h,Registered Children's Home Manager,Homes2Inspire2.6,"Daventry, England","https://www.glassdoor.co.uk/job-listing/registered-children-s-home-manager-homes2inspire-JV_IC3253927_KO0,34_KE35,48.htm?jl=1009022599181"
24h,Consultant General adult Psychiatrist,Dr J and colleagues,"Lincoln, England","https://www.glassdoor.co.uk/job-listing/consultant-general-adult-psychiatrist-dr-j-and-colleagues-JV_IC3291935_KO0,37_KE38,57.htm?jl=1009022615929"
24h,Chef,Garden City Inns Limited,"Windsor, South East England, England","https://www.glassdoor.co.uk/job-listing/chef-garden-city-inns-limited-JV_IC3254459_KO0,4_KE5,29.htm?jl=1009022493373"
24h,Duty Manager,Otway Hotels LTD T/A The George Hotel,"Darlington, North East England, England","https://www.glassdoor.co.uk/job-listing/duty-manager-otway-hotels-ltd-ta-the-george-hotel-JV_IC3377965_KO0,12_KE13,49.htm?jl=1009022519985"
24h,Payroll and Accounts Assistant,Emerald Resourcing Limited,"Cartmel, England","https://www.glassdoor.co.uk/job-listing/payroll-and-accounts-assistant-emerald-resourcing-limited-JV_IC2683513_KO0,30_KE31,57.htm?jl=1009022325081"
24h,Catering Assistant/Cook,Palatial Leisure Limited,"Felixstowe, England","https://www.glassdoor.co.uk/job-listing/catering-assistant-cook-palatial-leisure-limited-JV_IC3318831_KO0,23_KE24,48.htm?jl=1009022615924"
