posted,job title,company working,location working,salary,link
24h,Assistant Company Secretary,Johnson Matthey3.6,"London, England",£38K - £60K,"https://www.glassdoor.co.uk/job-listing/assistant-company-secretary-johnson-matthey-JV_IC2671300_KO0,27_KE28,43.htm?jl=1009026457908"
24h,Operations Team Lead,Market Makers AI Limited,"London, England",£70K,"https://www.glassdoor.co.uk/job-listing/operations-team-lead-market-makers-ai-limited-JV_IC2671300_KO0,20_KE21,45.htm?jl=1009026080277"
24h,"Repairs Coordinator, Jubilee House",The Church of England3.9,"Southwell, South West England, England",£26K - £28K,"https://www.glassdoor.co.uk/job-listing/repairs-coordinator-jubilee-house-the-church-of-england-JV_IC2684780_KO0,33_KE34,55.htm?jl=1009026150278"
24h,"Lecturer, H2O (Maths)",Petroc College2.4,Devon,£29K - £38K,"https://www.glassdoor.co.uk/job-listing/lecturer-h2o-maths-petroc-college-JV_KO0,18_KE19,33.htm?jl=1009024474650"
24h,Chef Manager,Four Seasons Health Care4.0,"Mansfield, England",£14.50,"https://www.glassdoor.co.uk/job-listing/chef-manager-four-seasons-health-care-JV_IC3528004_KO0,12_KE13,37.htm?jl=1009025618863"
24h,Referral Clinican - Ophthalmology,South Devon Referrals3.1,"Abbotskerswell, England",£100K,"https://www.glassdoor.co.uk/job-listing/referral-clinican-ophthalmology-south-devon-referrals-JV_IC3378804_KO0,31_KE32,53.htm?jl=1009026223346"
24h,Conservatory Sales Person,Solent Glass and Glazing LTD,Hampshire,£50K - £120K,"https://www.glassdoor.co.uk/job-listing/conservatory-sales-person-solent-glass-and-glazing-ltd-JV_KO0,25_KE26,54.htm?jl=1009026105950"
24h,Optometrist,Eye Emporium3.2,"Wandsworth, England",£50K - £70K,"https://www.glassdoor.co.uk/job-listing/optometrist-eye-emporium-JV_IC3294852_KO0,11_KE12,24.htm?jl=1009026094027"
24h,English Teacher,Releasing Potential,"Chichester, England",£32K - £34K,"https://www.glassdoor.co.uk/job-listing/english-teacher-releasing-potential-JV_IC3295290_KO0,15_KE16,35.htm?jl=1009025391660"
24h,Psychotherapist,Castle Craig Hospital2.4,"West Linton, Scotland",£27K - £37K,"https://www.glassdoor.co.uk/job-listing/psychotherapist-castle-craig-hospital-JV_IC3310880_KO0,15_KE16,37.htm?jl=1009026324657"
24h,Civil Engineering Graduate Scheme,UM for Network Rail,United Kingdom,£29K,"https://www.glassdoor.co.uk/job-listing/civil-engineering-graduate-scheme-um-for-network-rail-JV_KO0,33_KE34,53.htm?jl=1009026205969"
24h,Clinical Support Worker,Apollo Home Healthcare3.6,"Bury, North West England, England",£11.50 - £18.00,"https://www.glassdoor.co.uk/job-listing/clinical-support-worker-apollo-home-healthcare-JV_IC3377211_KO0,23_KE24,46.htm?jl=1009025536327"
24h,C&G Admin assistant,Judicium,"London, England",£15K,"https://www.glassdoor.co.uk/job-listing/cg-admin-assistant-judicium-JV_IC2671300_KO0,18_KE19,27.htm?jl=1009026461440"
24h,Health Care Assistant,Caremark Warwick3.7,"Royal Leamington Spa, England",£11.00 - £16.50,"https://www.glassdoor.co.uk/job-listing/health-care-assistant-caremark-warwick-JV_IC4027130_KO0,21_KE22,38.htm?jl=1009025776788"
24h,Regional Customer Relations Manager,Morar Living (South)2.7,"Cambridge, East of England, England",£35K - £40K,"https://www.glassdoor.co.uk/job-listing/regional-customer-relations-manager-morar-living-south-JV_IC2662516_KO0,35_KE36,54.htm?jl=1009026413976"
24h,Room Leader,Kindred Nurseries4.1,"Salisbury, England",£11.00 - £12.00,"https://www.glassdoor.co.uk/job-listing/room-leader-kindred-nurseries-JV_IC3296998_KO0,11_KE12,29.htm?jl=1009025483606"
24h,Car Mechanic,One stop mot service centre,"Aylesbury, England",£11.00 - £12.00,"https://www.glassdoor.co.uk/job-listing/car-mechanic-one-stop-mot-service-centre-JV_IC2681369_KO0,12_KE13,40.htm?jl=1009026152482"
