locations,links,details
Advanced Practitioner,"https://www.glassdoor.co.uk/Job/Advanced-Practitioner-jobs-SRCH_KO0,17.htm?fromAge=1",success
AMHP,"https://www.glassdoor.co.uk/Job/AMHP-jobs-SRCH_KO0,17.htm?fromAge=1",success
Anti-Trafficking,"https://www.glassdoor.co.uk/Job/Anti-Trafficking-jobs-SRCH_KO0,17.htm?fromAge=1",success
Approved Mental Health Professional,"https://www.glassdoor.co.uk/Job/Approved-Mental-Health-Professional-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Assessment Practitioner,"https://www.glassdoor.co.uk/Job/Assessment-Practitioner-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Assistant Team Manager,"https://www.glassdoor.co.uk/Job/Assistant-Team-Manager-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
AYSE,"https://www.glassdoor.co.uk/Job/AYSE--jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Best Interest Assessor,"https://www.glassdoor.co.uk/Job/Best-Interest-Assessor-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
BIA,"https://www.glassdoor.co.uk/Job/BIA-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
C&F Assessment,"https://www.glassdoor.co.uk/Job/C&F-Assessment-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Child and Family Worker,"https://www.glassdoor.co.uk/Job/Child-and-Family-Worker-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Child in Care,"https://www.glassdoor.co.uk/Job/Child-in-Care-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Child Protection,"https://www.glassdoor.co.uk/Job/Child-Protection-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Child Sexual Exploitation,"https://www.glassdoor.co.uk/Job/Child-Sexual-Exploitation-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Children & Young People Support Worker,"https://www.glassdoor.co.uk/Job/Children-&-Young-People-Support-Worker-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Children & Young People Worker,"https://www.glassdoor.co.uk/Job/Children-&-Young-People-Worker-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Children and Family Worker,"https://www.glassdoor.co.uk/Job/Children-and-Family-Worker-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Children in Need,"https://www.glassdoor.co.uk/Job/Children-in-Need-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Children Looked After,"https://www.glassdoor.co.uk/Job/Children-Looked-After-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Children Service Practitioner,"https://www.glassdoor.co.uk/Job/Children-Service-Practitioner-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Children with Disabilities,"https://www.glassdoor.co.uk/Job/Children-with-Disabilities-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Children's First Response Team,"https://www.glassdoor.co.uk/Job/Children's-First-Response-Team-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Children's QA,"https://www.glassdoor.co.uk/Job/Children's-QA-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
CMHT,"https://www.glassdoor.co.uk/Job/CMHT-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Community Mental Health Team,"https://www.glassdoor.co.uk/Job/Community-Mental-Health-Team-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Deputy Manager,"https://www.glassdoor.co.uk/Job/Deputy-Manager-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Deputy Team Manager,"https://www.glassdoor.co.uk/Job/Deputy-Team-Manager-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Domestic Abuse,"https://www.glassdoor.co.uk/Job/Domestic-Abuse-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
Domestic Violence,"https://www.glassdoor.co.uk/Job/Domestic-Violence-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
DRM,"https://www.glassdoor.co.uk/Job/DRM-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
EDT,"https://www.glassdoor.co.uk/Job/EDT-jobs-SRCH_KO0,17.htm?fromAge=1",unprocessed
