date,job title,company working,location working,link
1 day ago,GCP / Red Hat - DevOps Engineer - Contract / Inside,SR2 | Socially Responsible Recruitment | Certified B Corporation™,  United Kingdom   ,https://uk.linkedin.com/jobs/view/gcp-red-hat-devops-engineer-contract-inside-at-sr2-socially-responsible-recruitment-certified-b-corporation%E2%84%A2-3705691920
1 day ago,Lead Cloud Security Architect (Azure/GCP),Hays Specialist Recruitment,  United Kingdom   ,https://www.fish4.co.uk/job/15388009/lead-cloud-security-architect-azure-gcp-/
3 days ago,GCP Cloud Architect,Capgemini,  United Kingdom   ,https://uk.linkedin.com/jobs/view/gcp-cloud-architect-at-capgemini-3704836116
12 days ago,Principal Cloud Data Engineer GCP,BT Group,  United Kingdom   ,https://jobs.bt.com/BTGroup/job/Assembly-Principal-Cloud-Data-Engineer-GCP-Bris/774106402/
3 days ago,Network Security Engineer - GCP or AWS,E-Solutions IT Services UK Ltd,  United Kingdom   ,https://www.fish4.co.uk/job/15373484/network-security-engineer-gcp-or-aws/
3 days ago,GCP Big Data Engineer,eTeam,  United Kingdom   ,https://uk.linkedin.com/jobs/view/gcp-big-data-engineer-at-eteam-3711517369?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
17 hours ago,GCP Data Analyst,83Zero,  United Kingdom   ,https://gb.bebee.com/job/20230906-0dc17a79cb1ef1775256b8a979828aa0
3 days ago,Enterprise - IOT - Cloud Azure GCP - Future Workplace - Hybrid ...,Tech Talent ID,  United Kingdom   ,https://www.jobserve.com/gb/en/find-jobs-in-United-Kingdom/ENTERPRISE-IOT-CLOUD-AZURE-GCP-FUTURE-WORKPLACE-HYBRID-INSIDE-IR35-A73BC90C1B3501C95B/
7 days ago,GCP Architect,Ampstek UK,  United Kingdom   ,https://www.adzuna.co.uk/jobs/details/4286618210
3 days ago,"DevOps Engineer - Windsor - GCP / AWS, Kubernetes, GKE",Avanti,  United Kingdom   ,https://www.recruit.net/job/devops-engineer-jobs/C1697FC136991B9F
19 days ago,Data Engineer GCP/AWS,BT Group,  United Kingdom   ,https://jobs.bt.com/BTGroup/job/1-Braham-Street-Data-Engineer-GCPAWS-Lond/769876102/
