,job_title,job_link,company,location,date_posted
0,Driver Loader- Bulky furniture & Waste Removal,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DuXI5BNTXhaZP9GW9tzGSx4oXtES7ugNaLnTQo8t1ZanxwZrg1Xt-OZUczNG_1RN43dWSAYxhiUw5RPjvANYKOZq7GYWjE-HX4LWe9W4VawZmKDLNAAzx7AL_71bdcju9Yhif46D60MQhLlWOH2MoGQe5FhTXfgaMYFrx0JQvNCF8ozKAvxEE3DhbJMFFIPBKM9ijajv1zyxwqLjUg19VY2w8fCK0koSESYU8AJTLuGIryrMa2ZeftUR76VAF8eXgKv-DNDnLIsumlyNFZVTju-iryJxHVUr-KaRAotPweIxwLqrF-AQfiJKJwtEjO_dSbGT45MNzYkUVpau_RhEjqHK-Nzrfss_Mgts3JsrQbQf-pWJYFZuXLrEXJRDq3Dr9fpIHEAjihGroELmAs6FCPBYQET4xVeIrkcOFJjo72Q5NDc5poR4mym_zmWmAyohKyOIKPHRGKkXgcpe2Z-ulhNYk46gBoG99_9hCksZjfqnQMWAp4G7CLZ-dhj1tRiBXAkSxs-RP2imJMJ_zwENKfIQOMGQT5uW3nv5Ck3OH9JA==&xkcb=SoAO-_M3MPftcfRGkJ0LbzkdCdPP&p=0&fvj=1&vjs=3,Clearabee,Cambridge,Today
1,Trainee Fibre Installation Engineer - Full Paid Training Provided,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BnNDGUdezJprRoGGvNjWXSAsAEBYnvXdMufpMPszhoK5Ir0ifXR8JUyG7vTT0k_ll1TARr5SUc1ENIWIr2WtAsZa1flgG8_kIA1aEnqEj3peY00mWQmJzbg4wLjCndOIQ80HWfJJzaVzhFNDE5Dy5jbLUjULeMN_c7neh4qzDQhFPvDHTpPIufIYLHihLcy1T-9UCCtksHiRQOKCm8zJhv6PxKTlwAhSdAwAzPXp1XvgUxKxfLwxfxA-Ifuo4_s1r11l0o4ERKJag89uebW2clYYYrP1MZdU8v6PuSHfxGzEi_zlwiePDIIH2l4qRtZFgufeEMAESWcP1B6HMln37GP-5l0zZcQ-C5_m4OyAqIHM-YvsWA3aBhHVAm590NAdv-lgi_OEoQ5YbTXr3bMNIRvWOvo79zKuWd8OtB0CSzz-0qf2FWc78AN50wg4JyEZAyWAXN0nhDsZGvZ-nkL1JEDHgseYBK-Y9d00QDLQC9mlVy5r_u6QB8A4zXykcXxWgRj310O81nQA==&xkcb=SoC6-_M3MPftcfRGkJ0KbzkdCdPP&p=1&fvj=1&vjs=3,Kelly Group,Peterborough,Hiring ongoing
2,Trainee Examiner,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DBlI42p7Bn6vrwJM6JQ_WdCVrwT_kMjxYU6siqhL2Klex3BcBVnDX7gaifVkhoztQGrzkmTUsARe20u_tntSjdOxD9QLpT3-oRfO8pCfcjthzgH7FzSZ_qurwj0I9veKtiv8vuhPfynlt3eG5QVd-2ATf1_kBxIu8Rt0xaUdbq_FOGSlOqkzLRODQQhQ-Jxtv5QiUT6-PLFBkzFmd9trNCfCJsr3Suz0XjidQk8WJs7kkTTCtyt5RQ9PPjh9zrezKwsqTI_rhpsPGARWVyG-R-9lWtJmEOeKobbKUY0DE1-jBeO8RK2rnXloRSNvJsXtNPpZTBedMjrSqEYn1OUJ4xfViP1U1WCwzizm40ypnHT1NloWgdZRxpMMpFn43nX0kd1e74o3D8exeKyBmBB9MPB6QsHeIWemfBzlfBuCM_dROKJx4P7T1wmEtHKKGWBGMELJ4uMALNvrnDQjPJgNPR4hy5xVzFwy5CnwHQk4bGOMLTnRha_WKaZ5UdMEI_sl6HWNzCL6cr9mx97LnqRAHK9xH5xc9KiZCo0LagA9WpSMV4Vh1XtM9V0deMg-paIhM=&xkcb=SoAn-_M3MPftcfRGkJ0JbzkdCdPP&p=2&fvj=1&vjs=3,TWI Ltd,Hybrid remote in Cambridge,Today
3,Carpenter and Joiner,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0ASSXfJ5hDvabxi3ueHniYUs16QGXzezaBkyf5bDXzPhsjDqiw8JscjF541xZ7bK6qTo5HGjnugNeBy6nY9YTojI6qx20XHS_zaEIyzqySiKUkuunGEO1XagCK_6lnrS4V4U27acYfYj6jrZVuYufc5LZBMWIkwvBEzkvLwX99FHp8Rl46USIhzWZy_o91NMoJzEAL8tndF1r6qJqA5SKELA2z65SCNu4wClKKQHSCirEniH-E1sJDqgsybY2JiZY78JqeTwQmzFTMMcpajgEWJEFj6mCfrV-cJS2JOdJ_Smr-5v7C8Nsg8VQmrjXJ5owdBbknrSgAlyMpiP6XhwtE7uex38PgQygXm3esewbvufsRO38bfUL3NWtmvOxxog9NwNIYs5B4lO06oCk-DRJAZakb7wplAQDLtd6OIKgYUEQ2l11HLrBA1QnLeJhN-2kNB5Be5_ijm30wHeU5DO1B7YRNpbg2jh8MjjLTecqiaAjXOK0eBYsjzrGbLI8UDkMG5zyoydJhbBA==&xkcb=SoCT-_M3MPftcfRGkJ0IbzkdCdPP&p=3&fvj=1&vjs=3,Arnold & Willis Construction,Cambridge,Today
4,"Anthropologie Sales Associates - Cambridge, UK",https://uk.indeed.com/viewjob?jk=f44852f20f8102b0&fccid=520377b57ff7b6ff&vjs=3,Anthropologie,Cambridge CB2,Today
5,Primary School Sports Coach,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0D5mBp7aI0q-EA-fNJMKOW-ilv8wOgsImc2c4l9_BycyVxjq5OoZpYRPu3p9kQedIMJKtLexylR4afUbF5ByUM8gxeal8t_TfpvT5qrKPKH_vVmbYdtRUE7DNuodumcGiSpWaNJdegJ-U-3Pu5PEqXK-uW2mFTx5ZXRJ4K8kzlpanlio7Yh6eM-03CrKlkBCTxec-iIMy7q4j-aPxHPLiVrvmtPBT_V6Lx7r_pglB240onNoNgQrFbnub6PpB7o8HrKU1KuDU8v9XmLHcBsG00H4JEZu_LeCoHbo3v3hrF-8fTcnbtyeRzu8U74gtDH8Eh7vFy0VaVWWzDJq1Mnjgdu_-RIlLokI3HOHKLBzkG319KSHmCoZzGtwWq6IL4kLRqHv95T5Ffn0B6X2Vmwi6kqX53vWQ9xF1OnwzLVurk_n1kEVDLzW56Y0M-6MzqrErPON8Vim2S1DQ-juNl5NWzj4VaP0itThco9si6FZbyCaCc1aRzlsMvO8kTAG-Jb-eUfnDL_pOUgzIxq0qx_k23Z&xkcb=SoCp-_M3MPftcfRGkJ0ObzkdCdPP&p=5&fvj=1&vjs=3,Premier Education Group,Cambridge,Today
6,Stock Assistant,https://uk.indeed.com/viewjob?jk=0eaf2a34adddc163&fccid=419801c05606d650&vjs=3,Aldi,Wisbech PE13, 1 day ago
7,Junior Car Mechanic,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BKFRAp8bB58gU_y38Q1nfVkY9UJk7l888t9VtvUJdbbNBF3QhwggyyQs3TCvA236kqgjkQadzQcOZL4NYSRs-TMZGsFbHerxForHQ1PhPEpr2I5IixG9I01jgXf_mA9z8HdsCp1T5DV5QPiRcTglWl8m4L2mO5KaeKV_D1NJ3RY0eYr7EylrY3TpWnvB77m_QRflNtlqxoEY4VZSFuugzYDKQ99FcrGSgFD2NrnRq7qvwou2n04oPbFgPa51SJxdFu8QqJWLp3QrWI_fOFKw-50tV5xLzy0obTCLt0FOawoaORZ5bXb5jTW01b1dVQv1Bd0Th_k2JEQnWoMN8N85irCxq0RCHUElGQ3ptBYicHsy3Zbcnty81oJyTGW4qF5PmrKu6OIXlc2HD3Qyw3CSKyg9hrKzV2J4-NobdyR-3q8keTv-wU92IV9pdN0nqbB5nfOsITk38rbbZYNvkz5w-ilHfzjjyPSs-Oh4Xl6FvMiqI9hQb8vrwCA-IGKZjhzwqBWVTGAv4Y6g==&xkcb=SoCA-_M3MPftcfRGkJ0MbzkdCdPP&p=7&fvj=1&vjs=3,ESP Play,Colne, 1 day ago
8,Summer General Assistant – Works Department,"https://uk.indeed.com/company/Trinity-College,-Cambridge/jobs/General-Assistant-de09cd565221bc5b?fccid=7ba28cebff624b1e&vjs=3","Trinity College, Cambridge",Cambridge,Today
9,Sales Assistant / Lingerie stylist,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0B0tjVwR6jK3CHlaPsd_bn3bv6WmGpQtRu4fDcpMQQa0nsPlhfLq4-hMFVJHj_UcydNtBWkbwPhz0pGqHzW2kgg4uJjglgnBYhEZeeNaDPowb-I7EAgdxn3MIgux8ZkJHVDZskr0Nuw02bmiWxLrVD1FxciRwlEqfihoRdtE94f5RVRplkmH5BRmWugalwJg3lOoj4scsgCPDW9s-Y3SpWix6mL-plmsBw_CEFPk_Jjel9yUMxsk_Baosy1j2uzM_6DMahvGyYSS-sxMB3u1tP2uSAhRKrkhxiLqvN_JGFRQqPQaM-NtC4CqF1J6e5ExKCpkXO1xl09QzrZd0V8rX9D3q2uSN3z-RfKCBJFmuoohTxFlYXww_HDrBkkMY8ED-WIeNTH1pgUMUrUdgBUEbpha3Qu9vNiF46qWoszaak_VmyWtHpqSS4i_iw3ZnC30YBfJ59mwi_9Bw3otBeyI5OKFf47ohsrgGxb1F9o6PfTwptrZ2iQHUUgMS_COThf38x7ws2_h4BgOwDV5KN3BY4u&xkcb=SoDd-_M3MPftcfRGkJ0CbzkdCdPP&p=9&fvj=1&vjs=3,Rigby & Peller Ltd,Cambridge CB2,Today
