,job_title,job_link,company,location,date_posted
0,Venue Maintenance Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Cd6fsuzLWdWgJ6SPyZEVNIaXn8MLeAaof6wO98lXToQte4J1_-tkMxYhsxxVLugwHPi7mVqeluXMbTVHyHBlAAfDFuHenZGMHI1UGpxd6z4_AKvuKEf4XdbK6nkk79EnYisvRRLl7Rl8c5EfrSO9PrJH8iUxHoGEq0ViGUwF3rUs7exmDZf4bdN-F1v65W5ZSc89YF6GqHlwQu8ufK9hAbW6R3U5dGacfV4N_K3a73_9LPjm-OuxahEna9AKVSYOZ1Tya32eAdLqIvZl8BE0WS3szjDp6JFu3GOQfVM9DZZlVUT850squxPlSIPzZJQAjOyAIaWSrPNta0gszboXKAAsvtQTT1Od9ykSFLRCLImOyWw223DgLVaS32ISEZ_UD3r9fUkplMfdbb5sh39juuaX_6gMdOmyGa0ArDrnT5Ola7nPa5h0nrykw7YS2NXtgfGk3_emzXMVKlnN3kVJLhdYb9ToR5x9sqBgyeC9GymXCsOXbyC7LAbkYqg9TaDIEGKsn0MkDSn9fd8TOZxIJP2eheJSa7TCeJLcBB8AVzcg==&xkcb=SoDd-_M3MPf6YoRuWB0LbzkdCdPP&p=0&fvj=1&vjs=3,Motorsport Vision,Little Budworth,Today
1,Site Control Room Operator,https://uk.indeed.com/viewjob?jk=ec240cc89098a773&fccid=b97fe762142888a0&vjs=3,Babcock International,Chester CH1,Today
2,Coach Builder,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Drw2sF9pTRrAUK_y0lUjCkRfj004W2cLeVG9AhrLVER2wiMH1lDVxWj23xPudZItuToQh5dix23eJmh46BgCCm7-Z6eRdAohdhCrsZOyjrD-gY3DYpeETCKczmAjgOm95NBiCzQL5JNwL7NwVXWxaWciVUfMYCJ4rpK9RQnl9LeGR2L9r2AQzndYjhaGqknbJvWO9yCCriHiT5_hx3ED2D3R1j0FJF5Prq4L7L2uoaZbkzLsjwLVlsmMiTW6RWi9ObS2EaEB2OSbPAEOY_oWcvP8JdotfQpwtqUlEsMOOvInUYT6K4BXETOf1X4ZLeL4siHYeJ15jscaqvmnUky5w1k9M6yDjT85teeZjf_3HoZOYDzd_0TpMwq4eD7reD76RX9S2h9ZA3VKcUlc-qFgg-EUFTwW87TkuLeRBjVqFaa5TlBK0rGxfG6cu5ucVpfUiU-ECDM1vgVDOaDHzhQEdejCmgqEjpmC6AAsD48E8de23d0PZ-CXe3UvqEdIf2akg=&xkcb=SoD0-_M3MPf6YoRuWB0JbzkdCdPP&p=2&fvj=1&vjs=3,Tiger Trailers ltd,Winsford CW7,Today
3,Cash in Transit Driver,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DJF8v2Kyg8lPLRKO1nDoRFIMWr6G-6kdoUGNCJrNTQ1woqqHE5zeWbO-r8IhYTzXIBxdJbHAoI8C4ja-jSe067WK8trLI0R6X9A3gD_933bL1ib8hHheofpdDVL1rsAIGphkVRvClRoyPYrFG0ENdzxQD1G-d6f8_cDG3LagCxhRg6yLRiAvKoD4573VuJP16hUA1kRN_NCrnbjpmjfh-QnhLNCx4XDctD0TkmJ9CKKrXdY1GdKQY9VehCFdJPyO7pOIp_VZmYMa429x39KI734v_mAu6L4JcvIYOEfTbipi-z6QPjE4gXy9X0qzdHTGA9xY-Do9choioxQs4FalpWVRWO9NFFTJarzBR2i9nKBSoAtQ1Jsv471OiD8c7ux4iaxg6NTiTSYLfULRc2Us1aBvkqJdS6TFZWPxDUQexAX-tL3Of1vrzjsZOHYUshgPMuHd56TJ_6bCGAuZfATEvLCUty5Dc4C3nEWoiCTMUCjGJbivOER0lhW4Cl6tPGiEMb4RXBhdx7QQ==&xkcb=SoBA-_M3MPf6YoRuWB0IbzkdCdPP&p=3&fvj=1&vjs=3,Security Plus Limited,Crewe,Today
4,GHT Loader/Counterbalance,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BbOP3YkvWIRu9KOUbVC-ArkqtYzkZsTN2ROPtVhWMqs673nPcdzpJOmM_Lb1HbSJlJB3ZDIRD_s5KtnJjWS3wUthbok0f8TZIHvPCbMb1cRUrntP_F233EymgnWpDNUtPdwwfpaa0utzkZvw3H2E7I-xB8J6YDjagNqPheev_L-pn929moKWb27o9JYi4Et0gi9d6gO_kEvwLi2n_Qom1aHYRP5rKQMmmiwNwVlFBMjYLEW_RC6LY0ZNAjmsXJL6wC4w7QXLis76iWI88bDdF8_qyxq2vm_ju5PWulJ_GkdZ2u8G-ObAy6UIJbvzcgDpczy5WjeTs-4BelsW5TjtSiDQ44Zb6R9fP4-zQtFkSxKPX6jsHEbWlBX5_6leDVx0_Zfm37C9fxQcEYMhTBOaTYkeRV6hqp_HmeQvQKudUe9_yQydM4DNgJOh9Hpi3_duYRO1Dm3Mx4rbWmAykj8fwfaMI4xJOaP0uPkLjCCnZc-3TnzImG8mzDQQqTVAz85a7Flc3W8ajM3g==&xkcb=SoDO-_M3MPf6YoRuWB0PbzkdCdPP&p=4&fvj=1&vjs=3,Boughey Distribution Limited,Wardle CW5, 1 day ago
5,Medical Laboratory Assistant,https://uk.indeed.com/viewjob?jk=d38ace8773888821&fccid=5161ba9c4e6d8233&vjs=3,University Hospital of North Midlands NHS Trust,Crewe CW1,Today
6,Regional HR Advisor,https://uk.indeed.com/viewjob?jk=e509bd77519b5611&fccid=e933000b0b165f59&vjs=3,Hickory's Smokehouse,Crewe CW2,Just posted
7,Part Time Driver,https://uk.indeed.com/viewjob?jk=0e6c027dfb826754&fccid=6428102fe6bf373d&vjs=3,Bristol Street Motors,Crewe CW1,Today
8,Appointments Clerk,https://uk.indeed.com/viewjob?jk=c9a6b76be826aba4&fccid=b441f4d7d5cf050b&vjs=3,Countess of Chester Hospital NHS Foundation Trust,Chester CH2, 1 day ago
9,Office Administrator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0D1yrWvbj944WdIRVTmDrf-z59UX-W-jhd3iM9ZQEl4H9OG4fhM83X96uuSwnMXBAIfUuaZGawPmupHCqL4Q6MfHifrIwVhYo6j4Y4xGdYisDN3b31gUtR7Sz1HbT5f4FYhou2YRh9HN2mV6GNDpMmcV5s7mlUdSnccOTlBibDYCCyfXiKAiLCJIxdP-SH_MxYtt201TN4Ny83H0EgEffttIEFifGaBSWLiIuJbxe-TAxZyS2j-ViZHS3zwHp4s84365F5yM5Hw_-ZfQ7Uz9i19vQWZIMm3Po9CMGkVCT5vCTvghdNSuGJcf2Usgia4jnCW1lNVC6iAx1YjBApGqtvz_hj-Yrg6OuZKpMECQYX3UX-0XKAjbYr-K3fQLPqk82si46pUxgOFe6BlnDcghiSle1xqDpU0pIJ5dft3UN-NqsXgb-UMu4VG5NRBvKD9t0s4EGj6WUVDsGOMuRKb8NrpGArzwMraGr84t9_JfgldrRwNtHFu4XOrPc79J3khdT8=&xkcb=SoAO-_M3MPf6YoRuWB0CbzkdCdPP&p=9&fvj=1&vjs=3,Bluebird Care Cheshire East,Crewe,Today
