,job_title,job_link,company,location,date_posted
0,Night Shift Donut Maker,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CtwOkgDuej6vPfWODMxjOIyNEohQmdYMppGq8y8dOpBl44qskDINyjt0PEd601y47CQFQvU0hmqfs7uXikWqc26GplVGF16PH_haoZndCBQOGALhs7J5HEoiuAU_7qtmVc0xZQ8yUuew6WYwd5E7iN1Tx75uwP5h6UXLTRLrtjZTDuP27jVh4ecZhOfD-CRoG7NLtafYGHoZbrv2UrUd0aFipQdHX3V8fcVDC8MYbD4o0swbGSC3L5DsRAgwKI8g6uOR9-4yAdelH2f1rlpjdQ0SCVLT3CWHpD0dxZALwgORVGZS2Q1bSCAOZTA6JVS-_g2y9Okyssn1agfILp7o3RIJEZvEMHz9KM70a32Dd5qobqG9ASzbHE5YdEMIH5j0cjTb_0ypGYtBS_nWHp-aMx-_1U79q24W7baTDXElH7frwyb1DL9vLfcLoDCwtd5LjBJCrDZ-tKUTaBRQh7Ibtgv9FpAJbfxbJigqHfyPNIDW6lDRqcpp1kddxn6iP_rs0-Awg0PDmb_sxAfcN-NZrg&xkcb=SoD9-_M3MPePCJxuXp0LbzkdCdPP&p=0&fvj=1&vjs=3,The Kilted Donut Ltd,Granton,Just posted
1,Customer Service Advisor - German Speaking,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CG7RHIIC1754mTuc976mACyeETBLSl9QVzgCoEItNNvDnAPUNL6gaWH39hAWPpenL9bHSzfyJDLXGRzHMwPxsTxpzv_8Sw_cGvI-lIkU8LA9X-fwqhR3BTJPPG4nP7In18cxb0tadmYTHrru6Ag7LeViZpezZchdM8OUJ3IjDNvsILiQSpi9wijDH_AGl-Ib5dDZ8e_JK_gJN3IZJ4MC1_1gBUuHyl_-ODLfx0frrPVMiJbCQDGu27CH4fNtB6uE0HMfXtj7_e4hYUKOqhb9FH5i0pqVHWOEwHCJX7keWj2kdROzhrZ6dpeoUFocpcn38EeNmTgrV7Hc9fu5-3Mf99oiIpFb4-Vv0SSzAizemBVw4LMiBVFyyUxpdnL77SqrguoubWxaIF0S_SMkK3GOle1sBCgI061AxKR-pexaM5o4vlI_grQcTnAkioYoiVTNnTvIsspVvbg9fBj1fFow4q3tPjd2R4WMaSFOQZQ_0xQKJcjUh7vomDeSwgPRC2ZOdgEJdOASkRVH6cGxavs0PJEE16CtZCQZHoqeVEmkwYdajIV_oiZELe&xkcb=SoBJ-_M3MPePCJxuXp0KbzkdCdPP&p=1&fvj=1&vjs=3,Trip.com,Edinburgh EH3, 1 day ago
2,Taper and Jointer,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Acl_0v3UyT6fbpnqcfWxcMaijG9RsEBuxM25myJZXkwWifjPoMzHmWVWKq0WQrLjFkCWTxrdpN0LtENPhPIEzm5TlLc37HE49R2fjwGjeCuwslgqRP_SO9-TOOa3PED6apM9GzVklMwvtg_lZStEAdqsL39flqjwDmw1VMSzI1dIgHvsue-4wUVGmDGOsJ6_YmLexOg5K5eorjF7LEEC_SqcGny8i9E166nSLVa-c9XldTO8GTi9rAY8jrdAV7jLCc1yimRn64NH3u9rCcBk1fJtZJpHgnsSP5v92ZkDJvbaZzaB23V7dz8bE3AugDnG175EqaTHAPuXntxawqrbyC1gq-sGbqhTz8ixUHVjzFXYJH_U0iVgkDvBw3iaOdOWD5vcu4QVK5CTMhD134cXT6ImD4IYllcBSxk7dFDngJ9NWxiw7wpNh7PjcEbcaE9YgteT8cwJilE8ROKm7trMiA91V6RhorMmStqsmciBptQRCe4_HcbpsaGZE9Lp8g1q7cEsuqLX8_AO4Rf2xlZT0Adp8XmEAIYzTkLE_yAc1w8A==&xkcb=SoDU-_M3MPePCJxuXp0JbzkdCdPP&p=2&fvj=1&vjs=3,The Shore Group,Edinburgh EH1,Today
3,Care Quality Assessor,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0D-VdR2vJY0TURbdEg3iYySTgbqTR_gQPHf0hYuwvaPuAnkg9joD4eIEmTC6PzR7EtVqVftESDSPv3oX-frKlmY7EYrdpVHoU9e_ybb29pWId43Q3hjP7dw6MlxqZqEpgbWhdk8mGrpYepBD7QrNneftFMpiZJfK340JFSQr8GrLXVjD4znz0xS1goLuotQjKZzPuMnqmorapJto16AkvLm5a15tCfb7tGahwmngYaDPvHaO3xztS-fk4Ylf91q8xBo6Bmm5pI2rFm7VTVF9DuAjB_ZN1wE-mPKeXcVcV_3RBoDvZR8t2b_h4neidERmdaR-73ITWdQKX_OLp2NMzyQuNHEwid9xfEI5kRCoorX_ygc0x-RrQTYaXxyNwWnW_TX0tZwKaLJ3BNfpNw0-gT37tdBF8R8LRcMiwUjtmSGY1xpCOKCSoleO1QnjGQELLDX9urqmbx0abviftOXpkAPrCx9lZyDxq5SfMmdy9j66mviSFfDrgII0jwVxGQgfhQZiT2RC_ioplxuiq7LTzz0hUJFrPo5Je3TzwVWhZlVqg==&xkcb=SoBg-_M3MPePCJxuXp0IbzkdCdPP&p=3&fvj=1&vjs=3,Call-In Homecare Ltd,Edinburgh, 1 day ago
4,Room Attendant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CzcDFs8cjNZITHzPaspPYUdxCTppyanGLeq-qEeiOFH558ADGX4FuLd2_4wEZAGByXOblWXp0ry9URsnQvqzG63xqH_VqnhmUQ6DELL0Md3ltK_CCgnEYFYGjLKq70l4rY6wACMThDF86t6ZO5_Xg9uMpfpRAyhKqt4v7KfKRm4mBZd0rQlkodp3_N4D-4ouOuICnS3URKR57A7JUGTDWlJZaXW6jYijxzFkhCi9a2Gjja4XNXTeV5EIRn1yUz5JhrDXXY8vEc45Sn2gJrmiyTnTSWheZKWKtmd9sDNhkiHq2BNY7uFlqXpL_LeNN4ASDYC78-6iKtzaGh64M8wP0mK8NuKiO-Rjey-W-hI0P7_3zhUUpWrxUTAvJu3w1DULEHDpB2ZuttJFNhcQFuXT91d_PdXXQwfPFxnLmDZv2D6pCHvRLEU9fgkLMTg-ybsTA3_8huAn_gj-98ya9AAIfJhMa1fQJ1I7QXNT-GRDADK9ooHRpV0NPTOzjrggU-88IBLANnNIjgRA==&xkcb=SoDu-_M3MPePCJxuXp0PbzkdCdPP&p=4&fvj=1&vjs=3,QRecruitment,Edinburgh,Just posted
5,Car Valeter,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CFpCeoAkWFe6OCZrUH5zMohlxJy9fhJLZ9i19XBM9MhD1rL54nPMbX2VCxKZuDKuA094Z1qWH6IC8P5w52z3bPIxCAZvxQXV5P_7o5_gtiis5OuLE-dPxKSeauxo0d-pDC0fbRVhwsaBkA8buLvr5asS67quu_MZ5n0Dkxg6T0RZvPhrfQjWLSaWv566dfJi7DznzT3m2ipV23u6aegiPcfGQwFGJRmvl9d1pByQwsIlXJ7g-J51fTGawUAiaU3mV5IobokkMYuh4blEPt9jgeATOBLB4f1ONbgE3GyB8vpymO6eqgIEk8pimg3u5qf2HRAU2rM9UDLiHd4nJvEPU19m6J3IP0f8a5qyKrpYJGhciZDXgufWc3uU9Mf-bCha1QkDMpVf3z5Rzoi0gj1bKXNIKunRJHMk_qV6F4WXQAt2DSj-izcqLB1wdiB8Rrwz74rqvgj7tOfI5vJ4wgApy_7vGUUHN6WGBtj6FkRF-_H0J2wpl8pDBXDQ0y5BkmyPY=&xkcb=SoBa-_M3MPePCJxuXp0ObzkdCdPP&p=5&fvj=1&vjs=3,Car Care Company,Edinburgh, 1 day ago
6,Handy Man /Maintenance,https://uk.indeed.com/viewjob?jk=b6a6bacb9907559a&fccid=e242e3083692ff12&vjs=3,Staycity,Edinburgh EH1,Just posted
7,Painter and Decorator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DeB98j20gszVVV7-TUE5svTj36hj947jAl0EOg1cMv-k30E1b2djXfH-kVaICMI2DChqeVhB3zGXYLm1O-j_kEMh3ePNEDBlP6HTlfl8i5Re0xS0SmEARplVyAGQkzM7aVOCR2HKto6Di5I6cecg4hgugNc-Fo7ZYsohRrwLjCSrenbQOH74ehL3yZamkq3i0K1uztg0gduJCdX_4b-2lrZ2u3pbv3SNDNXuWYdyxl7BGLN7NvVyPhgcEO3ph-ygqDKMwITmDr7KZmSPS8T7Kilr7c9vamD0_ht2cH99zwHnPsXU2xhqnHss32mtvkDINiIHwuTnHsWNSmuQ4eVFjAMQ4wicwOFlDu927vp4kezlOJYxWJoKTxAFyhHB9567Xmy8htNPXsP95_JJaHEoE4CYGNooB9C7Th0uJ0bUDm1PGibdYGgmSTRBC6xhWWc2tyhZKaaDI7nZrMF44LgkrkeCmWTycWNn0WVfas0-bICDyDSkKzDR6Ls01yV04pOU1bU7nHqt-n5tAiGv-HkufD&xkcb=SoBz-_M3MPePCJxuXp0MbzkdCdPP&p=7&fvj=1&vjs=3,Story Decorating Group,Edinburgh,Today
8,Sales Consultant - Luxury Retail,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0AmoM3HRb91fnACXiUnNvtU8OZfhOjzA5hT60p4WBuYSQTuMx1068KGjWxlV-ayAKuPxzuZCRDhx0iRSbtkfBhjvvWqXH8rVKx66Rz4ugk951N0ldvgkK1vAGsSINpBUKI3vmKWLtD17b6wDeiCOk0ghzE4XVvrReTAX8O45YJTjT1GBWltv-OW_lkxtR8KEH_eI7ZDuZTlZNKCify8RnTd2szPMTycDmnPB_FLgyUSQxC2r3t-jW4V7d9naV2Ov3RtVjKujQhsbzaVUnU-d9j1YxgmOZyywlsbxrFjijz-oonNMJWZMzRP8SphcVSW9GVi1E3_kl7PaCPTSzcVAmvHSgcnSoz3MkFeAagB5xS-kokzAEzmXgUs15p1oFkmV5oV3gXixOdjTNybMPQWe_7RGy8-EzJIDIfw6_E1o7mAMLpBvvrcbX6q8NgcQP1oWHgjqpIuBlWALQt7PZAvfcCKvvVfi-cbgeqf8Ij_Jpj8qbv-JH9MFSV-CKkwSKe-5e4W95emP90RwZHvnXxQ293hCnYUIxljUPRzk0218lnAZw==&xkcb=SoCa-_M3MPePCJxuXp0DbzkdCdPP&p=8&fvj=1&vjs=3,Laings,Edinburgh,Today
9,Real Estate Consultant - Dubai based,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CBnND8XhkVyYAdm1gUCOy7wggFKDXKRcZN2_DOIpLiRK6F1NXn1rtdrygNmq4MtsF8mOgT-HVbSRcxIOP2k3eQcBLp9EChJR2WlqDisNqPgvcUNt7GjOSDlIQRE9ZF5u6P6VBQzsyjkgxTEPeuHxRZ7N1BRoCtNXUgSeN-lcRNEJJ8TYJzHg1Xdjv4pIses7Lxi6stHokjABkdDyZzpYJQCT0HTOyJ4dvy0d5UMzr2sNbcFyTPKeqbLTvDJvJDOcYCjZlkpMXlq5g-BAL3LR6_mF4phAZnrcOcXRz5LjHheQX7LenhiSapgyw5dUlM2aOo75cUXf5KWdXmUgrGGbfwGi6a2-6o0_ozPJF1q3me_fD6wkLfOaiSe04Lfu8ipnnDfnMepix9mSzsCarJUTBzhyL_uP6WNhQwhxqwfXrxtwU3aaf2Gfgfvs9_UzHrUx0NUAw4rKSJ6_Ahj9RIPhPQsT-b1CGtea53TxhLEF14IYoTQxQr4ODeb-xosRDZCkEppOMIbhnnZ5Dlxo3bVyqB9dMXvAbycp4=&xkcb=SoAu-_M3MPePCJxuXp0CbzkdCdPP&p=9&fvj=1&vjs=3,Chesterton International Real Estate Brokerage,Edinburgh EH1,Today
