,job_title,job_link,company,location,date_posted
0,Trainee Education Mental Health Practitioner (EMHP),https://uk.indeed.com/viewjob?jk=a0e80fce71209700&fccid=7691ebb71b24124c&vjs=3,Cornwall Partnership NHS Foundation Trust,Bodmin PL31,Today
1,Support Worker,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BCSkCq_AZWBkyx26b5Equxt7Ql3Vvi7anAXKJm2nXqxU3Da9maQ3XyBK6yEZVPhmwm74QwDTeZdYdLUlSDyfRcUBw28GApdnSC0sp-7WFfkObisUBZp3aXUiiHnXkHTRguRWOaEvpcORPXIH1jzFn08fn069UHrbc9RWlJiKYspb6GSNn9qxJ2bsY8oOry5Ciof7Tqe4TTnOLZwdDaYpalu15m5WdnHaCjBmg64iy6shbzkHzmaOzkbg7c-ehU85uq8VH3edkbViilroSCbENJgLrJDnPZD9c4xge02phne2rfNH7h3VoaGcL-ZCO7yr47GQHGxV7fftp4pRmiRcbBQB_hpq1u9VepKqk7dJV-KIGJAXFnwMWivbE6C1MFv7cyWDGMGMQnrl4dBsv8U-BM9Tdr-YYl1bLYp-r1Ned3IEQmgdatP2OuHhMqPhw2pbqXx4WHgo9vhp779VJIYBzyhnpcC_fOPKEZx0RnrSuOwbCKrP_dbiAzQ5nBK0oL_ZyofPH9u_6MIUYYMEe1FTME-GMU4EjyUsoNKwWqCnEh8mWjTKSfJ5jbNgY18BEty1Hd8GrTEPiqig==&xkcb=SoDB-_M3MPQHLsRuWB0KbzkdCdPP&p=1&fvj=0&vjs=3,BS Social Care,St. Austell,Today
2,Bartender,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DxyoFpaRXOnt1mE3gE3yaaulVmhNHoxd3fWm-_8hH5IRJW9flXBzzVN_pxeeXg6EImQ8Eu-Wx_XP3KYg-rYaRQK8XeZHa4zmbaBau-5suKUafd_jSJhYJTy_rV-gl_z8TzeP5tn6DFZIfPe9V3ndR3eZCIYkjOWQe2uHPTmd3Ppf1JwpyKpB0ANbxWQGlbGaNc8f2xEnorN4sdGlbP9ebi7_3-Ng508CyKt5vjBFhLn0PO7K4TZWBwrM8YxjbOwJd-6R3QsVapgLfGhWU12adXY1P5MOvhJQmG1-_etd0Zhpi-rsMItnGezPfJYEXyTPisLUxkj74Y78cQkB4G7kMqf0BQdPA2CP-zfbWqSPTXY0Vq1722j7ihkMPpvky88Rqc398CXA7t_Pq7UbRpMR_2FpKoUSmlMUtfHQ_HUKFzXcsDeBi2Yr3ZKXBfBJZn8261YZQAtFZizB7b4I2Zf2UO022PZ4naWTREAB08PSeDZrKBYPgzBaLDQ3SeMffdELBxwoP9kyk4GeWYGfYv00vsLHNYGuzgouPtHGgcuCCiEcD0lXdJd2g4zm5DeSgsMlyPs1c_MFFy5mQ330UWDicgzkG-itnJu39brLWOXfBasXVwg_olW_AwoYrJOusVBbjzkm5FvqYmvcNh0cgAX9mGC8jObBHqsPqSRD0YPYKzgw==&xkcb=SoBc-_M3MPQHLsRuWB0JbzkdCdPP&p=2&fvj=0&vjs=3,Spa,St Ives TR26, 1 day ago
3,Front Of House Bar Team,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DcGw81MxvumcDpSDlzX_OlcocuVs_mn_-Et1pw4MtsIGKy8saVJ_D9bEIUdln4IJNE0tgGP2aiaV9npeVvON_qs6yJzG_irt5d9Vm43OrxZvwD_S9OAoHSC1lIV26u0Yhtj4CsWVwDF7RfZRC7C4RRhVxNr5RE9M7NQ47QMbuyeBVoczkO0xaLyZcstcHCN9uMnSz5jKdfq66kIETpQExDOEXibRJoAmewOzk8x5jCFC4esa4ZpBBpvkR5lg58n0yafm3VqUQYwmW_EWcH31d4AtmjMgzbO5DCt0rH54oVcelnJvmXcotE0jOzikAeedZBbpeUEDhpzPb7RKGx8yOgdSpUeWhtS9i_OlB0c44fXXgmGiJ30R9w1e7GMGBMjpMNsEnRzUd2COn1KAa9bEmFZXNafpPF83847zc1TbSBFkeguuDNbF5Rc-SWT7pN8mfDR0wGCSi7SOls3HC3kfALNdQVV73pprfT3GRbZDrLbkG9jTeYqwGq86nGrV36-TJPQ1B9zAWgn33vF2ANYSnmkcyRHnJM16Q=&xkcb=SoDo-_M3MPQHLsRuWB0IbzkdCdPP&p=3&fvj=0&vjs=3,Hub Box,St Ives TR26, 1 day ago
4,Warehouse Operative,https://uk.indeed.com/viewjob?jk=a4d2f69d443c37fc&fccid=fd00a2647c4a03f0&vjs=3,Amazon Warehouse,Redruth TR16,Just posted
5,Sales Administrator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BTT1lo8Jwdy_hu5PBsWOg-OgEs4ry3bvHurgSPaoaOHHFy_YrIWgJv_1d2i_475uF6z5K-CvHOOKLG3OWmVy6mgxk7CfKuigbjhM3Ykh5faEYQDExcJKHIxG35NRRm6hGdeZ4UMmQY_FlXN7VsjG5dXGipCIe1P0QpEmax64M_Ymnmg9jsJcVRhQ-SwHiR3lNBcqJjOdv6t14K1ZeyA4PfRKBheoldJpLPzdG5iy5rGIoKHH-X9XK0kxpiC5P8PlR8u8ELqbgf-wsMZ-n7p3xoXbD355GGDQ6TyROAeEq7xMtcziT3d-YbjbzKi4PbXpQrZNCh8WHYHcL1bMBWupL3K8d8JLE_XqGPGI_zoNAg8CGLjh5SaoSk643vD1A4Rdb2oeeLUIuQP4X26-WEAZoppHa7Z6ZWNhp6Etiq3zEaZvfZIjxw_pYbHK-f42ULDyW4sS7K6Ae4Y7DuiCaWcXaj47Jpdc8cB56R7rlYX_4HiB8JdfBE37eU&xkcb=SoDS-_M3MPQHLsRuWB0ObzkdCdPP&p=5&fvj=1&vjs=3,Devoran Metals Ltd,Devoran,Today
6,Member Pioneer - Torpoint Community,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CJX1qlD2wkvFlorwK9yyuE9y0j35Dqjjwtc-1AiC_tEHqEZqsfGliB-oVV0J6tCT3ljfj5FxuN2B9OMY4_LD2KFIcLcTrGavjk8R4659R45rynHh6LdSMzXR0F0G1gqOOqaM3qu7_gyIN1ComnvT0YikVWLfBLNATmt_-Z4qmUU0zuzaYyyS3VTxYdUAVWPDfg7DKrvuT4Jefz9QXlQiDtnEWXq30YzY4y9C95y2YdUAleobyi3YKdFH1mlnBXijktjmV85txsOYF4pPOmvEwpWm9KxBde9FOrdeY17Y9PRpOAzcowq8YNbiu9ipUTKEc-Ay91yK1drcmO_gcydEIhbtdzVnirvHx31g1Pt69zp5kpfQc8lYqiJr_oeoEK2m2DwgmXCplIVtDGh-Tav2yxMnPdul-_-6kfNhe4PE3fzQNLMfvNPdkLaQjjM-apMp4=&xkcb=SoBP-_M3MPQHLsRuWB0NbzkdCdPP&p=6&fvj=0&vjs=3,Coop,Torpoint PL11,Today
7,Clerical Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0A6d4Y26AqY8TJOlY_2rhd5BX2tdVgipFUXLctLpTHOpDRfJShKmy5v755QTFyxGgae_FCbPztOjZT7B9aDcdsG1VSrgNCKSDNfSaRmuSz4HTyvg2GSXrcvcRh2rhVQ0UMrhOfF5uvT2jctx7tnbYuapMYvxUJHwqK5JY_Q2jPW45S6uN9kE-8_Sqj3RH5kDcdFS8q7xkvAGyP4X-7GhemX1nE7rDxv35WaGKEkjFk3wLQQWOiYeqB80Samh-3y53VejGCYvyh1hw0HdEiehJurq-829tXp-mRQOufBPPACpxaZ-J8yKLqfUP3qdDc5M6bU9bFwSygIocTVRfuxdTV40X4TOTS-hUfY0YQ6dGPB-7OEfbuDPbEqT07rY9MwEvytQb9NcSHSMGzvLgmzdK_M0ak3plqFbbs6gdCWDB8w1j7QDhXt7H45nXryeLTxYLlgBSnTR9UDJ-DfFCaQiIf-9z6NbADcVbKTWe1T2EUhHM25WRS8H4fM4cqTT0meXko=&xkcb=SoD7-_M3MPQHLsRuWB0MbzkdCdPP&p=7&fvj=1&vjs=3,Trago Mills,Falmouth TR11,Today
8,Dairy 2IC,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0C7Q4KsOr0jNPQdo-a1eh8G9JFmHakBU-QWOOAyKZ0h_workXu53vkeL1zXfNHp6PxiDIo2qw1OtxKhIhk4PokiwnZYzY_zEvEdj0UiqecSntOPglYRd-G0BuwXN2psHTVIwoIDG9mh0w6eGadGkjQJjitC9ktxKEjWZYvKKpbP7yneGMoFokDBCO1r3uu5EhwvyhmebmU2bmoehbUwbz9573GIsBWLcS-qttvSGR7a1Wk48W0KaOeEUnF-Bx_DPfhAIvoRD0o-fZKJHXxTvzCCUHrHV-5B-rWGI-C8znSTBjfyvHDJDqZ022Kr4iZ2cOYatTjZSynlMJfS_oE8XdVqp-dPre_fbC0nC5_6HcaCOO9VSdhl_VDFw80FkmJ2L6heoGV0mJ-xptYhUsbpIGUsZCJxLwzm2HSbSovHEWYwZ4Bml2j9wDECzguBHfGJpBEryHyolnOdvDC7DMKIZC31YrJpQRQ-wdxSRQbbKF3L3it_xpCj3_JWLFKCJBGZ6pCn3vIcTD1HlaCgut-ojRhZ1_fWjz5nkOhWN5p4qXGIbSMRVR33G51jLVUClv-JR--OBwsGK_PkMEHS5mU3Op9Iu_FLkdH1qMU=&xkcb=SoAS-_M3MPQHLsRuWB0DbzkdCdPP&p=8&fvj=1&vjs=3,The Cornwall College Group,Callington,Today
9,Production Operative,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DRg5MyaQWTOIbbgbFrJnSmoj046VOENF6YNpx8Y33sFsd2FSpr74WveKdKwYflmPDv0lr2VPRd2uDFuDIiiCfiESbG7I4U-ITFY5oMxoPcGRzpiJj5ZWSrPr4lHE7TxhH--N2pNmMYfSMEYXiULqlsMGJhu714kBoD3roK9AuDfbNpt4bDXUB-DCmZdCZJ9uGFtQ2pBSfTCmxGAFbdj87JS02OekTncxUiAQj8g7ARyvwTCGlJNpkCF4ogiW26YgWDAjKagSdMyPGeHmo4B2rMlItCNq5FaLPwNYJAQ8WbQd5fswbwY9twmH9e5ssza6moWFnag7Z5cDQRYP4gVl1sdljojYLlZo8a9Tp2Y600-DpAV8QvnOpc9JoBcouXlL-xp9MctLRpPuILgvjqMIG-bu9gdJo53mZUFt90Xl3hp03Ko42vaIubcsX5KhE-Uyw1rv0q-xj9F49neAqL8pRYwuPsrS7m3lTFTfP3q8HbNsrsai5igQPjqxzBh-Xg9xI=&xkcb=SoCm-_M3MPQHLsRuWB0CbzkdCdPP&p=9&fvj=1&vjs=3,Winners Recruitment,Newquay,Today
