,job_title,job_link,company,location,date_posted
0,Trainee Train Driver,https://uk.indeed.com/viewjob?jk=d3d703eb474d94b6&fccid=0f3fcbaf8beac056&vjs=3,Northern Trains,Carlisle, 1 day ago
1,Painter,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BZg-LGZfRf7YfsVKyJM_yVlYBSzillB9F4o1XEo7P9qzkEGrRhmExkvf3jWC4qdkcBZXipip_Ke_iT5M0PbmiztaKZFC-sFb6OoRpWgeuQABMQh5x-i2gGl2kRgMWF_Rzm_HhOl3pQolrI47vkfg0-JUYlBAGON7AfajDHzhTEXybOqXEb7NpDtWARjeIYsMuy786F-pMyhpAYZOpNH7TzgB0Ni8RpcLHPgzlAvzTVmJmDNs5TXZWBmibiixcodXUYrGuX8uwuQVgVJ4q0VdPHCqSVGBN0LeUz8crxKsirKTnqa2qvzrDzMewEZSGo9DgAIgFRqQei1g9lsH0juSCNrDVkv1boLQWkbmo_oO2GY52drrvqT4Lv2-jgyYcm8UlTbTeMSOn7omG4m76_eP03cyiMKwxwOBa7D523ZEikqclb0Lxt5j5wu2MB9iipsscUzEFm5V_hR8T6r_tk5rXeiSRBjGY6CQDnsdLc6mgb9A==&xkcb=SoC2-_M3MPQa3YgMJz0KbzkdCdPP&p=1&fvj=1&vjs=3,Love Rec,Penrith CA11,Today
2,Retail Supervisor,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0B4lSEyIcmEwOsByBjJCEbUUZCsBM2tJq_iu94WOIegsAO9cr9-yAAEMW9fQjIJADcrHP09nZGz39JIxzohMvjuA3JJXWYkaACm1kfhiMnuftqSfEs0kqw6gynAyre_peXjAZhbCLkUsBDp6F7JZs_9lzgCJVdzeOMjPUwmyMYsTxRO8BDJg939LUCXhqnMmGYRgHWxoEoso1QJSoMiFcfDDpz0cisXrbu-qQxx3kz6G470K_XUx9uqsdoNSyZpbGNhNoCrnmEkJuPIZluO2JHT5mMiJPI2CT5ZIHBcEe2upraiFyROnM0Lu5WIDEJSeF4OoRKhUF5UGmjkjlTYyZzIa8JSSafKyNsYjStgDf9Umz9DHXUtMyohH2Id5slDzZ2hDdlvFdCdGtBvzI8RBCxH1vecoM-l5e2ighBUoCs9rNFL6A3MsJTfVmHKOVl31klRPG2QU3ldrjhavbGKEJDdD2KCu7v68HsH5-6ByGkVZFrsCfNo86QnnXB9LbSBIOVafhRSBTIoDg==&xkcb=SoAr-_M3MPQa3YgMJz0JbzkdCdPP&p=2&fvj=1&vjs=3,Lakeland Leather,Keswick, 1 day ago
3,Customer Team Leader,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CJX1qlD2wkvFlorwK9yyuE9y0j35Dqjjwtc-1AiC_tELTUnFs0tjlq9HzfWT7kzKVxaflkxITvHxpSALjCS4JuwSeqf3iwbEd15xsIjJzsJRSnkxWcFfwiv1XVDJzio1R70oOR0yP7A6N2uBehMV51OTEroQbNvlhTiPw_n0u7VW4RYYJ1I9gEO50CHG-DOW250v0sosYQ_av7SW1XUCI7LJ0r-U7yc7OXXCtlCiVKDpxDn0IXBZRvy-RozVroRL6udefzG4ebOFpuiIM5p7Q8bWQ22459wUTJkJGvUI40RPaXzkl3b8YdJ--wqKB32Eety_BiIvGZfDpbsaNFlU4RgGIt6hVIiN8chMTXX9PboxZ38aqVW0BZV1LAaxtUEUC1AFPrBI64rZ7-HbtzlKXgPnb8rtESrzjyFgXYOaRDNpnxV9JqRlir_mYX4EW3G-4=&xkcb=SoCf-_M3MPQa3YgMJz0IbzkdCdPP&p=3&fvj=0&vjs=3,Coop,Ambleside LA22,Today
4,Night Receptionist,https://uk.indeed.com/viewjob?jk=1cdb76b917368239&fccid=c0d1bfdf3ca29b0f&vjs=3,Premier Inn,Keswick CA12,Just posted
5,Customer Team Member,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CJX1qlD2wkvFlorwK9yyuE9y0j35Dqjjwtc-1AiC_tELTUnFs0tjlqgEr9aMwr6cdfUoxGcePkMmhBWZ06ccEQFZ8I3EqHRleUvMyNcVE3kLXVRBgxP538XE6XYkGf0XoAT83nv8oaFOgo12kVBDObllteD2XcT-M0ngLlsHekRq54dWqaNVgMmKiyAXyOUC686vBfH1aBHqa4qeurJIjWCNWAaU8s95U5UorC1gzd33PYsIMNi7fj3zpOTi9SWIEw6RrprhP-J9c9Jh5gDuhyHI6Z5NvKzotMlIPaBb35wCapTaVyzJQxm-uypjl0sfJBlclcjiTwe0eOK17UduYONkhD1m7nXIdj17OJiLvsiBLIaZzoJROAW6n7DeYiv9RYC6Y-npbSjCXIC8BW_CD1eMk2QvelstSjivbksN_E4ymL9O372hxA8-nsMLsNWHs=&xkcb=SoCl-_M3MPQa3YgMJz0ObzkdCdPP&p=5&fvj=0&vjs=3,Coop,Hawkshead LA12,Today
6,Admin Clerk,https://uk.indeed.com/viewjob?jk=7c4742ccf5f70cc4&fccid=02f1ec9f1ce06922&vjs=3,Stagecoach,Workington,Today
7,Painter and Decorator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DeB98j20gszVVV7-TUE5svTj36hj947jAl0EOg1cMv-k30E1b2djXfgKrhOtaQ-Nb9U6txS6zs4e_TCRUiqIj6h8ieo7lEr_AHhdo8gaOzdxzpmtc4rjDa5JK-8-T2PmdCsgBGAbDkAj3z55Tw4TIqW9Nkr6z4xSUNweXrW7lbHkHxz4qZjppOg1AU9LECexA3a6HJWlCv-7kWAMWQdUhn4B0dZr4XShEucq10OLCU1tVJrfMYRtQ_tnGupZEZSWlYMfXhxKklhSjTfwims32lkjFosGR_FoTudE9bunAhygHPFMMecTl_6dP47oQVG27LRLnZly1kxUdN9FsjaOWuiQ9z7AH_R1Qr-w7Wa_0Eb9ubG0xyIunUVpq2EuDZiEexwvNr84pwBbzFSQGkLlWjRwQPIe1oykcOkz5SZdl4BksZmVR3NQg-Ac3eytuERLt67zghKjFxwF_jVnzI9-gksMpnO4X0YRlBfPJZ_c_qhm-DKt5EtbFy-iHdW56MTJdRVR5kZvkD1Q==&xkcb=SoCM-_M3MPQa3YgMJz0MbzkdCdPP&p=7&fvj=1&vjs=3,Story Decorating Group,Carlisle,Today
8,Delivery Driver - Van Provided,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BQuj3Dq0WQ5xSrpdk42iCOd8VM4dRRbXJQ7mzMx7ginV5v_STxTP6CODduYD-bKDjDN_OkYEYmzEj64h5MKt7RpMClVwNrS0a4yzSC8Wy10cvgwJsiLCGisuuKIE9qtTyD3VpTigEr30EFFF3PRokivx02LajywdxPfLXevJ0T0cZyBdK-8WthnEKwt_qvyrEfcUYC5CwsQQy3Jx0njSUEe1dZnU76l_CM1dKJgtA6ypzrDAUE8HWoFoIJkZyUE6xCoAiW1vQdrD1-laoZUz3GJcKpyua7dmh_FsORxNy1mjguG-q3JWlsAsirrNIW9LsjD-czK-G2WGkazXD5hpTz27wSMv6VOLvXBvkZdi-11nah3gR0RogSzE72Kgjy7_ac5E0x5hr151GSEBxKFXaTbHJVJrKMlE_W-L1j0G_dSmkYv2HzHLlHwFVB247IuMgV-GeoiiZ_Gx05420OtadRmGBWUnsOPHey72BMxv0lbnWiK59DIwq6SHgwwBworrMH11wLcUcTvg==&xkcb=SoBl-_M3MPQa3YgMJz0DbzkdCdPP&p=8&fvj=1&vjs=3,Skiddaw Logistics,Carlisle, 1 day ago
9,Housekeeper,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CNY9wx-KEMoke2pORK2-o_VXuuL5LJeJy4Gb_sHigTCu4HBVPP58zIFgX4puPumWYttr4kjMJnWw0UIzwLXQb0LFQ6PxGZ5IR4utcFX1so5rlaXacuWYalyAQslJL1WpHcE0FidnOQhA6QA28QrfK__DoPRJfKX6ZCdTlc5iVgNsUAMf382hpcT5f_2krwbLvMzMcHR9Se0qGRYR4B0e8VczIO3XsB-SDs2d0OMHyO9rxtd7WM4ci-70X6UBZI8sq1sszAVocrcLJWsj8P0-JtI-gdMTe51MHNDIws4ujVaptqXWQ68C6aDXV_FHvYW-IOaR2AMA1EF1IkqBaGt92hzg6DIpFmKaEkboY4619wOc92cs6hKFU7iIDqopepLmxSRGLMvlBx_LAkwkUGqwYrYhGiC5If8jwin9R25nCcXsVWPQvQ58l1zAmTsMUwQPpWM-8enJz2OV7TsFUcJsVV1tkJzt8VXiv5HVShkBJcAn5P0mUnlsJn&xkcb=SoDR-_M3MPQa3YgMJz0CbzkdCdPP&p=9&fvj=1&vjs=3,Croft Avenue Care Home,Penrith CA11, 1 day ago
10,Spa Experience Coordinator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CoFvXU1eK-2ydLmxK6iHExOxwJ4yVzLxufNTO9KHDT4o-l9Z_lurYj6gxSRzluj25nUfjioQhE5uiL8hEzh2sfswmGkyEibvqSgzulZOxJV0587SrJwrZepSPOmg7SwhIKf1gj4T2CcqcER55EkqZvKcavb_z2zAvTcDFcb_lNA0IveS7kdD2kkVTxFqHIObA4S50w0wUsV2aGmk40Qk3D-YNJySrRku9DfopAvy-fCVs1h2tT8EaHgOH84EPrE3Rnc_Pl9l1O7LVDtXQq7cQDOPg78pNHY_gdzs-j-F_K_T5TvTmYag1WocMzZ6k_k2RdjjQqkUw8H_tRSaVz4cV1HqOLc6UPr4qZdtBQZwoISPMsUSS9kBgUaTJ2DM7uOG-iwOz-eC8WFhQ3haKGX2LuuzfVqCRQd1gSVboSnmtKth5HPsEkk56_SBTqeJZzidib4pRZi20BeGZe2uF-xZ0MBo_WsqppQuVHWG3man960dOERxgA60X3lYkFGxhSlst2HPUMntk-Rw==&xkcb=SoBM-_M3MPQa3YgMJz0BbzkdCdPP&p=10&fvj=1&vjs=3,Low Wood Bay Resort & Spa,Windermere LA23,Just posted
11,(Admin) GP Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CDCEXPbBwzU_A-zNEbfS-c_w7rx6IPs5Sit6yM6xHom49rG6rBf1B9poJOTr_NAeIUUUrQ7DvsJ9qLlIg-gGWRQtUzchdOq-1UIztholSFEJRMLnrEI2CxTzrt4ek8_LlOSKBYLBuHI3XgQC6ano87mhjHMeyXdNpJlZrvGkxlDJLU6yQEFtyzT2z5xIDAA8cK-FKvxUl7rT3zcM8lxuDbBEtXheqER0u2DGTOy934dNPJjKzlvw_VSrbasr3GKSIPyWzYchrrojbEAMPppUrwoE4KevE16c3xN-rVFEMs90t_XucuevgUiwEuddvJGUUqmDYu_WaqyHTDJ6xkmkiWj81Eur1UVAnRPDXPat0F0M72Cd675Mi4aeed7UEYAkTmf9059vztwlK0f325mqbA9vmYK2egyi0tMtT7cLSO8UuOt0K9tQsNcsJ0kC-WmEEFkfIPvmBCahIUsCaiQRpUG8Q3_-q46hfuGSKFWc-tA-kKVmLS_uBaJ9Q93LePg1Q=&xkcb=SoD4-_M3MPQa3YgMJz0AbzkdCdPP&p=11&fvj=1&vjs=3,Birbeck Medical Group,Penrith, 1 day ago
12,Ground Worker,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0A7KtQDPZuZxd67b_gyrS1PmYYM07hZ8Cb58YFMTlNlY6O88RqVg66VL2VU7yJ0OLl2I43RkonZpBJ-2kDmi4Mz6jqHLaxeeSI8lvhDNHQPnf28oQ3qMxAdpcaj9IIiGlgcrB1YU8UWfLsPf25QQvfO4RIUMjN0IgHOrFWjYH1XUrRoH0My870myyo25gXRDDTVIxY8uCOq3M-GxApaG1eQfMBHylCbXQPEoT7uFjECyE6Aq2jtdrkUzPRipal_JxXOqyvaGINMXb0SHMcwF_ioDCStLSmvfAkgv5rA6Ocb_wjCKYVSUPIAX3IAw0c01qWAFTxoUXQ5DqnPPxS0s5jKAeKLrEHkJ2LuSS9_6Z_MX5O6QCOrEn1R6sIcqoYPTj-0sGfHzhvHo-4aNcLJ6GUcObj0VOST9VJ040fpdmJjYeh3ThAslbi_T8umxEnRNSxr3VyYNM4gyuA2uW3TUQ6N3GEjfdN1q6uRWPrGEiWcnh1MjfjMsPJ2&xkcb=SoB2-_M3MPQa3YgMJz0HbzkdCdPP&p=12&fvj=1&vjs=3,Options Resourcing Ltd,Kendal,Today
13,Manufacturing Team Member,https://uk.indeed.com/viewjob?jk=de4927c000c12cd8&fccid=d5e3dc20c284054b&vjs=3,Kimberly-Clark,Barrow-In-Furness,Today
14,Customer Services,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BhNrirRBMb5x8Wm6jGAlExBAJucYXpNpRCNPCsTin7O6izRaViaJxQ5sxSlPykU3XfYvhn1wP2SHhVnQ4t9G9J4NRF_nm_hHeS6f3YBOJHtv6JvLqsJ1xfHR6UZU8QvqqP8McN4yCFrwKWFBWEk8Mh3mOgbsB9Saysc28heKXNEr62yb-lN2F2LF0rA41dfwsTjrj7GkazVTM7-9a7YMjgIUvSQ-EXAMi-jD-xJgO9SJS7ae1rpWAQ9QBM7a3c3Zyw8WUG9CiZpFojYkhXimRsDzOOcz-IRqC1A3lPtTXXjMPo2GlgjwSKt6sup0IwwPlkPxPtrib8ginfjYuv73WLf3jdGA55_JT-lSoKlytQLOf8kUy0DfnMnlEuIfVVL6RJ3v3AK7e9Let6wt1WOmUjmtt6gVkksSnC06AUaSkyUOE86YnMc4hXK3DdRXjskjyaCr4iNIsRgbzOofCSmKYGU0DguT2bLHpoqb5TDAm5kYdMxkO79s4w&xkcb=SoBf-_M3MPQa3YgMJz0FbzkdCdPP&p=14&fvj=1&vjs=3,Aspatria Farmers Limited,Aspatria CA7, 1 day ago
15,(Admin) GP Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CDCEXPbBwzU_A-zNEbfS-c_w7rx6IPs5Sit6yM6xHom49rG6rBf1B9poJOTr_NAeIUUUrQ7DvsJ9qLlIg-gGWRQtUzchdOq-1UIztholSFEJRMLnrEI2CxTzrt4ek8_LlOSKBYLBuHI3XgQC6ano87mhjHMeyXdNpJlZrvGkxlDJLU6yQEFtyzeZVJPRTvhpExJO3WfCl_YV79l-aD0ZUiMhJGVMUqKCL3mAIr_DNCddF8LggbIRX4_3m0Rdd5JvcesHE8pcEHOxjtgguMtaEjN0EH-SbhOYcCL4KtE80rmE87GnrONF4YUDFCSwkUUG-4UlFcRq6yzhqOljpZl7sMLDu5NiGSHdYNN45CoNpNZep3_3-qmQ4yQNNcY7L0RSx_z008s6VwctDRdVxNlUbmjydrWmOxnYaaULjVmzXInMWDjbM8I-Cov5NVyYC7IYECdwy3dSHTWfh6pnz7-k0esb0Ir98zs33pN8wfkACXtOxqrGaRhRkNF21dSXqAmRI=&xkcb=SoCb-_M3MPQajVxuQJ0LbzkdCdPP&p=0&fvj=1&vjs=3,Birbeck Medical Group,Penrith, 1 day ago
16,Warehouse/Sales Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BhNrirRBMb5x8Wm6jGAlExBAJucYXpNpRCNPCsTin7O6izRaViaJxQ591LaB511HP0T3gUP6NqzhAiPAFd3DuW0vAGdPPevI7aBm8GA9GR7RuN7IBdO6KGAvFuOo-afvgyVdiN-xTubnBo2RHU8_DxZnMEWQk7ajdegM9nQVr1go8TtroZh0UKzz3mMSw1yM8HlQKF77Wr7DdL6qfCQMMmiQQRjjJ9jzYFVcsgMdsK73fwjqQLfGCyzMoKv2FN5Mp7ff0lQmLHm_3oeSBBguKQx-y9cD-o2Ok5uXt7JC1vp7VSI1r9SplMx2kJcAMygA8LxGE6WAB5g8HW4vatRi4OeWGvksQZdWCU4VJsZ9m80LkWAplxfwWQANhkPKarpekX0QUS5atTpMogIS0TQa3SqIhF1adZ0lRQ3zus9PSoSDlSwRZCa_hRhASHI0vkukjRfGS_bxOVDN_FoP0b-yNy1rFAzDePklQcByZE385UR39q9rlkMdDSe2hmdA4FRXM=&xkcb=SoAv-_M3MPQajVxuQJ0KbzkdCdPP&p=1&fvj=1&vjs=3,Aspatria Farmers Limited,Penrith CA11, 1 day ago
17,Transport Administrator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CyP5DvHqbpkszwEkvzehApDcHNrXTYACEK2j5R8V2AhMF_vz6aeYcvtPW5HPUCjMtse8w4x4rUMg2HM4Uxmip2__SOiCGP2VZYsUm1Fs-rNKDMP5m_9SiPpyvBOTtHn6rNdA4R99ZwhAinmqRPhf29G0eQgWQWPutJRZg4XBOhy4Gq88t_ghzKcosDNl3XPzHhCx6MhOsBd23qExGqIjnkeNqLHdIkZhNoYG_urzIEd97vlmnFD46Q2DjM6jt_-lu19kHx5McP2s--cvps9j16nsrP2S9N_H8IxMq0WoF3RsV8H8Txq3q8o3x-dg8JbxjFLWEGjORhRpzygulB04grMmFjy1DvFsQe7OAdYrwL7DkYeKa5B6DTerVSRg5CBKS_-7Oj51nXhG7XGFoQPZehxD80IgYoBLDYQJBp5pHVq078K-5y3MUJOE1Z1Al3xI9f7kga8KSoIFI07mNURSuLDnOFpj3HDXMcE-oj-nwnxfCOnDL6Z9ZylcjDcDtLzodv5k7zDfBXBA==&xkcb=SoCy-_M3MPQajVxuQJ0JbzkdCdPP&p=2&fvj=1&vjs=3,Intelligent Temporary Solutions,Carlisle, 1 day ago
18,Early Years Trainer Assessor - Morecambe/Cumbria,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DBMbDQIPO787LxUPSMcmYZEmueikwJDNZKv7ibus7RtEf8AqhEKBhOG_wfY3TJDrdxNKEeRUTKPeKakAMiieR_Rxrg0zvudN7l1vyepMoCSunrZuzZUPAG006k10JkLsHF15q4CI0rXk-bD45yzdhMXolSXwjRm6pCDhZokW1ujmG962QOmNzBQlx3cWm1UxCYimo2nUH2lDuK5xx-8bfYjJNzPxIHEShdmkzlIIxufmqWSgSRwg78FxI4_SCvlIjN__ZOLa8QYvivOuIOftE4yUC6Wtc2gy-0ihQEKrCmZQ0yN3v7AsNWnkpUt6lpzJG785EULFXKzgsCDPPLZpcq8oRMETYkLT19gEDiLT9q_eCH7d170uy-Wj2PikRzm9tEr0ENyZsaTap6wfP82JN7oiDgul6-YqzAqqyR3q2xfDNLD3T97TZ38PYWoeLW_3JTjXkpOXCBMSMQH1atQ75L4q-qnaHjNV3Kbu4VBN9Y0TqVtlvxVZKe0jtykeaUqAIOLSK5XGONRw==&xkcb=SoAG-_M3MPQajVxuQJ0IbzkdCdPP&p=3&fvj=1&vjs=3,Training Works (NW) Ltd,Penrith, 1 day ago
19,Delivery Driver Multi Drop - All Locations,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0D0VWdbe681A8OQuhGmxRcGbgkgbR3LFb8Yi60w8LL2z6dC6neMUMtjfm_2zF3MhnJdfqbZdvp6JC9kH6IVR0vVy43XyZKbfiMfpEVvzZyXg8-iu6FD4F9F1ZgJI0nCu9LgSRhUt8pxZozxb-HRtq0PUX6pV5y7Un8G9F-v7WRQf3VvEaSvhIgG2JIhUUpQ_wSaLj_Bp5PIDioji_Di2h3aAakxZk2qGOA8zVzngHaOVVW5RHXGPBa2kXLin4M3VckciXGuLnL8PEWmsHF1-R2T5QNZL54lI8v9mdhGlmYnYmZvmfry-PT84hehHm16UtS3gRzFbgHR7KK1v5djNX9Hu1ekukMeXewfexe1HsN4TePSwSq24X8Nkppkx0H104LTGvoUQ_Dz2gPfJHAZzFYU_OFMWEl7Qig6dTu5e4-Zg7doHDg8C5B0kmNdnbggXR7PN03yixHxNswBTLteeE7Y&xkcb=SoCI-_M3MPQajVxuQJ0PbzkdCdPP&p=4&fvj=1&vjs=3,Beelivery,Cockermouth,Hiring ongoing
