,job_title,job_link,company,location,date_posted
0,Baker,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BXGScnN2k2NhweWfBEIomtTlA0ZqDfLZmYj_4tOtFd8v3g49Xo-KyIM51o-9muqg0mAaOxrLCQdBXfzaUiIGyuBflvkQ1NHTgwFvNhn0LSD2G2-XDpfQpUL6Z8FMUS4cKQwZdN8o-pOIVu9z2JDRxy-9wPxSJnAkKIm8C0hlORK-vdzNEItUKMAWrb3-MpoNgIO9GTzdoimyuj_DpA5sM7tN6Nu32Gpl9nsW7_QhIi2LzDxQIvtTZU-WGA7NQ1_2msH_xTkIID4nzYm7SK6kUGovaiCiLDDPcL1WqQicjTLzqp3ABMJqohfxWWn8tep7AEQ-aTNxkHSf9uKmiseariAmz3qlUCLfcvY7IWZHK5JIn6g8FOm_CKWs4Bzyx8VqqmiZoUqf7JfCwUtFvIUcPN4nCc5ndz8AM1qZLbRVQBt9ogj9ppmmFWhbKoan-w2_lazq00KJO2dq12NfyV9Gm8O0d0G_APTbOZ5GDyFWM3tQ==&xkcb=SoCU-_M3MPQmFkWzIB0LbzkdCdPP&p=0&fvj=1&vjs=3,Mulberry House Residential Home,Newton Abbot,Today
1,Domiciliary Support Worker - NVQ 3 - HOLSWORTHY AREA,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0D0ZqxdZg2TwcIemQ4yr89eGinLCR7bn2QHXosobzuZIDj3d7eZuNVhfrfJs2JApXvF15K81nqJZsyaJUTajAdx9r79oDt6qoByewDJyXHV9tkajZqjSmgx8Zv8yuUtrhhIRw2cnIrrcas7TyLDdRSYhvFQBC9DYp9moQf9z_LWGo9ouNbbAXFRKgHCE6yO4TMZvR8p-7MG0gMw6iee18I4sVPFhHZxsD7PrAjcbojY_o2tytWcuhog5H0wRsQ8diBIHMkOrW7IMKVse3nxRCYvTYj8vliRbi_ECCrgLxR2e3Dwm7R7LjH9FMZiwXEMK9ypGrrCtLie7_kIO5yx7HAKi4lTd4av9Ictg66woBBMrMLlTpshfd-qrJeai-5whL-b7o6oHYgynzec7YlhbtsqtMApX9qaUcxsqEVFvEfOoyTThRIWkQ805fIEadK-Ofo4lWM1XvQj74pNiQJ3oWymKZubuiQQkc4em_bBxakWb-NCCSIZFnVfc-D_tB0jjHN-OsLcBrklrTPn8R_PYAJnwAEundnTGxk=&xkcb=SoAg-_M3MPQmFkWzIB0KbzkdCdPP&p=1&fvj=1&vjs=3,Rural Care North Devon Ltd,Holsworthy,Today
2,Education Support Advisor,https://uk.indeed.com/viewjob?jk=09426bd4dfee84c5&fccid=2c60e2b3e08bfe2a&vjs=3,University of Exeter,Hybrid remote in Exeter,Today
3,Higher Education Student Liaison,https://uk.indeed.com/company/CITY-COLLEGE-PLYMOUTH/jobs/Liaison-eabc725d224144cb?fccid=4c00ffefc86f6366&vjs=3,City College Plymouth,Plymouth, 1 day ago
4,Administrator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DT8joBX-KH5QGuAawGdqNyL2lp4vLAxG5_MiYCN2zMBn98g6EU4ZV1HkrSWF3wZioUIH1zhJA-_ZMQe7K0deDcMosD9k6eIKYMsICj_vZrAftGGLu6kWp4aY5L7mK2vMDfGrCdIVbDJmFqFir08EYvSWgCHECRte0AlnANXN_aJlWZlDxBKIQ2GBzsaWKSyXeloarPLC9bHpg26RxLD7woJtngNfZ9PrdegZbhmWQnOwaOWrVbL5-LWVxnR58hVTzhb_9EUajp72xkEyJNphFTwuFeufnWVtqDXqPu_c9gQaA6RMgEOdrPzfT5OB0JX7qyLeLX4XJcVWP_UoBnVn95EecjVxJy2ueVoOahr-PJEuTc3QJ7a9uXPVQciUt6AhNyKLwLiekOTQRskc0TBWVA7BIUYTC23TYbaB-daj1Q8Ty2mruGCx2-cBxFRDulr4Yb3zfvtIODgjZ13ice52MnoePJ18d0vpbkgBoA01R6z8ZO2OQxZPMX3DZP0oxFxO2h6zwYI2MPmh0ZktegxQF8kVCk4Gj5tfqOPBxGHw3mWw==&xkcb=SoCH-_M3MPQmFkWzIB0PbzkdCdPP&p=4&fvj=1&vjs=3,Cathedral Appointments,Exeter, 1 day ago
5,Animal Welfare Assistant - part time,https://uk.indeed.com/viewjob?jk=eccd3b1692530a29&fccid=09425ba64bb6d8f8&vjs=3,Blue Cross For Pets,Devon, 1 day ago
6,Public and Green Space Operator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DbqUQJLlW1evGYLmRjlVlHLg_UGpev7_RxHE__ZK5Nk-qhv1OqABgq514BllZfQhSDRO8ULh_Cd_8XNopB5Z9wm5O1_O4wTYJhWUwn4ZmKBpPVCrE9tH9-O84WljE2lXtu2qLmTdclV7HKGoALPPzdI9BoJrS0MTEgc884dOi3Ges6UYF6-2juHJdxHJ2-iERJEK6DQHa2wAVCZRLnqTvj5vYD2XfMtu99brswg-r67iVJ6Uq2NkyWGZeOYqS44g4NFmf4-GwkDla4nZrRvPPl2N9LRFzEUW4fsw1mGAWSFo3P-KUOnPFxUPI_z_HRp1PnexQ1-MQuyeynHyiIAKt97THFFyOErCBD35DJywAnEyz-GVb0F_rUugjp4Y_yaDtaFDeQu9auJxXUtjpjc8ChXJY92SOh39q0p2pbdSRylIb9CqsbZVN4wStfxtyF2k70M3y0Ug8oHZn0DU8FClQ395U8u2S8hD_FGRl4saxqbiVwSmw3YD6qpcR73EDjYNfcEynmFRC-eCY8PzVzX_eU&xkcb=SoCu-_M3MPQmFkWzIB0NbzkdCdPP&p=6&fvj=1&vjs=3,Recruitment in Partnership Ltd,Exeter, 1 day ago
7,Showteam holiday park entertainer LAST POSITION,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BLq1aai0lluQ32iiUrkrh_QlxcGaT3szPKwQptsncjjIRGVaZoXo6hnLrMAv3g_Jy43G6RTr1biN_ngQkBq86M_1hDOGM2jxkOA0vnOpLmvBGCvepZ9rFcTLOmJVbvaLnQtmlqqb6CVIjJUkEwAY7bS0oBayIX01PnPTfqNAYw-hpFDMnimfvtt8xAfCYt0CMgiZspki4i7Y2c7f6BzVlvAqJ-kDZdle1mHjTXtPPjRRzt4H5-UIzmG6PyT6vpu52fE4pJ6YzYXBwfjjc4PIy6sO7rRbtrs0FUwMj9gjCBJ2-BJaCylesBAgstFvCOHkLtB-X5j_91GoELL3q4l_Aq0ah0sv9Z_9zqcKw0jf630KhccHOacHeexadtAJIeyfjpC1rZ-0K7nQMM1lAo1AHW7Ht8pX-8uLQD0bwN4lOP1ajvv09c7AnBrYO0w8vyLWjuYynQp_x3-aLqg87GrNKIBGX25o6dIadc_0frAgEAhaIgEXHkrkzG2TUKzXyLmaCzDHMIVYvEJhm8TTcOsv3l&xkcb=SoAa-_M3MPQmFkWzIB0MbzkdCdPP&p=7&fvj=1&vjs=3,Mark price entertainment ltd,Dawlish Warren EX7,Today
8,Youth Support Worker,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DG2ptFWw5MsJCZg6Frn_bF4wRLAdt3gobDc-zKpsMBFDn1RkypooO0undPb2CrNj3BVZZk5NxrL73xljFDOgIu5EbkqtXUEjM2ZV4OGKaJKF9B10rxvleU5IURQ5M725dbnW7l6FmVJLEd-iAP7QopgWcFOnkdX9f_siW6NvQFiDRLFM7j7C5DMtPP9-89vGMERy_BxfmoBgfVCU72dHbO577IBw_JRrGSkjAeSxsyTKScM4yy9rfvRbHe1flaMWaygfkHuw67LuiWAlHLyGvyteP50Ty0ia0oANqp-ton6MEQ6aTcdfkE6vg-jjjxhNq5ROjZvMXm_XSONK-PgzsX57efdTBDXA4WTo-ZVtj3qUBLwPV-gLep8bDQKI5g0FLqW4nRcSdkoqf5IZsZ2TV49_OirnU6uLMcaCNdVU3Fal3LsIjlSLd9s9HrGW0PafKBT9OYxe0HX_f46CNxp-CkO1Mx_EAwcyP8jEr6zIwgcViw3eUg8jOpjc2_-xMUFTE=&xkcb=SoDz-_M3MPQmFkWzIB0DbzkdCdPP&p=8&fvj=1&vjs=3,The Amber Foundation - Charity number 1051388,Chulmleigh EX18+1 location,Today
9,Children's Football Coach,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BCSOomDA_uQkPNLJtweA5BTEmPXIA0_zau1TVno86YQ6TBxs2skNJNTLi86FCZvBpSRX1dfYTUKRv-MFOGg3YrW7Mcp7P_oLYVSfq2ocWZgvYL_SKP4RtC1DHnIcZJxeyRy1trDgRMkyZAmdjYy75LIM-2SR2LM9iSOiYJh__RpfCMASbEGNuZgR1Tv61_-wdH2zG-KClYQ_AqmgM_ODn7INbgWpGlhkO68Hr99ciI80SRP4wTI7aJivX40d8gM2iXeJ6iQORt1TDZtDrIgVO7hMqsyNO4OGUdb8zGWU-Yk7XPqIps9A9Rcs_s7sgGUoDeVmsjHG7efy9QGlhRtV6tB6zhRzMkqIqi_LWlNhU4WXQX7PUnpkTq6JISDNa2nzUh-0AQj5tgG3XR4NPLsb7rhq8qJ3A1K07-NNfBQKfIskfcKdejn2kH6sBX4kGKiZ3C9ZxsRMuHCEeNUMnXkyJa5Sz0YFymWHRdTEnH4Y6OUsjRGcC2c45NpsHvldquki4=&xkcb=SoBH-_M3MPQmFkWzIB0CbzkdCdPP&p=9&fvj=1&vjs=3,Kixx Plymouth,Plymouth,Today
