,job_title,job_link,company,location,date_posted
0,Occupational Hygienist,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0D0x5zYYCgTRuiCX_hfVB7iqx4m_FnfwPJC_S7z_731aj4Fs9YKMNJ9R1UMHJ7pN0Qa5HJojR1O8FMPQYOBTPrN7EdDXgk47UuXWze1tSD_31p-lfVzTp-PxFfGs78n6fzrax77y0aSSuVfAQ0K3jiYFJDHhiJIt0pTodzqihqc8cCzREfnYLwYJdCrHpoVZid0wumjlhygHiZp58zC4pjSrRm-4t-fofcQpbKwbZyxbitjURm_GN1uHUnWVs_hqHnLnXcgtTqdHqFIuEQHVq3mq0FCqWqmWXXngbyFF4n4Q7fKgwA96wEqv_JNMNIBpF33mTWJYcoVWBY_UeXeUyRQyQF61Xe9_nu3OIDzMTTr85r6ved28ggTizYt8LMAN27-sqeUBvihGe5pZcdDOgP6LkjyimYvCcQhzFAV4xdVzqsSL6bYBCWz6UHpiG65WGGDBaf8D-ZoUTZhrCuXFVlI7ec7VIqBiGmZRMbshWpY6uDmYQ3-WsEZjU3CxukyJV0=&xkcb=SoBl-_M3MPRBIlRuQJ0LbzkdCdPP&p=0&fvj=1&vjs=3,Armstrong Environmental Ltd,Durham, 1 day ago
1,Quality Assurance Lead,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0A2m-gCeCJmQ3VkCz1mXk0y-cJ8sAjyS8Z_D4QXB5tK0jvLvrvdhjkkJiYUMUkQac8QpYBTwFogbceVUg_R7yPefSG98w8dkPnnB5eRVDRGRXxO85i_LcruBl5FlkeAd5SC6YZj4XDqe98d4ELBYBRZA4PyySenQB3vZlegk028HLbD5eyhfOvhb904lyTAf6J3PG9bU8O8U3AKpFiVbofbjU8Uz8YVxjMFy8E61mzQAo_Tn-IL11Bm-goy8F228p9nmEty3DgXX4_Ny6Y4gRJVfdNoCY-jKYtONVS4NyqCx4ejyaSsG99_jSRvrLVjUpmvScW1AWlIgivILC7-fyFYYeFFcefyhUzeG8T87XVPfAQTCiFHiQju0cKsK_Qe1QWc7JQdzYJJ4u7uNPVzxlQahk69wBFVMZUEJmVvEmrfoe9QVb0F3AjKpfTxDhuXscjnXY6PmLfQvlvpB3wWkqUEnZN3vwbJbBi7HS7jSc-x2HqwDwVsYUADIDHf9LOV0Ss=&xkcb=SoDR-_M3MPRBIlRuQJ0KbzkdCdPP&p=1&fvj=1&vjs=3,Confidential,Durham,Today
2,Warehouse Operative,https://uk.indeed.com/viewjob?jk=5f2eb1882e65b9c0&fccid=fd00a2647c4a03f0&vjs=3,Amazon Warehouse,Durham DH6,Today
3,Mobile Plant Fitter,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CcLSdU2vJFpw_9IxRBluurDDndbcpSbeKlU5DEHAkri3ikIz8cI-yD5A_wcWU1-_XXa5NwITA1OowXv3q8zAK07E34yxTOyw6inNHgYi08AtOsibr8o3vmuUrNEYkERiFXEJqKpNBF1s1Y61l0mbT6giDcmE3BuVI9nxmMTAJvt0KAcjfOR5_60YJvFKI6B9rVDdUPyoHd05DnHaUkLMyIOMEjT7SUTlShPGTfZ96D95WzfA6iqeVV0w2BZPO6DW4xYn5jv6oQaV1qKbIUNM9vosVovhq6wfc8pwC3gg3YKCXHd9NYHCFEnTawMjmvkLpIjBzQYHAwsIn4TFKA4EKnly2nN026vRhftx3abGkq-E-OBT-Ao_FOkmXnp3BcRbFPQ-LbEbUE_EcyO4gkSZBoFdCtDnjlDlRdSe99plMFBLdBYNX3XmPWsoL_nKc3NRPNJUTdioocSkuRazWP2kfHX4LMFKEPE_mSNgsqLbNRoFNyWjzAjnp4Dblr-AGPqp8=&xkcb=SoD4-_M3MPRBIlRuQJ0IbzkdCdPP&p=3&fvj=1&vjs=3,Groundwork Services (Durham) Ltd,Durham,Today
4,Clerk,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CoZEDu__g6PeKtOQ1fst7I3_lnXqXEIEJKkr__C76ljWCtVAfXe9ejEFWpdD02ZFp_trfGf2tgw84afPcyL0C1xYbAHT0a5FvL40BeiDtiH7SSWzpIgtOpu5IcOYGMWb9mK_UAtS5CSwcBgUSH8G7fPGUzr1v0dbd5piRUCIqXRIUSyo8V3ii_Qj6A8pmmAyP7TmfS3GO_f77zUdq-nzLfgKwNEX3nPsy-ptU7qmh_YEgPcVCwXw4Bbcrqh8CIFq01FS5GD3IIZw33FM44e2Pjg-K4ScJ4VRwlk3Anhmy-gEaCidIZiuLRjyq2Kr040SE8o1vJ9yBDicjwHI9GSmw_2HJnWNYfikzWpdaP8bNoeE-INNbuTJY_AGn518XhyQzeR6vM58XQKpHKn-J0_1rDimdGBvOGVScKCVvjS2dbz2Sm6I7JzHdsAlRU_30N8qxU6JFMM-GU7PGDY-5K4CqGC2YgqLFvAe4uPD0Ef3uCzw==&xkcb=SoB2-_M3MPRBIlRuQJ0PbzkdCdPP&p=4&fvj=1&vjs=3,Clerks Academy UK,United Kingdom,Hiring ongoing
5,Customer Service Assistant,https://uk.indeed.com/viewjob?jk=0d4b5fc36bfa4f1b&fccid=c55f4ad42cee2cd3&vjs=3,Compass Group,Durham DH1,Just posted
6,Trading Assistant,https://uk.indeed.com/viewjob?jk=933386fc0a751698&fccid=9013fe46d330e874&vjs=3,Sainsburys,Durham DH1,Just posted
7,Preparation and Distribution Team Member,https://uk.indeed.com/company/Bells-Fish-&-Chips/jobs/Distribution-Associate-d9c979cd812f89e2?fccid=1bea382b4ec98fe3&vjs=3,Bells Fish & Chips,Durham,Today
8,Kitchen Porter,https://uk.indeed.com/company/Whitechurch/jobs/Kitchen-Porter-994c99d3ab6624b8?fccid=12bdbfbc6f2120cb&vjs=3,Whitechurch,Durham,Today
9,ENHANCED SOCIAL WORK PRACTITIONER,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BOs3iVdQRpof3S_GmkmbjZBJjxvY1yk-BIqgJU9RrugkyST7REjB1Bm0_pqWpHm5LVsQGL-8AsrgeeSQzw7XolSAzwFPBQSA51qCPKpaKCokiA6ERpKLZhAYBWA4ewjwDDhBB5Og6LoWQG2qOrSBCRbWK3biNOHuvWFk1sjypaTbFs1zrJbfgLK180HMabqTeN9Flf3VpgknPYZR9POmjiGWvxSegRGBn-d4p5SL65K-BqKva4-hubGmD78Mo1_hOi3zoyGXCl7eL0lUqt2731ulNYitcTboSKU_djss_IPnsty1A5nyIH2eYSj8urhUCi0n7uia0tNaauEDuyVY6-XtDOdcf-m_MKn7jbCtOH3Os3NL7d92hxm8nm6ATchpzFqDKy29UqwtYhQKnNjB2N4dmHhRyi2lVNgnZSd82w42tcZHuTuaZ6AN2n4eps0Ijqui5Bezq9T05w09N4sUzOXppwipCGW5oRh95EcB07YKMsJ-p3eHr3bwZz5byP-NfolYFy46L7LtpPXUWuXjeo3y8aUyS4ocA=&xkcb=SoC2-_M3MPRBIlRuQJ0CbzkdCdPP&p=9&fvj=0&vjs=3,Durham County Council,Hybrid remote in Durham,Today
10,Apprenticeship Liaison Coordinator,https://uk.indeed.com/viewjob?jk=7f0c8eebe8c97bb8&fccid=1c0b30b90380267b&vjs=3,New College Durham,Durham DH1, 1 day ago
11,Patient Transport Service Driver,https://uk.indeed.com/company/Supportive/jobs/Transport-Driver-259c1ceff091d1fc?fccid=73ad4770b74d86c6&vjs=3,Supportive,Durham, 1 day ago
12,Bar and Waiting Staff,https://uk.indeed.com/company/Ramside-Hall-Hotel-&-Golf-Club/jobs/Server-77cab2ea56048020?fccid=e6383b4ab6bbbf21&vjs=3,Ramside Hall Hotel & Golf Club,Durham DH1, 1 day ago
13,Guest Service Agent,https://uk.indeed.com/viewjob?jk=f7723ad93137ba07&fccid=4059934ea985e713&vjs=3,Radisson Blu Hotel Durham-Rooms,Durham DH1,Today
14,Bank Staff Nursery Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0B4HbDmdbZd5IIqW-kBzq0GDYGwN0wiig5FxrluuFnJDCInd3zaZUxd0dS5O6rTMORvqzIvMh1dWpApxnuXypOYOgrKnJZHgZGd4rPMIvsiYRHJuq6Pjz6dxFVS3o6bCcTQoMRKEtnL6TPKkRsHhP7m4hwMYUvvFpdNdOPc_DLZ-OmeFq-VgD4wzCd5ics2r1A9opYLoWbzcbX0QGZeRCRm5RhyUPGB7AtvTfBRQ3lPoYtAkJOiiRZRp6E0zPfwaXDV3LCTXxDdAsKEulF-391cWNh9eYkyyz0dztqs9x3nrwvq7W4tjxd4hFwT9NMQHKY4RObWUxP5VkDB4ziJI3xojR5u4p_3ee5M7u5DdOlZO0TO56IIe_xC36WsUDXDeB4iA_EoqEXFGv1gG9MVzKjF5tLF1qpang8nayFBP0j69GeiSEK0ndqtvctThp6zsrFwmBf7LU9pzMq-ZthLxvRf2Ope1keWShmCcjQOHiJ2Sy0EK6fzJdJG7xKUVjJGjLw-SSOL5TvgRZZ7HVJIyeWfOoZ6QRcE2ng=&xkcb=SoA4-_M3MPRBIlRuQJ0FbzkdCdPP&p=14&fvj=1&vjs=3,Farm Day Nurseries Ltd,Durham, 1 day ago
15,English School Tutor -- KS3 & KS4,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0ADTa-3mi3zOrL8vzM21lYdaB4yOOu9bI0U00gHUKUjSGuKAyb1gqq6HGqtbBtlEeQwgrmAhw5daN2QI2sdH4NH9LqY8_7UyLExqTfOnH9fkp5OFMdZnYYVK_TO_YmbBj842TK32pv5vQln_jZ-WQlN0l-_ZjZ60QyjQ6B2kdJLukfjHZ-YKA-_wpPiuna109rUpRVbqqKEMJ0ut_GgM1br7h0x6zuqFhyom8hjIXvblCtSRZfiNNIMZ_DcTi_1tSbEEtySFV0NosY81sJpki1HmjJvwASTCJpeJrMZtaSUK-5kmzplw3YYotkjAfkgMF2WyFZgLk6fd6TuuBTrHkJmxWp_5XsBI-LnDksLE2Lu5ztDAtlEhTPwDNA1XILRIGDPMU5ufO5ipJYKYITiY8GrO4BlrBcEPz2nckndOIRXvjn4abPnGgJd0mYyLdoOlHIuO0_3AfzWTm5-dpnx3VtxQzkZPIkiLzatHIyLrL4c6aSKEf8YMBzmduD9fRyEaATcyqd8N6zcRRzdTaixZYsQ&xkcb=SoCD-_M3MPRAmUQHIh0LbzkdCdPP&p=0&fvj=0&vjs=3,i-teachers,Durham, 1 day ago
