,job_title,job_link,company,location,date_posted
0,Customer Team Leader,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CJX1qlD2wkvFlorwK9yyuE9y0j35Dqjjwtc-1AiC_tELTUnFs0tjlq5ZPeGiyi30JLB1toB_k1WntWTnzWfZslXm75XMluqPjg-1mK3swMfKahKXDxms5czJchdyHret0JmDWSdMOLnXFE1aX-ivDojzbaCgEn_ExUnws-SA8aUFPt9Ow8hH6ESfsP2hRTBZUkTpzyyacIYP7b2FnE9bLiGdFKFvREJiVLncD572GdjWRbHM20MNyvCleUo0MijcYdiT0t2omFY59CdJdxKUkwwTnBds_3CUTy4UkZE9VfqIgfS0kfmLSuiYv7AD0EaZkzvMQrVmDxBgVoWoOBZsw0_FDCL7OAR2rSbKvus6mO1gHSBmSva1P4DD2AlZRk5K66_CAOlVMDRQCAOtZcDDdcz5UZqHZ2oZ4SLwBHWYauRH39n6Pgyud33-psEDgmxZQ=&xkcb=SoDY-_M3MPeFRz2zM50LbzkdCdPP&p=0&fvj=0&vjs=3,Coop,Glenrothes KY7,Today
1,Delivery Driver - Own Vehicle,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DqAQaVg-C-WPkqiOsZdDmtCqWxhBHYCLC8CgTf4ep3CiAxrLl9jLpIM1hpMrUg4P5nkhc0Mk9N4WlKhwnThACn56bfR9QH4vGuAD7tuJO_y_Va63FdKnqszzCS4Dkf7A92armOKVB_GNKKqvSqcBSbdvfHs2xLKLY6VaQODOmEnD4VIWQJgIxDAd7EFTgQZcOHadeK8udruZFr6vrzIIPWjw9T3FGvXxXuJ15fnyAiHwI0qdxcEb6t60Jygyx1SlwZQhttiOkZo6_5o69lTlwEnPTLqam_VNQcgd8hQhKp1-ATVucd_E2v8gvxk93KExMBxp6HhAT7XmuEFTs9UNqoDbsquU4pi-c9d1pxwyOKCqjAE5KyGrdw8C9ztoIHJQwL4Aez_lSo7K0C2f85aF3PLXcCqMrrP0pUDhbeeqocEvZFlfeSGakGMR6Al3kpmuRLSLeIA2l01Sffeyybktd7TerEXD1Rs4xnr9Rr38lF_wqFDH7l7vFVTnyhTig8jFricJiLDLSu-BQjYDjwkX7ZHjlttnAJ0xQBe4BnCOIaD6dvMe6y5tSi_r1Hg0nClL1p2Vzm_REXWQ==&xkcb=SoBs-_M3MPeFRz2zM50KbzkdCdPP&p=1&fvj=0&vjs=3,Rowlands Pharmacy,Cupar KY15,Just posted
2,Stock Replenisher - Nights,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0D7fI_Xt53OcOm13SvyUWBa7C3FK3PwsvoiB8QJV_IqyxtaI3VMlM37Q-6ydMR8lerZrK8xqNjJZrdlt8MmuwVp6AhnbdUX7jYJWjBi6vyUZYWYl0GEooGWENO81mG3i6oJcQLXowqOhrLMa6ASwUL9mPwKz9q1S641ALJ3pdSKklJn5r_wkFgL2UsQhuZgnLG5u2L3zBCd7mRwQmyS0dzUieG_0jUxjD0t1yVJuCMTuKq_mwWnoHRLARba22vFRvaBjBmQ2SjZ5mdOCkIkLn2ut17oi7WcQWkNRdrYXsAMREuKI7g72ueK4DN9bocZ5et8AABp9_Qu5jSFLpKXde2yunArh_8kGsyoO5ULp2f68zG1X7c3EgZMQP0lmE-ATbFHIzuVSDvv4QVFN7CSGwjKX91ZA7MB7A5GlnaM9Pd280gmy5OhEwix3Hv-Va6gB8JCJbGiEQDTW2k7e-zeiU0ybe3rdvqZCyzwdxotcsz9zzNs-i-E41ZjwVqPRx7JvW4=&xkcb=SoDx-_M3MPeFRz2zM50JbzkdCdPP&p=2&fvj=1&vjs=3,ZR Recruits Ltd,Glenrothes,Hiring ongoing
3,Meat Production Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CSkeSRHFTZ1WeBFiQbOS9CkspK9vZPr0MmevPLpksa8AOIAzwGW8ebN3FaQj7VS-j-zAYwvWTKDhu1RicBIqnvzv0sBKFmYfwPWhbbDnjO9Dyg8HYIEFzbbDnAYFG0KkgxFaM0DMqnMZlT9I8hfj8gj2G8IJZxeUg4AQcZC7p2S7lZMMoxg_4Rmh4e-tuhb8G45KSoYnXaQtbJYA0z64g0mFWjVKhPTnOgDPd9_O9-raeenn7uBO7-rhqESKbAAc4vXr8exLWQUXKrbrnKdl0thpmTbu6tjPXutRr7RcrwXLldqzeteK-CpEIeitASyTL4vWIucCyHxyf05FBpS1IXMLhdi-NY7tLQ0PpQv7yM-6dfuHfDS9JZP5g0tijW1Ze2uf5nhHyewDkGpK8vVTLODQb1nQ_Bj17Dli2D7Olc3fbnOZNrwA72EiqJ7T23gxVCn9OUfDVHqvsRmLKWbD6rdRzuUyzq_wRDnM2eqW4La89IFf2iwtFasIpR3O_fhU8=&xkcb=SoBF-_M3MPeFRz2zM50IbzkdCdPP&p=3&fvj=1&vjs=3,John Henderson Meat Specialist Ltd,Glenrothes,Today
4,Delivery Driver,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0A1ctgBjQaXxCVJyW448m-pebTOzPfzSsIcvgSnD8_Q6at-JM77OsKZi6cvgUPg28vIaKpQx5csnLLO4QnnEv72ng4YDpN0bwyYQ_WtJFxibkcN4yBdw46oupmXTeTJpWJ6aSiK85iYllveU8WMyAxYFt-na-CYkmJp9V_eZzffX9PzucCbuQdufqXfGtspePlBm57yDtBJY-LGtjdaiaXFRyYHWSUe25uVmRf_0IN8y6FBxKGYT1H52L4ntr83CRgiGaLb_NbZvCrrwBraFYnjcYe_Ge98o4TmE8RNtMHG_Uu7FkoAOZ3Anm0aaqyKPpkWOwPtkKT2czbMUtGAdLelQB27rARX7QPlFaowSXqDpmXyZSSNj7YF-XDeo03hpgnlxA-gZy2baFaKX705FvzGkWf0FSny224mzpvdY_9IRYQTB4NZjDgw8YEHv7K9jMyJ2zjB2LAfVCsI3IqcmMJWxeGiSM0a1WLU9krlw_Um_sCJFRQ_fKgS&xkcb=SoDL-_M3MPeFRz2zM50PbzkdCdPP&p=4&fvj=1&vjs=3,Gophr,Glenrothes+1 location,Hiring ongoing
5,Stock Replenisher,https://uk.indeed.com/company/Makepeace-Ltd/jobs/Replenishment-Associate-5c15beb3a0d9d27c?fccid=9893aa893477cd08&vjs=3,Makepeace Ltd,Glenrothes, 1 day ago
6,Relief Residential Childcare Worker,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CZB6f54VIi186cJE5vGjQ71Lczb8cbuki3wNzy1PmFkxcVSlW5WS54ttWBp94Bb9u1K4knEDQOvvvKVNzifnn93yKolBOv5n8KqcBnSVcFp_OUP6k8dwnM8zXvXQTTYIJKYnaUurGq14LHCfF0nOAY2Yy6EdW4SlacnxsP8_DtSGEs8k_PE-_7DnHV4eTEYK78pA01mktrpL6XetGt_1MUlI04qOCygDvmzoKMaLJXDPiwYoCUdPnVimKHlos8uek_d0klDSudm-vofsC2a_hJAsl8zQ9GgQxrDcO0jZNfFMCnHCMS9qn6WdhnM_zg39ZggP_8AOQQXFxFU-VegPz6ZT_w7P1sH6qDueqKhmGauyY_AjZr5QeO7KiQ7lgwYL3XT0aufIv_491GjEfzwG6eUcj2Y-cXXUcaEmCVMW1wBYT0CPRFjIOd0IPe_W5v-voq0ce7gL4SP1fJs6DOFfUe-TDNjez4-tEOYMF9tyLjPhwwwhbsP3gPTfunoLur4IA6UkLaKYoXdRig1adEQXsedij9Y-ZrYks=&xkcb=SoDi-_M3MPeFRz2zM50NbzkdCdPP&p=6&fvj=1&vjs=3,Inspire Scotland Ltd,Anstruther, 1 day ago
7,Payroll Administrator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BY9dMHlozIzkrgkDkJfN5eDWkQCRnBwalNe3bSwGM48avDopPlORRAbewyc9-mo2YglEf0WJltTutCl1DUNFv5cTacDVjGMLzIvLYFxdd_mxJOilZfMRKUBDRmjr33nqUN2rMWbNyZLIddi3f2tysBtjbRuhNUMJI2DYCZPvbVYSq5jTEBvNjxfL6sYMVenVtqLqjbbYBgqNNkPI-7xGU4OqqvDMqnsjD2Bf_Rn_wY6Bzipqp52GfeQi00wEis0JL9iV5ufw9kaff6YrjQEFANmrPwMOxs0lw7iIucJ0aQFxOLxUiATcZcQJW2MUVXoC9hvwRaNR0SWfjYMHntpwBD4zucTlNGk0OIMr8Rh0f7grT2oY0BAfTiCBo49wYjfH1fKCyfBhFWAN4UIGVfkK9Ilnqht4-cD6HgqcVspqu7HFoX2A5pyB0rnafXcu0vsFFYBuROGyZyac8D_l8JGlJK1mHyKu3LFR_bW48c5MpAO_xiRvpLD_OuvOSDFe2RLXo=&xkcb=SoBW-_M3MPeFRz2zM50MbzkdCdPP&p=7&fvj=1&vjs=3,Fishers Services Ltd,Cupar KY15, 1 day ago
8,Parts & Service Advisor,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Dh4UpvVd4lipkBBtPs2B_OHFVuYychAS77eTmUw3Of6k8rhyo1Wih5TAA_PzJf_EkyO2B8xteDzY6B3rYLdOUbTgCRxyk-dHsYwAzyUFSB9q1jQZDq98NTouEyQXW7kBPX0JlplqmMeAeDsgC9eqJNc-yETz0BtjzL3uoDpH8bw6HorDMGfg5h5z9LrIXLpUH3sS5PNNWP4LwSQBhL4bs9FCVsDNxU6gTGTrN8ztqx8fhj8IOCUHAQYsoK5FtYdNlyRANA1PL0YcmhupEiAcLVRu1NQguiWtjkAY84aMOVO_L2x5W8zbxa5wH8GnXHlORbHrPVkjSTYUVCSDbxgwRB49s8Jvhdi5eAtcoVElu0gxJ6PvLurUSlOi-LzW7CtJD2Xf3Vj3jCgs1SvF1ChKIjgAZ2WrNKVcZPUZV9bwbdpSsoSI8McyvFC98CdVRM8VZgX19sdjoaGW8CvApa0xgaIWXKJoi92ztgSZgtVtVfeIHvGzAjJzTB&xkcb=SoC_-_M3MPeFRz2zM50DbzkdCdPP&p=8&fvj=1&vjs=3,Forth Grass Machinery Ltd.,Dunfermline KY11,Today
9,Engineering Stores Coordinator (Day and Night shift),https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CHtZ1ki7YB0QOETENCXIPMeqYT5azko3Vq6NlH0-yGhP9gpSJmUWBxO9axmxxHS8Z_cKVooRi7LC50npKwJRvQoQU-f5vwLwcDXx9WFp-G0kB0FFzZobJqWkpt9vNmPTOKe0S72fN6X_kaf0PKP8qlJG3GS5J5pWq9xESyUgtqq2n4qKuRjo6a47XKBQhBuIHfXYwNyPEYmTzYAJAr1cUvjRr-SVTfbktIzbFTOSyi5m-oYmIdmkS_REApOe04inE8xCvVUl0CmVnobpMOnDJfJ4ZBUYqAWZHmCmljvG2A6jOoyk8THMaCxMjze00aFMMlbrNLwrwapzf5FpGw66vCIelFf5CnkOg4hp__R0F7Pd2FKDYUQ7Jz1lgXPI9nGpvhHA6Ku35gypaKKoF9XICpI5oWYFVyYdSHwNJUq93Nq9if-rDRyODty3tCW300uLYGp556w1_mOjRDOyATvlZ1Qe8m8RnOo5U7m1WtVVaypUDYPC5E30j_Snq0bZw8nt-KtB1I_AQwQ-e-4Hl_w59HPLyEtOLTs5FbT-rtgmftBA==&xkcb=SoAL-_M3MPeFRz2zM50CbzkdCdPP&p=9&fvj=1&vjs=3,Be Personnel Limited,Rosyth,Today
