,job_title,job_link,company,location,date_posted
0,PRODUCT TECHNOLOGIST (TEXTILES/HOMEWARE),https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Cdkb1rpSyfuEmFr4Zqs-LKxS8hOrMzVjt8d_GvUjz-C45QedAbS35bHcHxiGahLBKcx4tpsVF1YW2UQD9LBhuaoXQT7MN6FMrxWP5YkAvUH8EmPa6A5N_vkO2Tfv37sR0P3fkxtZlO99hD9geJtA3sqPVUIsXJbhKDpVhXV6HY2ShnPnnP-NorbUFxt1Oy_c6DgLn76o-N9iD6c-cXRuViTfKuCOkzZlPmjawE6xYOU_qYGjLWlCSoxJsbO4Lmnh8OSeVO4DSfJLFs6X9trC6CBFtkTetpC8hmhKpp7sjtXU5qhC1TSGQLvL3E8gHNJDa_xLz0Lq8X_tGeY8UXnsJ9N32fzct2RUgRTeaI3cX7wBKUnlHg3hBT5aoa3a-MvqiTm6c8bjdNTqmZ7fEkq6bNz6VpXt0sVoQdLipBrYC7XWFOJCAjP2ydUj_-wMqf6nwsqaIKKDAfpWVQliLOb6vXUqibBDWaxpc-rBiiu5vANmB8mQAjgiV04amVqLBsmcXOe_Y4CKM76g-fQ8FFfVSIBJofqe7-uTWyL7OoIuI1-b4jxJM_6K1C&xkcb=SoCe-_M3MPR7j2R_gp0LbzkdCdPP&p=0&fvj=1&vjs=3,House of Fashion Associates Ltd,Manchester,Just posted
1,Vehicle Damage Assessor,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0AdfW5FFjM1ImwLMndGCbSW0LTpZR7Qtno-_Gx22eeYi04XIwokavIpD9X3G2AX2f-xH7UtoFnm_o6JORS8q9pYAZXPcZFc-QaFuZzEsHvCIDj1fqPObVTinKk9G7l5eYCucy2N7v9JXSrAOoBMPQmot5SL8NH2l1QrlVinw8VkempzHU-gIDqDGWfPg7utwPtCLl3C7MTzhOQHyKgPKZczK6ttLPPHAkPA_JvkGMHl68iz6q7B2eLK35tMd_5u4GoizUnqcdt7LdTK5_tYacUtuQUHE-otNCBI3FCM9Zi28WEUTCEp1HdypDqFQqPkwkbj-IY6ruFk-aBanNU9aS32RgxzVfBXPzjk5CX9Rkt5rrYYg6UBb24fdg_pw6QRhb2OJ2unZrZ3cUqSFRo9mZTsHM_fZWb0PNfsjLmsUNnfOx460Juy6JVtW614BvvJvhg6oVpFqc2I1XuCKGlhDidJF9Wt9TlTVMTJYU3-AUBKRxqML0tULsLGEs4OH6JEwx557nHv1tGmpl3d_6Y-Kkfxp2EHCBcz6PSY-wRmJXbp-ocrmcIESJZdGvrH9eBCL9NRlx9s9SklIQ==&xkcb=SoAq-_M3MPR7j2R_gp0KbzkdCdPP&p=1&fvj=0&vjs=3,Octane Recruitment Ltd,Manchester, 1 day ago
2,Size? - Sales Assistant Part Time,https://uk.indeed.com/viewjob?jk=6f1287266cad4191&fccid=771066a9255d9186&vjs=3,JD Sports,Manchester,Today
3,Sales Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DLpVnpd18cLqWLGoc9kRVF-tFWdP2tUwG6iRlRv3KNSiXR325N3hXi-x31AgeQJAr3o9kzMf3L4dxO7jzPh_sgk36sT3OGNGlEvxIiZXCvr5uE6ocTVS3R7m63LjNzfH4LG-5N_WZoA4lw2HABvDG82lnisiExsW9xhPMhWrp-WRuxrD52L0Ke-6QTNwOEyoGonNH1Zx6NeABgXaCX-GYuuu9SFRU11Mzi0LrAdOgGwrRXpRDrj1FUoD-bOJ5E6P-nG-OY_-Aoce-MPdFcbfNKUl1ll8KU2lZnUkzaHxaGmgoZOo7UXgCyaNmq1iDaz-CK-E2vurGm4vT0ud2xH9DNdFNwc84ry3tATbAarpvn_n0nWmdI0Xrisc_nZqTQh__77Nqv7MSXKbrqXhnTa3KSCtxxXZx8gxWpQibblRsmsH8ACHzC4kcR_xPGwHd77ZfMQAq5M5tboqkRBkkPIsO4f-6Bl_H6bq0ceR3sh9Q6MEmz9vjqChDP3QgU40h4jX6SY4H1KvMFRQkneRLZ3sa_Lf_YkKC_SvU=&xkcb=SoAD-_M3MPR7j2R_gp0IbzkdCdPP&p=3&fvj=0&vjs=3,Verisure Services (UK) Limited,Manchester+1 location, 1 day ago
4,Guest Service Executive,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DO2GY-ozHgAruiCSJnFiSVD16LZVpt6z5x2-4S4xRsNOb6__ZbSohJAhoxeor-59xauL3IaZQz207kMonzGYtw5or_K76xyBOER3luznO-dmgaFRnIlh66j0l6bo1KTHFxlx2heFh_x_sRWreBl4daKxzDKmIYgtpwVyD0Q4gwbZ6ukiF49fSxzaHLYxL7s8rgJs_0p9vrZtnwROhqm_cndYVi4iZjxWqf2oY0dWWDef1zwWcZIgnwl_sqpyhCnjm79CZFBjNB_PJgIuHr7BW_BacGpQuF7O_HzCIcj5wJU6ew9a4hFKK1Zw_Prfb1tT-gvGa3Y3XbGE5om58iP9bxoutDp9xbvIjULB_5tvaTb3-WYx0wsykNVpf9Fuxakx8cWTGH06qz3dyUbpTTY5i0HAExPgUKGXW5-O50c_yPhYQYwjyyESM6Ht2j_lZUIljv76BONGOkG3QPp9v3AvoYSjAxTfW1pdsh8YjfQTecRKLiNjVba0O80rUkvgQZykmQZE3J45vBhQ==&xkcb=SoCN-_M3MPR7j2R_gp0PbzkdCdPP&p=4&fvj=1&vjs=3,Chaos Karts,Manchester M3, 1 day ago
5,Office Administrator,https://uk.indeed.com/viewjob?jk=44fb10aa400a35a3&fccid=7691ebb71b24124c&vjs=3,NHS Property Services,Stockport SK4,Today
6,Tesco Colleague - Stretford Extra,https://uk.indeed.com/viewjob?jk=b5730e0696061653&fccid=e7de5238ae83770d&vjs=3,Tesco,Manchester M32,Just posted
7,Brand Assistant,https://uk.indeed.com/viewjob?jk=40993dfb8c72b5b5&fccid=02bcd7cac6eb4cba&vjs=3,boohoo group,Manchester,Today
8,Healthcare Assistant - BD,https://uk.indeed.com/viewjob?jk=7df0afa86e045b14&fccid=7691ebb71b24124c&vjs=3,NHS Blood and Transplant,Manchester M13,Today
9,Self Employed Dog Groomer,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CHpSnjIPxMtekS58WZl5Olhjo2iWL5RjE_Boe0ccr3FjuSN5HuK1xrKX9BH_77l2qgxD3p6J4cSfcDVznPTIj6Mh4acmPuHKJMHPG__Dk-h-5zemLnV1e2DjC1O4K3hcmaOhPsBT3egQ23y37SWgVjgNqweYG-0G72Kaveh4VP1apCwdolM1F5fW2vIUaiPEhHeZfZoYGbCvj5jq-IyOhny77dos9klh78EbUfTMFnTwUnlE3P9_EULzv5wmsN4uAwyxajQi9lD-Nm2hposX_qrgDKYyhzOnjIp3UMGp71gqcKiBRbeb-EJKIqTiGjWEz-1FF5DJpXJcixRMIv-ImiVmhxNDmuddpUFwET3T9JPGDUv5ZnBLqiN0Kv6awZP17PLsEAN-XjcUvo2T9VQKYkssnQ56rqyult6SUgM_GOqycw_Juei4_vvtEhvVoXTH869iI_VrrpGFhpGY7Jx9ks8GnvR66vfvDlgQwBRxD0KdQEUFtulCyskQvz0sspgmWbKQnOzCZiGRnq4KwhB3GU&xkcb=SoBN-_M3MPR7j2R_gp0CbzkdCdPP&p=9&fvj=1&vjs=3,The Barkside Mcr,Manchester M1,Just posted
10,Sample Admin Assistant (12 month FTC),https://uk.indeed.com/viewjob?jk=b98b4e21a6a98435&fccid=7033ab8d78899896&vjs=3,PRETTYLITTLETHING,Hybrid remote in Manchester,Today
11,Cook,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DvSHdlUNdWI1lYAa0H_dKTgXDF2fMK7peP2YUdEcJ9Cf1di6OMSkhXP2V3d5qAfRDrCJS3yzkrf4tE9yvjJ8uAf8YpvB_J-alDI3lyAnmaESnD7Jpo4_dnwYzZ0Ac34rB9cwGxJjR8XZ2EuPjiiar8791U5xHAA_F7sRxu3q7D1QeSgCnpS1h4CqxmQE8FUu3I-j_xvnubl6bC_6lzEPtSWNxjy-EhhLk24_-uGJUUkaUGxpPFJpkmWbMa4ogJt8IxSFjII24sDHZSqXvQKbAttZFYmEy7C0Fu9eR8QjKyXdOhOyKTC3M0zqwqNRiUJ1kLN9KMWXIuipZf0B6KDeoZy7Wa8C2P8b1qOVLUJWSaEw1v_HPYOwEgoFj7FweKGyOqgQ3dR57A7msDGW_AeAHLQWcUElISexJwqjhvVN86PIvmNelcFjpMYSdc9hc6uCmFYmLDgjUn0y7knVrCNADcdg15tnzNUELsV6w7GIZ6S7X0zdb6bqIIqGc_tXVK9Ln6Wg3Z1MdoFLJba3rp5PT3&xkcb=SoBk-_M3MPR7j2R_gp0AbzkdCdPP&p=11&fvj=1&vjs=3,St Vincent's Nursery - The Sunshine Club,Altrincham WA15, 1 day ago
12,Works Co-ordinator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Dx3r3E47sSe5bB3PIy1uzBZvlB7xy2NhfhZMlxQTsxrLrkyjuVvwNQvuGmbPRp7lcLkjnaMOyP56W1673V5M4IosIpc-bxErut6UCg5A9Q3FoBM64yt3UWCT-r_1AIrAnGKDNXeE4tQS-WR8GJZVYq3xYSNMftKJnHbzBL-vCcnVktKeNHes4-cZRP2e2fmIkhTBY8Z2_96eccUm5Sx8QTk7xySkjosy0ck3NNxArge-0uSF-KFwblE0790CU-3-B1NT5yEfLlUfx_YWTlJQo7SDKv2Axg4okDs4JDK64c8xEnwzcCUZbVeOttBFC9_aeG2mZP3OqruncRqJok9AJmpFTxCqXIInQQ4gpffmqlZxSo5IAZ_wLypaut4FWuOpDaZ4bMQWNeqpj7InGqyVlGwy5mZRO8RdSwAwFnL-f5XzEhujhq_OE9haeZKCXaFLhUH2vUwx7zpZ_HP5GEEbHb9S6dSi_u0ocjk83VLEPGYOP10S-G6F6uRhequV2RtF3LNxWVRB_gCw==&xkcb=SoDq-_M3MPR7j2R_gp0HbzkdCdPP&p=12&fvj=1&vjs=3,Versatile Lift Company,Ashton-in-Makerfield,Just posted
