,job_title,job_link,company,location,date_posted
0,Contract flooring fitters,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0AHb8c5zszHABwvSJ-Sr7FHvAucVFLnR2T5BMEOK3-u4G4Yn9CXj7c1LvZcuR0nyogmfbNhutt0n0j7ycjFAAO_AZGthhnEQ4L8VkpCxLsZaufK-bLq4hEMpk4HHD3cxDg2Xgx1LOclZBE6AHJ1UzupAsnrJledib70zoa_m0fOARrG8TSvBCPhGvBP7NQTo_QjszDNxkVzTpsTDmVlm3ksgxgvkkRBSpGlt6KRm3Id_obhpHVp1HrWblyz8s23hixMBOHVW5X61_6iuSvMhebROED7bpzfyLmUcPIbx-ikDD3tfCT5NQl3KuW2XVmgaGstsxWcNfb7rnbj8616PngRg_uVXKImL3AfQcD2aQMr-DGJmnAw0P1ujiediDhJQPlRWvr5HkEeK0OCSAB5UY4s-nUT9D9-1vxa_0TGvS6Y7wxbUsYxVVpDV4mf72ucnQvIrfOp1Ows0b18ldYa8S_aKad-LwoSQ9vi5ypUm287ryl0m7UtpYdrF5Z-zzpYFRnMIVLBL-ZU7Q==&xkcb=SoAm-_M3MPUM2YSnWZ0LbzkdCdPP&p=0&fvj=1&vjs=3,Colourbank,Leicestershire,Just posted
1,Food Technologist,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Avt6nlolOBxDrJVW6iBGTAMx8F_HZHTEy5_dE9j58Xr810r6MMzFALLyop1huxMIUgPVCMTC2raKGSrrBr8ZZ8yWtta_BjXCLrAIEFtiY1c3Jjt-jw609Ua57-3JYKGQdXaWO-wBBZUYI6dLf4RjQK6Z63tDHCwiFhrD-eUO4kidpHrzP_6krLibsJYjEs2uebdOX-cM38dA-umwfgRfgSNYHVvSxJJZ-gRwhn7UXtMwl8h48YFZ_6_XeHxLvWjUuLiD0S7yOWqX4Xd6TxZYyn4SaLbchERU6pyCCFX4PyAKB0S-wY2HWNe82H8UDSrcBvYNVNHOr5KyF6DadGLuOSsYoIug0cYiQvXkYfo_4lGtsLMhfKv50Mwkg7Q88k40VGVysDy1d1dnPyqn2HHoaNaKFLK93qY6C8FqlZ6UGj2LaduTz90BZYLCGBzrBCS8GF-tRLu__an4kdGYD0ihvxRIodKCR5hkYjOJWj2zgse4dWXRc7ps2oBHSTQsvsIbM=&xkcb=SoCS-_M3MPUM2YSnWZ0KbzkdCdPP&p=1&fvj=1&vjs=3,Active Staffing Limited,Leicester,Today
2,Finance Assistant,https://uk.indeed.com/viewjob?jk=57a7cba90423f4ed&fccid=5d383d39e6faddee&vjs=3,Leicestershire Police,Leicestershire,Today
3,Fostering Therapeutic Practitioner,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BwzrMLzsExR9qebT1vaocML_aIm3bYFO9QaFGjLZHZQDxD79nIcmo5-bjyxyKMEimbOOl-R87_3z4dwcO8XISQNRyqsCwDYoFAwcTJGTJa-b8E70BVF4L2n8n5WqTiMBD3APpGyJApigsYQevNBkD0h8uO8gR57BXzLCaQccXskc1f0khui8OmyQEUHheH6tNGiW7aSgoSN6QO29QvaFMpyRn8wM6TWSrz1wO02ltXlvoqoMgQn28NMW9dyv4rnaxCQEG4HNBMk3HFA9gd9Rkr2gLPxXXKsHy6z0GeB0ThV7QZCW_Gb0hM5QZDZxSeYkBiW9ieFW3FLgGrRSUytMOt0tJ4dnkFRrwCdorb4CsOf7ftEFRN6x1Jil2LO1KeU14RtRjmbWHCCiMhJ-75J9zOU9FKII9aIknOOSDtopn_xjdJ__LwU7zAH4NaEr7vSjeCL1go0kaK8Thnetr1_an4O2jbNMVNFXoeGdAf_0Tuj0AOxR2zoigPujspyUyjrI8lG6oqHU3aVQ==&xkcb=SoC7-_M3MPUM2YSnWZ0IbzkdCdPP&p=3&fvj=1&vjs=3,Compass Fostering,Leicester, 1 day ago
4,PIP 2 Investigator- Criminal Finance Team,https://uk.indeed.com/viewjob?jk=6005169404e1eeff&fccid=5d383d39e6faddee&vjs=3,Leicestershire Police,Hybrid remote in Leicestershire,Today
5,Welder,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CkRV8H4S23ue4qyv-4Pk1rjrJ0idONZebFaiDYs4w-Vkh0fNQxkFnqVBm0vqdyBiJAWACo6lGJi0DZHNqFKr0eXGnsIcs0l74mFKGbuWb1EHvbdqtzmt_YALazUAFzfKP-VYJZgJysnNJTuk-cRQ-3jJ6odslaJtLgQDAC515v65Parv449JNT8ayf6ZlFYIT-ntSJDXjJDjA_j6AI2emYUOw59eICzCmc3TBPkZlHICBWNo23bVZ7eqVH2oQiF4ezZBcmPH_MsuMLD-R4xotiRw8r6OCXg-vXrACLxE0NXwG8Fs4YdhxOsV1gh_nPzcAl_SKKqf2ewaiDghpMCoqQ3NaCnSJm3oonrYUjNue1bgXj7SZqRAr9hhD6-VTDg5cs2X9ZsxsigabMWO0y8cokQZ9c7Xw5jz-SHiXhzUTJf7yN2v-CSDUgzBxAn4rX7Zlntf9Nagqp-XKbpN_2-gzfIgLxGjqZNi-3r-CIsZwEhosawX_53JNu08pqSZ2vUfJ6suB6pplgmw==&xkcb=SoCB-_M3MPUM2YSnWZ0ObzkdCdPP&p=5&fvj=1&vjs=3,Linkster Recruitment,Leicester,Today
6,Bodyshop Supervisor,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0AtHsuOMainpIi2tHnJ15bXjWocMAKwvJrZeZxwMdjNonT9CTaIn_DEsa-F9-zDkF2oauZFMY4Mpy53mGfN42CHLMsC_jTr1AIyv74oSMlBMhSHAZLsiWLRfP_Tv96pq60tnkWood4u2Op0IAdkkA3in3TwHjobPyyuDS4qmu70O6tZDzrqCDBIOQV0zbBYVexGfvkM_5e0-XaYFZXIIYRB4E-4bJnQ1YHibyV8K05TtGwlRj3PL9i8qrpjH-SiiSIUFXsmLSsUKH1Ds1L87r8AYOWSMMD1xuQNq1lOWNRCsH3TABBNnDo60OGXrTsZNQNZO5qMnPn7x4rECSLovi1SiC_2zS7l0DTbOhryH-J_Q4JlcLeXPm7PqmG1Col-1XjCSz-3q-U0Qc5drM-kYDPYpmP9o2yE-9F8dv5chSKh_-5gjfNiSw9wOEgIRze-Xy-V1Rs1D2Lr1TYV1l-AAkRelNkvo3vSyTMS5xn4Ab9I85b0tQVAtaPpaN3e2XPonyvPIOnsASDYkNB9EPXATMfKuiP5st_Fvy4=&xkcb=SoAc-_M3MPUM2YSnWZ0NbzkdCdPP&p=6&fvj=1&vjs=3,Kemp Recruitment,Loughborough, 1 day ago
7,Admin Assistant-Commercial,https://uk.indeed.com/viewjob?jk=d1efde61681a4cf0&fccid=981c8518cc9dbddd&vjs=3,Dunelm,Syston+1 location, 1 day ago
8,Bench Joiner/Cabinet Maker,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0AwaE904G7-h8KuSpdElMa7qv5FM-u7-Rs-RKI24jIZ-WG7_WoMF7GXlsbVVPv7biOhsYv_tKgzx0xkME8m43GDTC-ifD6kaG_i8n3EJFPTwUve9kgbG7DRuALMi9o11bUr0Dfs2zNts7xWkgwMY95k11abLihAEvrlXaGGiP81VqxkpmW4uH7ODjS3Z3pZPOasW6ZFIq4-UPcwtC4asJxSlzNCJode7tdUQVeP_lC0ROCGB0AUgIzQRE9bf3PiveXkqEHlCJZlZtLCOnZTM-2h6ErXWtUmBifI_WGjYQjn3g1MyCj73hRW7xesT5qPrfZBLFBqK6s909cY_Wy4DXvWykS-U_PODGaEu4Q44P_9RbOVLN4KEKinYLrE-8yx9MDXu3ffvOKkyJNak1OhR042_JCIO7KBXr-yzsoAS07WMdMbAR8J8cZHQjAaWOOEuUAmVlv6b25qlHC1DF0oFfxafrDRfHNA1j6e_iOXVl0dQbR_mQk3DeJrwPdyhRWbWJHuQW-o7Gz0kA==&xkcb=SoBB-_M3MPUM2YSnWZ0DbzkdCdPP&p=8&fvj=1&vjs=3,Morgan Cox Ltd,Leicester LE9,Hiring ongoing
9,Clerk,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CoZEDu__g6PeKtOQ1fst7I3_lnXqXEIEJKkr__C76ljWCtVAfXe9ejEFWpdD02ZFp_trfGf2tgw84afPcyL0C1xYbAHT0a5FvL40BeiDtiH7SSWzpIgtOpu5IcOYGMWb9mK_UAtS5CSwcBgUSH8G7fPGUzr1v0dbd5piRUCIqXRNgu6KXGTr2uu830IQczCQ2HJkVew8WuORCfQGRkn7qUVgonLM7vt--3UyLAYX6n6X4E9IYNBHwZ2X2h4ne3cnbW4oX_DtUCeaoh3PPxxDs-KPVCpZTLyH-_lIkYFZsKuSH146Zansfp7z3xbZn_eL5_Mbx8RgwMwsvJLTf-DpHgFHhdAYdkyGKBKlhODQh7cKeU9XtHeoKPDm-Rj0Nk25vSOvYlBDQ0PFeOsSdqTIZko-Nu5rE1MaRG_Kipc3mASjO1QPo3yWtjxCo2ODyeHCfrw4ag5D77D6y5FJjvxsRXxXlPi_SSxZG5n1D5DBOk5zIApcdm4mJY&xkcb=SoD1-_M3MPUM2YSnWZ0CbzkdCdPP&p=9&fvj=1&vjs=3,Clerks Academy UK,United Kingdom,Hiring ongoing
