,job_title,job_link,company,location,date_posted
0,Baker,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Ae4GracHzaAhVBCuhLdlFX3Sc_Sw7-MkaZskP80S1Bso8IPh_HU6KyST-t9N4Tn_sAdU328BAaLHWv0h3AjPlyeB5ubPn3mqHiLG5EUrK-tLtHwfgpOxmLpQEoy5F5GbZo6fp25bf5xj6IC27Vth064QHMLEzb5nnz5Pt73IPH6hIIUi2UCLKAAK4z-6YYGFj1yqO8ivwqp631d6QEvF_d1eRsFEZhxjxcxac_WWPpRYp1Wp6rT1KoBe9P6aMJyRDi-DVapGTk6QMAx8oGA0G73uX_1Q37n_8SAipjjyMf-GhdXMQtECg197Uc1X0C8_atFtJMw6fhgdeEqu-TrcAeslrjwB8S49aScCA3_6VvGk1S_jPEmLmJWbDeSQbz1uUTLOUPMeKhmb9NJ4rdxjIouRiHc4K-LJ6xwzm9bt26FKFQeN3s1ztDUYifii3pCAo-BWiVLCdV89pxuwef7FFw4-sO_Km229fURvZkgQoQPd0pxWFuYOMV&xkcb=SoCR-_M3MPV_U5xuWB0LbzkdCdPP&p=0&fvj=1&vjs=3,Confidential,Liverpool,Today
1,Generics Tutor (AEB),https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Cs_KDycPN4wI-NdRCPbfkuXxJweWNsP3n_juAGWjo_BPQhSel7y7X8A9q66ahSvQI-y39VW7DUqtgVXQh8rAm7NC48P92n2MsNEit_lK6WuqqKJoJHiMcYRqSWNTr3-rADxXlm_ThEF6dE-Tqi9Os-5hW6ylPl_ybPvNgxw11t7Ys9bE_OEqRVhQDPXCfycKBlFzIbT1NNir9gGvYPE18PFCPPCrK-smpo6gNa9Z_xOUNlkssmKEj6c8G-40X4S9HhqKjyuGNI2Ir6mShB6c7lxtlRLLCSI_YU6YEar7ABYZAxqp5kHT2L7njTaROdlRJ9V8Nv8c1Aiy5HfEU5InI5cF6ImoI3pkj_tGReBhoJLxgtfO0z9a6Gu5cbs8R_VnJ8jSf9Um-OYIbU4Iz5qqsF7mZanz90iu9erB6pkc_Rx16OIjegsaMt6VjdMXpA_RgYDLLptxrAKQWvWhRxQTHr0zwOHVPR1A0HlElZlNvCuWPvqFNnjA-hSAhzUxLpQMs__DOoRw0ZPA==&xkcb=SoAl-_M3MPV_U5xuWB0KbzkdCdPP&p=1&fvj=1&vjs=3,Trigon Recruitment,Liverpool,Today
2,Golf Shop Assistant,https://uk.indeed.com/viewjob?jk=ebc5fd0b16b2825a&fccid=48dbbc3ff6d42810&vjs=3,Sefton Council,Bootle,Today
3,Sales/Buys Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DL8YD96vBMEL2l4C0nEkASK5TV1K6jRUNAGJ761TDJG0y4PLHjm8Vb-MkzxqiDpXWCbMlznHyjjsEHIZ8y3D3xl0Au0hfz9dvaVCRTwPYFtdUisD9GT7Q2jdO8I9HOn_Ple_qeLb3SWXaunTQCncikOZhnrZKVviQRfqeRze-L0_pju4Spudgj81nGqiJTkO2pd_BEIGlxmtAP1k-aZBZ4fJxGSGbfu63Hyuogj8-s0v0i6leSaXCrGCpJMyf6DGloSupeNFoanFGn6gu7R28m0hx8ZXfrWKSIx3VdbZ-7ms4xe373Urr_EBYwS9u2oY7hi07GKwFpCkC-T2S-pZA1tbkh4i2giDkZItPehxXwNqc7_fsX0Wlbr-BrTkJR8FaK7dmQ9SrD67OE896C5AgRVvdhI8Xl74vUvwKxnUpbTH1xjEyoJFse8IBdKJsLRAfp6mvtFj6eqNC44_z_j6Uvf3CbkDoarxpfbXeQfO-MSNqdPtg4P1NG8cB1IsL_O2bOp_WWVSOPuQ==&xkcb=SoAM-_M3MPV_U5xuWB0IbzkdCdPP&p=3&fvj=1&vjs=3,STAFFIELD LTD T/A CASH CONVERTERS,Liverpool L5,Today
4,Administrative Clerk - Audiology,https://uk.indeed.com/viewjob?jk=f60fa299c4af237d&fccid=7691ebb71b24124c&vjs=3,Alder Hey Children's NHS Foundation Trust,Liverpool L12,Today
5,Online English as a Foreign Language - Part Time,https://uk.indeed.com/viewjob?jk=53307f4ebf04154a&fccid=dd616958bd9ddc12&vjs=3,TCP-FT,Remote in Liverpool, 1 day ago
6,Fee Earner,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0B0RtuPYqW7Gf_eyAosev-E7M8oN5PWAxRIdzDleiNt_hP4WkPapYz4UhzG2SwrWXOX3VV7iRuTRTjeHi4-BPaJDh4wQ4wWIeiYladUvvvIRNZC9uOTozWeUagz6cEGGbhxZIGtkQ12rBrc_Jew2NbOHq-sNPxwxhLI_SVEab8EpXhTr0JasZpoJWuOE2BVnxr67wCXQLrElPnW1MWhHj7ifjdSkrI_wOe_H80PEzvGxTvYC9EBtZp81TDbWMfTeynCUXSm6TSQIklls4v45omJp6dqRqJly1V_r03r5PTerdN_hKeL6rm9BaQILmTOYJItX_-Ed_8JyWdBskuFK2Tk5KO1c5xjdfi9jR-BMUmVL_FeqBl_NGv4EwH7pZFiMYxvdgov4vr67AbmLRWoD22lmpN9MUkUkaV-O7oXi9jR7ApNjJTa5KW_tXjjSfbN7KkCNGkPv-pVy9prkaN_R3FzmAQ_7d9E42p6CRTZKXlmfUnsCJCy5hKI&xkcb=SoCr-_M3MPV_U5xuWB0NbzkdCdPP&p=6&fvj=1&vjs=3,Capital Recruitment Group,Liverpool, 1 day ago
7,Painters & Decorators,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BskNKGRuHgd4yyAtLp6qbSn7kJkhK_qzfeM0Y8Jio2P1kev2C3-Y-lBiOGU6d-afYrhzFadCrxRzEKaKX65930rNxecmgk6c89m0eOcebXWWS7WO39VqhLQfrcrJW2eUwDeC600ZvAkmDasl5qYbjoV9DUE40IicLB24ms0Fg0_dO1URkc5zSfBlrXfba6og4LIccLWkM1VePrkz2Uy2wX-3hzcU8qvknN3U22SfjxtY4Y7JlGdbOZDgoFzBByvenOMAKdlyoLTvwpW4QZuL5BVYbZQZM8N8HGV-cZaqdcrVLsXX5IDV3f9JW1m4yr5Os3qmzgAt2J__57_vbNF4TB62dPeIoVktDTGWbWDTGK2uNiWwyPwzwZBaVX1YORWZOicLygDIhmM4tms4IeY-aJhWQvxkz90biDIP_mDmTtxJsXEUFymM0JBPvMjMoE-JyeIeQJGMCi8k2P9IoIzVgZoRQtr4nLlRqlI8U0VSsKz3cvncYvGE5mx8PlvYWHLQ0=&xkcb=SoAf-_M3MPV_U5xuWB0MbzkdCdPP&p=7&fvj=1&vjs=3,Fogarty Commercial Decorators,Merseyside,Today
8,Construction Labourer,https://uk.indeed.com/company/Blue-Cube-(GB)-Ltd/jobs/Construction-Laborer-b1e7169ef3e74f67?fccid=61364497fc94a421&vjs=3,Blue Cube (GB) Ltd,Liverpool,Today
9,Retail Assistant,https://uk.indeed.com/viewjob?jk=626784737004507d&fccid=57e1b8a78f76f47e&vjs=3,Iceland,Liverpool,Just posted
