,job_title,job_link,company,location,date_posted
0,Customer Team Leader,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CJX1qlD2wkvFlorwK9yyuE9y0j35Dqjjwtc-1AiC_tELTUnFs0tjlq9HzfWT7kzKVxaflkxITvH3ia0rDZkntXECPZg1-JyvaSZwwOI4ldUeQzfWKzd4gikOudO8yEyRbqVtBU_drejlrN4jdDg-7bohNHgyRwki1kXBdASrG0tseZSDGXsvHWL-lwag7oyUKKj4g-RIoVC-eD16J5Zi--Kg0lHvLgiyivsHIZ7zro9dE6GWLSDO63NF6wE73U8lKp2SBkm35WShq3D3MNLR7mTkb9o8ynTUbHK_7gjX8-4c4kxp5Qqw3J8nvUSWKK-OFnJqoANXjuISiH_gnUdMQisKv7A_-3qa3IC7Rw2pSZW7rXu781x8_RJyvQ6d_eSwh4GhewUKqF5zPUB6pcISvYJeNojuSyZMS1fQm898E9npVB5BRLKmLfCIwaIDp_OKpmje5QJoPhTw==&xkcb=SoCQ-_M3MPWTsjRuRp0LbzkdCdPP&p=0&fvj=0&vjs=3,Coop,Seahouses NE68,Today
1,Systems Trainer for Online Tutors,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DAZkNKgd95NbytIjUcBHenJnL_5yXyZCN_1y8Bml8m90BNp5fk4Cev9b_b3QtGSnhqdHfCQijala88hpuqpKl-jR2lbWYFL5NRYSRJkGSBq9yTyR8R0Fhhe_CgMihlRWMDeeXSYF_6Twuw9lq7TnbCVTYHMyXkScklh_i8iTJGyOCWWD5TLHpWsoUvoj27f5BXHhRfAsVB8N99UZjynERAoG--E2fw2RGSxigQz2qhAS8YBA_K3nY2dy1SiEF6UIvYHOsurdWTAJYF10pZEXy38_KMT5Iejh-jvDdmyvYsbfP1ZxjEJIZq6iegkWfa6cjBWXRv49BJGJWlMrg3ABDP7pRwS8m4cB__a9SgSwO8xKC0wAl3yPD6scN8fUuOynWf-0DGFlH9hGVfRJFq9OwmRCbMGAQ1CfSBbAujRtunl_YFUjsfQFeKIPE0pj6qOPlF6aMdS0Mp4mB1hwqw-1fnyBC5BOXFoHPN8P1rsmr8UrbmMJ93FmCFMjwMs8RsvfXF9-OwoyyP5b0Fzd9S4ymr&xkcb=SoAk-_M3MPWTsjRuRp0KbzkdCdPP&p=1&fvj=1&vjs=3,National Learning Group,Prudhoe NE42,Today
2,Accounts Assistant/Administrator Full Time or Part Time,https://uk.indeed.com/company/Marshall-Meadows-Country-House-Hotel/jobs/Account-Administrator-d411b6e03f0a322b?fccid=ce207afbad460028&vjs=3,Marshall Meadows Hotel Ltd,Berwick-Upon-Tweed, 1 day ago
3,Supply Warehouse Operative,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0AqPxBPMWfiYh1-LnewUMGJE3S3srZ3HX3h9eFViW96kweww1QRCWbOrQ4NLMXyW_DfxEhytSZ9rsACgkW5iPdT-_V6YoI31gROZ3TnJH406T_uZbUY9ly-VGBWJAbTpX9hGEQ2A72xCaGkhi1Jp_WIBVQAusVIeFIOUv2pCyWnIRs-WFJfApQLEygHqQVSiAjOajr7GqjFAbGxZAwDahGsrLcog3kdJb-D2GTC5jsuaP0WeUsb1xjalSAJS_k1EvLuQIssQZwYiEesQ0pjDjRmXZHOOq5H7cLK_anxgnYy_OA7_dpwnal7E4Y-gBT1VnPPckLX-BwIi43_QTvBzkj_W7BFAm0KacAAOJZ_om9V1nL-Wt4x_EzCaMix46ZoT5nYO4rxuwOeknvvUUvhfoKCi5GSmZjl2pQ2mxEGpPRRzdRj0X27BIMWkf4zopPOI7_97wyiHQ9DTWlw_Dbub6Mx0QdTX-JuGb4B7ZJQ-SOI0ay3NfUUpOW1jkdossYXb1p4jcrcYtenLcIICiceLJJWjyuQz5SUeLhX5gyr8RD3omb4x3SGzGzycyVog0OKAO9uGKZ-UeM0Iy7YIBxAPCdQeOqLh2QbkGsM81jkSXhcDR1Rpx5h3VARAFMzIyvEGnKIN6tmu7eUEOrmyHz0slB7-7fHhwWo7yjlc9rFwW2GYxiGUrJ4bKu_-Ro6UK2YnFAFisgwnYYuOLwWQ1hsahGIt5MsjL3RnKXGJak92Phjcch4xc4sT9mG7KVmXhnzkgkWmzU0ci0xDHhXvS_3CVl0yl0iIO-6RsVV09XzQsNiNQGifiuO8cPlLbup5A-YLj-cjX6gtzsmcBsDkkxxhYv0dSGg3EHyf1lT-qtyy0YH_g==&xkcb=SoAN-_M3MPWTsjRuRp0IbzkdCdPP&p=3&fvj=0&vjs=3,Babcock International,Alnwick NE66, 1 day ago
4,Customer Team Member,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CJX1qlD2wkvFlorwK9yyuE9y0j35Dqjjwtc-1AiC_tELTUnFs0tjlqgEr9aMwr6cfvk2JZ6wsUeMIJt4Zk0tRDFWDs9Mc3aULlcBASCRJypYkvd8zAzB6c8nKqvuR5OWARsPAvT8RrlFeMkoprWEZz-pDWDpNKUniEj-EMZH2FnEWxoiS4nnQQAanSh29lH_oB_-wAb__9wfVPjmVnI_JCsN9xIgxL7ILfsH6PDZTX4ordBY6KaNzkxB5MW8-WQ88LEmQBFrDg3bz2uc3Ndlf4OHcGuB3LQ2wa48PQRHDXG9UoQeyCGJ9rsr5a__qEfqtPnCph7l9qgOiXaI9suQN1KQxwAq3in2nkrFhZGG3oSSGJQ3j-NdMR0vgor-hBuCUSTm6J7cAbpVLmQ8oBW4RAc-ywpisM_Hqzj2f-813kRM9Lz14-kIcVm5rkKhF_SRFP3mAE_ZB_zw==&xkcb=SoCD-_M3MPWTsjRuRp0PbzkdCdPP&p=4&fvj=0&vjs=3,Coop,Belford NE70, 1 day ago
5,Paint Sprayer,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0D2sC5Svv4VzFH3_l24SLguyVUJA1L0VU7e3YNugkXLrXe178GO5Jg_h1MOzLISZ2ROJZ80TxLPpfEP8biuSA9-ZlXU5idgwdBIExuNDIsJ1gOFkYDxEvV5sfXLJPtI_I2EptyfO6E9AW38RnoHLFQFINOItNgHNEP0zirqAV6VqgkwlWlDvtFL1c6JX3K0ahrzcql2NN1kO9_9Dj52HHkVeqz971OpBh_DylBV-t0oaCuzaamthGmo71xIAm1JF9xT2O6ajd358ggaqufZSpmz3WeKgCxsHZQiX_P-cTguWb7G-ET8Mf-PRSwNMK18QyAUQ6640UXbm9XmQW8OaKHyRrsdXto6ccTagrmdgdhvgXj33Hmlt_82SOHQYs6ZuS1XO4TjHRlYQ-BRIIFIWKNwtjXW1HruoSpWu5evnZyI7zpEb4tzOseg2jsPNliTA_3NKgrenDCxxpCgLgAAxVyWF7yvbiUcURfIcjt5TZP3ag8JFxZiojPz&xkcb=SoA3-_M3MPWTsjRuRp0ObzkdCdPP&p=5&fvj=0&vjs=3,Tru Talent,Hexham NE46, 1 day ago
6,Receptionist/Appointments Clerk,https://uk.indeed.com/viewjob?jk=06c80699980ce7a2&fccid=7691ebb71b24124c&vjs=3,Northumbria Healthcare NHS Foundation Trust,Hexham NE46+1 location,Today
7,Housekeeping Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0B56-WF7rh3JEKkIIs0EOHh-gf8vuleSyGT2y-T2JbD_JhFvWuuDDC2AR6qIcZE2vQDthWC6gk8muJSe1QrLvWVz4-BYclBztOkLguN89sH5_zyNsHRAcxaqRZOWRKrR1NRccanw9Dey_9u_gS9vVcgaZUE7on6_3UwqHLPb2MgMBbSNERvy_st2XEtU3rTgBnYQ2aV9gCXudPymVITZ9Jlot3ehehtqKG9eMbsEW8wH9tujRYgoOAQRfMQktsqHtL6dAJeg8nwqW61Z1hs_6DjyJntSy1nPgWvLvOlYAv5L2p3AuZppeQzYCfmAz-yV-cx2mSiWTYAwuBZNlYxpWj1jO24vneICFhIwQ3dZD0o4mCgoV4hemekhCTpSiYLvmElJbKBpKPGq1zJ18k38-mEV54wyFh6SXrntloX6WC_5PW0kdcnA_EbGU-pMv0bYxGqg44rPBdfao9fnKNj4CGPe8f3ufl5zLKEAAwjl3KokBNA3BtKocGWkCdO2LhmdVEe596S4Q8ktQ==&xkcb=SoAe-_M3MPWTsjRuRp0MbzkdCdPP&p=7&fvj=1&vjs=3,Lucker Hall,Belford NE70, 1 day ago
8,Warehouse Assistant,https://uk.indeed.com/company/Stanners-Equipment-Ltd/jobs/Warehouse-Worker-c6f712a440250111?fccid=d89b615b4bbcb531&vjs=3,Stanners Equipment Ltd,Morpeth,Today
9,Electoral Support Assistant,https://uk.indeed.com/viewjob?jk=0f14d3d740f6c7b2&fccid=1295ddb948145c64&vjs=3,Northumberland County Council,Morpeth NE61, 1 day ago
