,job_title,job_link,company,location,date_posted
0,General Operative/Storeman,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0ALR2o0a9pVvYNE6xHBDEludFQ7AVE-cfDRw9HLk18-gVsyIz-KkoDN42_2JQvhbThDOXLXyZD1n6u2nl6Cwmlrtn-qKMNJLeI45nl9_H8hcdFXMYi8zf32NPp3T8W4eI_5MSwZHD8DaTRIXCxEtx0oM66SI6Rq11Y6OIoUge1N4zTfG87_EMBD-Ba9LQ6YkQoC2cxnJgOytpiX-NMCa0W_5rk8B0gjJtNzHamy-NmNT1qdxzFXNWHW2v4Cb8vQHCekLJhlBx0mJjW02o0SYMkw7MjmUDFiDcAKPRcarG0gSj9SUmy41k97GDuy3XWdUakgjLQ-7SvuQ6c_hdlQEU1n-JYnf4hpj8xblsCNJhrs6S7UxGLyfKV3_iyHbMwggo7uvWgSnkquc6_84EMqiz8uwXjnLLPMGSzW11KVl-ZV9rPugDLfLICLBGeNLbUvh6i7VqLXoYM2HPbqzXq4UN4KhGV647_MPCcsFR82jUZE-COWQr7arhNcOpEM6XAGayL7GETAoQ8FiQ==&xkcb=SoBm-_M3MPW6-bRuQJ0LbzkdCdPP&p=0&fvj=1&vjs=3,Site Operative Solutions Ltd,Kidlington,Today
1,Head of Marketing,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0A0kbIESHs7xH5Uuz9YOK-qoPq66c17T1aDEXJp16zwEHtx285jv8C0Zwu0P_R3rBEjGc1kunAT4ndfdni1Ii8UsPP7te98KJBMsC2cn7wf_9x3ZsjMlk0NGX6yPBcjzq0Qo1gdUHFbCoOt8yJeu5nCub4FsTRAlBBho0Xr1l8ATCoBHgsccdBmSQgTntZKpeQU81LeAVY9OTxXs18zDG-_D13rfKc2bOxLyxrb-tQaAHKQqiPWcguiRVba78K_i3TpHCM-8lmnTCfbvkgSwYtS5oI0s3BHedoqzmj5oG3StIl18wHXmyJEB7ZIJl2l3lWUuzrZ3VHbKXL9lEMuCwWAgAZ-TPARU5b2EN9DCPy2w2wZTP4T8IgN1QOz9QjgpWw5nAQ55voR9DSXn6w423p4FwegKW4zcZOWS49BwutG0a_9IxTLAVk_zz4FT7qJj0XYzc3qJvGgUYjp7_xXskwUv_Ep9LLXcv8yVeoTtYKNo_G8rxxl2xmAjv92SsQxzLQ=&xkcb=SoDS-_M3MPW6-bRuQJ0KbzkdCdPP&p=1&fvj=1&vjs=3,Valda Energy Limited,Bicester OX26,Today
2,Event Support - Williams F1,https://uk.indeed.com/viewjob?jk=ed9bb18b6310d8e9&fccid=ffac34c3f443e5da&vjs=3,Absolute Taste - Williams Racing F1,Bicester OX26, 1 day ago
3,Fire Suppression Servicing Installer,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0AjN9laIBOiC9nP9JmX5ONhXJuyW1queb0gO3HjbuWJI5tWvgVx4QSCAWMkG9jCTjS1T6TDdQfMnP-_WdKHuIpe1k6c0xI7nwNqbyIYc9Gk2yeoR3MHYHn-20xQOjOW2NeyiMDBICTa2Oqizp-_JVOBb-s7qQb0G85JFc_e9ShWbvQo1EC5_R4tBJDoBDGrlIRlkYxO5XL_Jn_glTfr5VTFbb1_Guu_4dg4xGGgo1g5csk_xOuscoh4zOxfbUhZViC90ZSa3ahNGnKA04UcPsl4SI8rJ0Vkkv2gBvcmJVmQk4F8oEQ8BvQI6IaqKOsfCz2fpRS2HeOwhXTPw_lNU27JxzgwSXv3RlwMeZS5kNXzFGKdHXDb8kJ482Jq4Dpxzll7i5TyyomhyH_HKHkWj2T-X2ABYggXDQ1363Wd6giHX-N2HEFVFYkW8CcD4WhC_LSD-i2GF4JoYG0NNOvuxukSIJq7TY_5IVax2djNqpQXybB87KVh03FCZKCnp2DiZtlTGrDTuofaKGEQAoIkk4es1q8guqIphr8=&xkcb=SoD7-_M3MPW6-bRuQJ0IbzkdCdPP&p=3&fvj=1&vjs=3,iMist Fire Suppression,Oxford,Today
4,Salaried Care Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DY-Sim2a4Vs8nlGDrHLKRrrjZ8k1C_8UlBZLCLsDzJQVFz7Wwj1CUEmX3UTEJn-38dgx1axA2GdZERjrXKAeXuZsJOjpkwAvO1uWWV1VVd9vLjN0txFjV-qMvwPoVe_0sscKOly1_GPeOs4GKAUi0EbshA-BnLU6-6twvSEtAaAOxNl4Pgo3JasZrq78OenV27byfHLvxwoDTDSZAR8VlJv85-H5njp8b2ogA9qfr1LDyaifYiIi0njp29KXlepIp5Ry41Eb-Gy7B0_z8dXrOthzGgpT7yPp7WH0Yl60-ExDfZVnG5BrmeDjrUlndsUDz1XRD1849XQ9I9WQRmCMyyhZhdnruuSyfmywQl35R_W7_aqoyk1f5-BioD9kVNE2mclmy2PqaLzQ6ykEXj3rhXbKNJltdpqhfbANX7kPlfZ_tvuzgCO8yjIQrsm25DlBa4yGj8VTO-dVbUTdbI0HJT0dwTJctsNdxl0GFVwqog1w2CVU16Y7uJIVJ1-N7ZguiwUVp3cL7NaIa5Ot1O9kKl0-z6NLPc7K153sD0mkAHDsL_oQwaNMyKdZpjoknqLfr5D3N5ifjUoXpJGftzIsVfikgNwhNkUW99mQQOJ6BgoLIYVXv1zYWzYd17Tz7b27YMc8AyBsrx2M80qLqiCBOC&xkcb=SoB1-_M3MPW6-bRuQJ0PbzkdCdPP&p=4&fvj=0&vjs=3,The Agincare Group,Abingdon OX13+2 locations,Today
5,Operative,https://uk.indeed.com/viewjob?jk=18df588573b059b7&fccid=f5e16ad1713f50ca&vjs=3,Network Rail,Banbury OX16,Today
6,Housing Progression Support Worker,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DvUYFnknKj63wRPCD-KYZnvtIdFZzOW3R97uwfGb4w8w3H_k8Gg7aMwmkYAbF7aV47bFy4UN-zCpdV7L01RhR_c11Kd4i-tzKBRiCWJ9MzUN1VCBlJSwONIT4YTA-0wFoItGYhlckT1aNFRjq-BDor5P8Cjw8UoPrbE0JwC6hThU9V-vBIj7BdOzVy_FBBXSYvy_j1R9HG9KtNnzYI6bhctjTfGCHgg1KjOSrFuzYdIsrKcEw8ycNpXZfBsbg8vmlrQc2WS_6N9apWH0zYsH8aImG6m4H_7DlVoGD3gXiWqMIZiENNsAD2TYjWsyOQdejZvrMhb5x9Uk7CdEDqkfX2-4GAptVjq2TVu6PzHMoj1NButNsDn4fAEisDnRuynkGxf9k9FEo8xFdBim9XB8Y2RwfqK_17rSoRYVKPrzPa_aTI37wIBCMW5Udv6Swj2Uz2upjJ1OUs-5kDv7jPAtayxI2sM8PFvTvBYX96Uu9MHd8gU2uImofL0j-HqqP0-I3OSrn8CAfUIw==&xkcb=SoBc-_M3MPW6-bRuQJ0NbzkdCdPP&p=6&fvj=1&vjs=3,Aspire Oxford,Hybrid remote in Oxford, 1 day ago
7,Sales Colleague,https://uk.indeed.com/viewjob?jk=ecb279fc6b380f51&fccid=897b646d9c8c6874&vjs=3,Currys,Oxford,Just posted
8,Photographer,https://uk.indeed.com/viewjob?jk=cd89953e83990495&fccid=3e8af96829591e84&vjs=3,University of Oxford,Oxford OX1,Today
9,Care Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DY-Sim2a4Vs8nlGDrHLKRrrjZ8k1C_8UlBZLCLsDzJQVFz7Wwj1CUEmX3UTEJn-38dgx1axA2Gdeh5gZMSa_YrKmKc_4V5CLq8OvIP3y9I2Hl_9zFwXzMPWw02kOTXcH8A3zw5TmKsaGFwf3z2mTnQBwnqV6qP2MSLBB5IYZxNMUReMv47GyIi12zGkJ8BmYBUyfrVxAOAGCKOtPp-YZRvD58AKfMAKSUTgH3ZsqnbpLBm8lNsZG6FGJ0fDhDLZgSz7knxytKXOhQUtcRTg_2feXXSPV475K2voQ8tgxMeSqgub7sEOsliuGBTBFcKOFj-KrQxIt8wJgksPWKmK1QsTJcdVtjBKXxYVPpdYnbnhlXmc24aT_VkLuILZnZoN5zxilN6M19QjG_XXlt9kf5Ootr5qYCBuDJyS0FnDEUR_YSdBx9Ku1decKnfvcY6u2Ygb8a0K72c9MNzTUZnvO40gpulhCLZns_hzsdJ4BXhiNPX2zZj_DZfbIpHj18BH2vn8Pz84kRkz8rfi8M-Z7tIWuCE-eH307Qmg7gQRCKrLXffe26JmO4YkV1e0hEA75PsVc3fm014U5b8ulhiRLyg6UwJSEoUcbgmP375lyBioe1D1hetcLm8cKxgEWKzCL5KeofAOVZH1x4zNXmy8LbR&xkcb=SoC1-_M3MPW6-bRuQJ0CbzkdCdPP&p=9&fvj=0&vjs=3,The Agincare Group,Witney OX28+2 locations,Today
