,job_title,job_link,company,location,date_posted
0,General assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0C3lwEaJzLhLCh_tzUlkb-ZqATk7W20217tXkHlgKqoGuFjBV0IpxnZZz-NiD02FMKPObZotFhKB2vgpBQ6PYGHtMdhGvl6bQpj6as1GqwF6ClF1HZH9kJARgE53vAfpEDsUzXRv9IO7oD0zFbEr78CTR5B5xR61TrJ6nM3ybkoSjvBQW0bolpH7_8eKT9CO5RAuGKMW0gIDHBATYZHBvnIfFZEAh-xPyl0ucx5gi7ypjp0gNVOk3XBnyGb_kqQ1dG5vZK7ga_gLtArR4WeJ9Xx4KB_H5ackbuuWtvjSCuAtTfx_3Ze9F6ZlyIVkKF3ojGnpY6er2yaOk9PYJCXm5yRj1j0cqrpqUg9Tifnh_CESLt6Y0H7_CDLZaJSPI7RHxb_KzxztuiV-ip30lDAA_Dj2fnXzGafBz89r_J6hnG8liXaw8sBOdROI_wIArkLHHY4nE2P8Rm5LXNpEiSEtrVCOxCaViZRwFOzkLAnhFZQe-NX43TZoYHsqy3eCrDMwzp5IVKqjMcFhvjA4TfQschD-dUMtcErrd4t44PgMVg4L90UG3LJ5kXO&xkcb=SoCS-_M3MPXG2j2MMJ0LbzkdCdPP&p=0&fvj=0&vjs=3,Aspens,Oakham LE15,Today
1,Pool & Gym Leisure Assistants for Hotel and Resort,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DXAx1tcwmWw1MZuorC-yx1yPTyVp2IUunizoMqIc6j-4pAIeIOIETIu1Y0XXQd5UhpxAt5Tho21x7x9b_weoVgUAkSLWGNy5eNhna6p6SJokFZingzeuC8lt1S9kMPr8cV8jyVZNIpwO1LkaT6hTfBHiGcMQQJdDQw4DIcwn2p2_YfZ6g61adOmBqayWtUZK6vl6HLVgHnhmUeMadl_ZZkaJWq-iMk5Q9KJhVUQyYCBwEH3mDqNV5xJ88pAlItH5uKnmZZHZWIbr_ebpjgirKf6zilHH1OMwqLQOvgGGsC6dxFAq_tPQZJoJmtEmfaxxa7zSneNk43shBi78vSkBUfMel3Wk3Q9l42dGeQIwD4gjh0dOCmu5yk6ZRpK0kVFlRBpaM97tgqhLyuEnsIfkQPOA0a3VBTGROxcVQ_MkdsXhwSke5yBK18tO8wz6KTY4s-rQSdstavdN8dpkiDZOJGpwBZ1mJH5aHmo5SC17vw9NjJb-Thy_UWXZh-7hcfpScpcSFkNBZ2rw==&xkcb=SoAm-_M3MPXG2j2MMJ0KbzkdCdPP&p=1&fvj=1&vjs=3,Rutland Hall Hotel & Spa,Oakham, 1 day ago
2,Customer Assistant,https://uk.indeed.com/viewjob?jk=db019bd9ba708e4d&fccid=14b7c83f2c02772e&vjs=3,Lidl,Oakham LE15,Just posted
3,Inventory Controller,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CMByS8k_PXvj3EBRB9HHevQRF-fR1-u8xC8pLEpxGIbLuqvVrU0emyjqYBIrfCqtQBv49wmMh42KG4WKKnzpE0Jt109ViI25oDI78utzvgxHRHgs0Z30eKpXRCb5QPsHKbK0j5o7PT2yjFCJRLN3kUnlCGk_zv6DwHBf6d-reOI4e_fh6xRiYL1cwsxKFc3hP5oYDVvXTY4nYsRdi8Bi-eweq0eQwpaU4UOtWroyTT9PYbstAah1JFURTk9czIxt-zwiSrSm3rFp_cemyp8bhDnjbpiQW_WAHepcRJB8rLI1hDLwuAcv9Niqu2OhDezdhECmaW61sgX0W9aa8L_Iv3Js4w9YxmsnLUryyXgpmxOF_ayI_quPlvTjQn6G8ZNWYovLd7QbiF_UfX-0ZReyH6g3_6F-WemlyTqoBgqVz7ex2JIfo-2oAIN39A07ZME65c5E1Ysw7FOAJ7cyeqPZIN6tetw39vkcuwfzFofv0SAN8jrqDThVwYsYeFKr5qHhE=&xkcb=SoAP-_M3MPXG2j2MMJ0IbzkdCdPP&p=3&fvj=1&vjs=3,Jacob Thomas Associates,Oakham,Hiring ongoing
4,Roofer,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BL9L-i8c9fADMrO7N2T58mPVBkew6Q-MSCTfPGr_n1da6BtFBQTTWFn1QPMIgCKRn-NkPCvjfuyr-R2yGPdrWOJCX8_VkjMtD_-Bwt0bBd6WCybmzZ2J9lnW-TzcHCbar0QAchR4LlyiScq9weI0Wnj7TOORI7vN2GM6M_kaN_reYSID36MdD-w58ZQ0iXPsYH5cG1KFp9XHlQ54Zr4dNX4wLtsPiVAB5qKc1ooQ5lUD3qsL4KKrD-SSZn59kgmRb9Y2nQ05UQms57pQD6qM3Z0FqyW7qElptUU4DT7BPxk4fAwTi2lXC3o8DaRFLvXAk0hkgbYu7vipbTklAeRhB_fbVSGKn_DplF0JfKncQw-5c5bhrxDkqWiF8zQWfVaL4ZLy1rOJ7FeV3YBaoGo1BleHNg3mB43LJhmq2nPIZUY8cN618UI4bqAIe1IMntF5eBBflhvNz_bioBKY71sLOS-3XtpEsNtPg0gAm7Uq3TAdkJ9ZUa5UQF&xkcb=SoCB-_M3MPXG2j2MMJ0PbzkdCdPP&p=4&fvj=1&vjs=3,CPR Recruitment LTD,United Kingdom,Hiring ongoing
5,Customer Services Assistant,https://uk.indeed.com/viewjob?jk=b7470fbcd7d67e2d&fccid=c55f4ad42cee2cd3&vjs=3,Compass Group,Oakham LE15+1 location,Today
6,PIP Disability Assessor - Home Based / Remote or Office Based - FT or PT,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Bx-5P3RJI6I8avNzC7yE9-h1ydxuCTiJ7fR0PcMKAWkyurGEgaFakIA4Iou7Z2IioaiO6A5w1rkct5kzjf_fLIU5FPfYA2BvmffuW9U2XcCQ6CTeWsw-95GGqO-xApAaaWRV4KamwdHMe0rbElJ94tevuzX6TULTwf6iOKgtKDKJeV9LfBdImUIQlNPpxwneWS6gXQy7S7HaHtyPcOz7dzBJW8eBIN-wMsBxN6vnlTGzXtI2a9v5hYwZ8AoFvHIVCRVGgnZ3fjYzF7WRxQriogj2ltfyGksSrovPffuIEvioKsf67L-vK_SQUkhuBv5vs1IrVP9rmDkfIwtl1kgLivQrUmGlwcrw1gasEHIGgI29WtX8u0pLM4pYUhpsOuBjW100gM3EJItrDm1nQ6bSc5gSQMhTNxCIofDt1y4HP024GsczEgY7FpyrglS3ziueiC1LUtmdQ_nAXDZmdrMj1VsTcnzCkwTCS2vAScVefkLZ9_2S2dblTsxmPvNvK0DMBWX2flfSDXrV3y9KGx00UHveAu2Aju8s2nKeslTYD0WT_zghPQsXndjz6DYTSkpRW8CgUiWU9VJg==&xkcb=SoCo-_M3MPXG2j2MMJ0NbzkdCdPP&p=6&fvj=1&vjs=3,Adept Recruitment,Oakham LE15,Hiring ongoing
7,General Assistant,https://uk.indeed.com/viewjob?jk=6f6247d52e60cc5f&fccid=c55f4ad42cee2cd3&vjs=3,Compass Group,Oakham LE15,Just posted
8,Supervisor,https://uk.indeed.com/viewjob?jk=69a7b78922f497e6&fccid=c55f4ad42cee2cd3&vjs=3,Compass Group,North Luffenham LE15,Just posted
9,Activities Co-ordinator,https://uk.indeed.com/company/Oakham-Grange/jobs/Activities-Director-a3ee5ea03a269ccf?fccid=9858012087ef45c1&vjs=3,Oakham Grange,Oakham,Today
