,job_title,job_link,company,location,date_posted
0,Trainee Parts Advisor,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DeXU0vMxLyKhfauY-dgUBa_3v1DHLtGGo4EP_Dl8CiY0WGEpJmbUscYT5VibeW5-ZNCngxY1ftzAhlS6yVcIOHtiTKp6sfC5067ERxpLUJOS3GKBTE1jDMjF7erXPGMH7jMZQgAaIQ-KvvvsZULbzKxvgy2HY9REJZiAMQr8E9XfO6on_RRJ_Ff8GIThOnug6YKK88YRiOREMrvIeonYxnJa3NFLuhwPe3lFXcC09396TCHdhozrlQog1YDbYeRTU3i3NeYzE_l_xEpCgJTNGFC_zgdPVMGH61VTIg_6RIhJpQsbK2EfBud19KvP7GGjFkBglB-kw77IjsmWVzBPgqJOfZfwxLGBEkVWCMp-uAoI9aAYYEzPbRWm7oecFtvSGfnIoNJBv5gLlXSS6vgAAyCmmU9qe1-mriZG5tdpdfzAPjn37V26Grd8ZcoikQ1iCRaHcqP-MvfooXdaXkB4sUki8TCghmlXZrnHLW-IxeJFEIJzz2Jxl8EngnoqYGK_o=&xkcb=SoBM-_M3MPXGkwR_hR0KbzkdCdPP&p=0&fvj=1&vjs=3,Robert Davies Machinery Ltd,Shrewsbury,Just posted
1,Parts Advisor,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DeXU0vMxLyKhfauY-dgUBa_3v1DHLtGGo4EP_Dl8CiY0WGEpJmbUscf6ZEUSfG3pkSdXsJTiV6gLeISEFt6hvE8pXELUmXgxVaee6PBz6jWvossVSdQqxotxbbvjIjHElhezjKuvxMmyhlB5kS6puRQH102N4-bhoNiZmtekYlGjvKUUzKIvOZ4FqmjvlzEIWUdiVrz3f98oGa84ROtc4WsG6lM2r_nU_R8PlbM1-Vb7neIvXwD-8pJSbtamZHg4mXSJ1ZrXdGym3phpfrmdWPTmvyvounk9T8X6jjgVcgqymWsu1r5yGMq8WKbRnZhUc6E-6NJbhTtQiljDcsaKH0Sd4jqD2Wwrv3uV2C6sF77PDDq48QFAzlb-BGuMEvQ8c5GqaN-8gjWSdxKhrdGhcS2asv1FQrCC1Tpc7u1hptwSbXKE4imC2_4m6ywI6LQMURmi5urg14YYiIgC81S5rUoF6JWMdFwyL-1bNICS8OSbQZzudQxsr8&xkcb=SoDR-_M3MPXGkwR_hR0JbzkdCdPP&p=1&fvj=1&vjs=3,Robert Davies Machinery Ltd,Shrewsbury,Just posted
2,Tyre Fitter / Wheel Aligner,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Ay8kMpPx5AwiuY_UFDY8j1Yr2j73LY0ukmC00ahEwpDtlqvKXK-vibJ6DpUrmcifmYzPsohskILRn7D_jP9swY0xPAw136ckn6NtO6anGL7cNzyBnIyT8XZjvmdaXvS1g-J015eud8FDJWLldnIrvqf1xMR-Pm0So1XTn0_P7ll2YhRQy0sHQjRSInjjXK4PEMveGxjiEEbldSsO9GN_8ywK2GwgcQlmEqhbayaplBQjofCw08LEUwDtWVXcqhh_2Ek0_LigV3gpNBScVmybB2TemdpLJtmvZMU6_Xu6DAU9w84VcC8VTryjuxv8QnrdIvrwRr2hQ-EMuHU6z3oFEEolzvqCf3USARvsYSnhaEOn9_FO8HDAPBtQYCzCFB5S7PHcxdw7ieskLXCxv3dAKPYQnCVSVhEemc-Wo0hEs7J7h298UywxWcwtjGpQImd5NtS34UHhu6n74bNFgCxXdek70G3CtcJG0dusxEEOFcenT9NxBOmftC9IvhHkaHseEH7AlnP3MtZA==&xkcb=SoBl-_M3MPXGkwR_hR0IbzkdCdPP&p=2&fvj=1&vjs=3,Mr Tyre Ltd,Shrewsbury, 1 day ago
3,Residential Children's Worker - unqualified,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DB_AEPfhVbEUcrPyvjn0F7d1K2zDyKWS0WKde5leQy6Xut_lixNjycO7Vm6DPQ5wYbMhd5zSnNykmLeXI5bo1xsuogwqb1_hK0xudJ6ETjKUmLHwC78xuKrZ1L5nxpQ7Gh6M7iq0LXjaJ3ebUXLEFIE55EpVfCdDaW2TVNecM2_6Tu1Goh5XjUM61vgMfv1MFzY_K9lZ-PdoVJAdu4S44CPupN_vkGqKPz5r0nu9fC4taKMpWI92op43El2j5FsK9hBvOdAguBXTtwqvYB5z9tTyajDZOHjcuxoXPFQ6s5MFjBkTFcUYQQPdN1je0WjuqBNYfVWAnbBUC4nQoywOj4Ipg29nbVSY71Cjw68BQBb2jH0KyOYDGud4yB3eHhUwPsWYdqUJJ7As39oV_PANkAULHhfYcq_GOGp6dWCrbTn1Yei8xM9WHRTf78W2dpPlM7klR6WU1UTWse6XopVneuxo8b5fWibOHuXGeZoi5HlvUI1qV9QPfpPck4AWJy6BxmMFPrTbkje1zIY6m4tUAtu3v76dyf_-g=&xkcb=SoDr-_M3MPXGkwR_hR0PbzkdCdPP&p=3&fvj=1&vjs=3,Prestige Adolescent Care & Education Ltd,Whitchurch,Today
4,Youth Justice Officer,https://uk.indeed.com/viewjob?jk=2c4b374111973c48&fccid=6b5a1bc0a207ee91&vjs=3,West Mercia Police,Telford, 1 day ago
5,Children's Residential Support Worker,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BzY-H0M3xJujRijrUAvHbanyMNzL-uNWpAbQAthF0XpEOQyRoIEDxGGsXNZFoEd-judotxVXGP-FcIQK7XU2oq2nd7ii5LAgSXL00JP56cctL6t1FRExYGeng14e42tXzgPbBVFp9o5jsV52p7W5tRF45zq65A-R9-XEFjPNyRwj7NKKz6WdRcKPW3LZcso9mxuLBpzFlyirX5GGzjZBqkqnn7Mx5kra58Ye1KYmKlc4giASU8W3wthHvveW2SrZ-VZotTIdUCbhI4TLrRyOsQK-zIps6Otv5X4AAFghqI3OKaLdt2AM-NldgUoneWdXzV1rtKK5YYXipc24PC30eR37WrTBvAMYG2o7VcM9XVsrzoKYJsie74OpzIRcCkDlXhJjdNz7KJhSlR7qolgprCR10qr0HoFV_-8hOB-T-3b8XJguvANy8GVn1hkLHnPONSt-2m3kN9mPpjsaUjANkyv0tPAmsTPwjbg5cJ4ExTW5qrkqheDX7xVPtcJJz3uVD6UAckk9iRVPVZdphKjaEh&xkcb=SoDC-_M3MPXGkwR_hR0NbzkdCdPP&p=5&fvj=1&vjs=3,Physis Care,Whitchurch,Hiring ongoing
6,Pharmacy Supervisor / Team Lead,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0AuI0GnmuLldy2kaz4XBIUgZM_Wxe_y-LATokPaLOOMgyMG-GAs673M4BossvbssgJSq8PMucVq3LpdjUJbbYXPUC0JX3ATKgnuDOFPS9PbihJB0jwnWKki-Hrf6_I6ZDR21BIoBt2zEbkZ4TK_1UxIRruKWO06HUx1UUgF6ZZ2e3FaEVPjaaYq3EG0-CUFWgSTrr4siY23_1yXm4subrDf3VP6RgWMpUHBE4Fn43KQMnZmCVo5RB30fYvK-KR-wRgUxs0DAeBMVyhPpeJ6ifRW-aYmjmb_dcS84kKHSsGq6TC5N55k4IptXZKr3NxC8dccvGObIehrG3urGmVONYCDsvG0UXKcu9WB1AC2ikirSRr5o1OZ-bfjH8RjTGWltDyb6Mx-xqBGlY8DGGMRvSrpJJziZ618zcao4ocQfrM_exF0Q75N1MCDIfPCFT71sZT_e9sBiU5th0MrHsNi9ai--mZuzA8JUYIw8K9JQ00vJ53OEFvqCJrbsCaaw-5gW7IB-AXKqHBsvzMnwV4frtw_&xkcb=SoB2-_M3MPXGkwR_hR0MbzkdCdPP&p=6&fvj=1&vjs=3,RJR Chem,Shrewsbury,Today
7,Customer Team Leader,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CJX1qlD2wkvFlorwK9yyuE9y0j35Dqjjwtc-1AiC_tEN5Ahj3rsIJzpr0qeOYrdzFiAOcbMQ5Z8NhpcXBrcF4iUpw6qWikY7lEcFI_3GY8eaAi754VxJDJxjwuzPM2cxXR-4I6imQd1uPIMfDdQGLkcB7fe7wTA-hhnPYarvDR320NogKdiJOVtC8HJSINaJd35q3VBk5Wmc0NPYzZFlDTPlrkiGphRn3vvXhYTXfEOff7yyXGlFFekIcOaulla7HBoT8M_RT7mfX-SpMXVubi05EIZFrDfsB106wrc0e2jNqsRWWfwplyKrpFKVAjkxyfLsFavyTLSyvkY5hpWp1zgZ6DBiwLyz3VLTajhkXbMWwS_b9TpEJ1pzkuIWMZ0s5fiBZkUW9hQrDBLFBxdu_dv3WdrSdauHGpgtchJi8fT83DZBdKkVARMPVZyaHuWdU=&xkcb=SoCf-_M3MPXGkwR_hR0DbzkdCdPP&p=7&fvj=0&vjs=3,Coop,Broseley TF12,Today
8,Medical Records Administrator,https://uk.indeed.com/viewjob?jk=fb26641d596d3713&fccid=3aca82fe33580650&vjs=3,Nuffield Health,Shrewsbury, 1 day ago
9,General Farm Worker,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Bb6BbNWT7XUba1zzcKamVhK5gXvq9uRFMKJcPQBtxVPJ2_Bdn1-U6TP_PYjnuECpvgeosVBjk6FaHZAmC1E648zAPCEMW1a4VdlP5S8OUIVXcN26DMeDmKPByq94F4S0EfPcIHOKW4NTPK631Qo2PoDKnRdRqOP3DJtPweW8h4RR363_RZCJjG8xz5wOyX46CCbyBnMjuGk5BX3GcTiNyFNJQBUYdh807ovjlMjuiZ_P6Qd4O0jyRw6ZnphcwqUnVqXedZJupjLZDzIYMj_ID4oTTGhsmTXNKQAB52QtKA7u12RKtFFgHeE6pNk9zjyJyX0WyriCWb4km_16Ow9VLl36wS3ApJa_lvbgSa2IReQHIOB7G9AxlomwU00ubfQuKmiq1Ghl0sPdyPyh7lFb3GI-mb7pt4FO2M0qPfRpWsztxn469jGZMoNJIIoKRu5QNxvyLt5wVcl6PC0ibavsdRyLhDE2Hwpp8QEM2kQg-LYCQy-PmLuQXGCX2T2tMQJZ2hikH-RuFxOw==&xkcb=SoC2-_M3MPXGkwR_hR0BbzkdCdPP&p=9&fvj=1&vjs=3,Dale Farming,Shrewsbury, 1 day ago
