,job_title,job_link,company,location,date_posted
0,Event Steward,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0AN2cCiahgkHcQCkDpN6rKpomIBzRbvK9qNYXylgd35Ab4hpmYppGOvwLM-pLQNd72LsfD5vPH1lBietRYr4QH2QhKiUBVavxyLHNu53MUbDpOoqyRwD1EP8jSaYlMTnessF7CA1U8Sz1ofXoQUxt_h5erlhaS_Tqe81qWjVf4Hee6wOL9msYWmI_xuZ3783t5oVmpG5jgyZYS9ZUSt5_E-EdIS9ZbNVJbvEGH3WxnRS29BxXDJ65Jn-xSRxvLXWHERjl26XvoO2qsL8pkr-1uN6M34iUTXj9z6vP_UG0O5Aecu2ufrauybTPZYGt1c3QL-6P91Onhw2wCDNsPZwyn-rbvsOqjjvoqH7eDEMKppgh93tzJv6jhIwMVvHOQmcP-szUimP3onKlEZve7jd-of87TTPcYTdA9Uo8qWEccTJIQCOfp0mqDH4Rxx18k5exBBcSC0rCG38YWA7CzAGR-hErrG7CiOKdYI5AD1rwr_VXGJCSo91QrLDaM1uzCcnms=&xkcb=SoCJ-_M3MPXvkyRr6J0LbzkdCdPP&p=0&fvj=1&vjs=3,Customized cleans LTD,Stoke-on-Trent,Hiring ongoing
1,Patient Services Call Advisor,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0Dv6O7N5AamOBJQY-SBWHzj67zrR-DXQ6Evc7MbDkhrxeJLN8rR6zspq2kg01cU5Ct6OYigfp33kY3D5okMWriWW7lU7BLPt3ETXRWDW8oa33qOLArEu1At70pKfZp2sio7H78VOSZg6_LKsw6-UiDXQi9-9WGla3ebzZx3agFr0PAVD250qpGFYKGbEqr0qOGpVpqL9rg59AxFyML217YdYD8WuEJFMgUNZh8Fw7gU2oO8xHp8_WXTH09_4aJEFyLrUm-be_Q4Nw06nd3IwWyeUAXIbeWPA2IacgZc1DEIjyShc4Qan-7iTPpbs1B6IXai0QtAv4pqJ5f7OXXiDM9YTlazHxA8ry4mC0iA9lnJnpQ_SCPGVGqeqJv2v1NI0_9_Ehv_0SEeFyU5Si7woSJOIVPQWR4hQWVnBQeSJpQQJ6MXhDYlUOJxVPtuQyRlKpEd2Rg47kF8kiRHfCTVIcAskzMHkdFy_HK4tE9KrdB6oabVd2ZJDtPZ15mlZkCq1NiYlQtb6kqt4kyij3O4pTjyRRMM1v-Pl7g-rCholh6n9srpTO6_bNySx5h9XLinZsIKFRWlxYvgqE7XqDVHUNGemFmqW6hYA2nxH70Y82WtaPeZhAN9DNwW&xkcb=SoA9-_M3MPXvkyRr6J0KbzkdCdPP&p=1&fvj=0&vjs=3,Sciensus,Burton-On-Trent,Today
2,Therapies Administration Supervisor,https://uk.indeed.com/viewjob?jk=bb81f0bce9d0701a&fccid=7691ebb71b24124c&vjs=3,University Hospitals of Derby and Burton NHS...,Burton-On-Trent DE13, 1 day ago
3,Administrator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BuGDSZ13MK73WW5kleUdYATdc68U9dBjVGwnKzIF1WBwxp3x__WUrQTsqMIYTY1v3RM0gvQ4rUy7qeC8KrSYg6QQOOmaFfkAjBlbxjGXLVgfjlH0fksYQ4NK2O7ciidQPDB7r4JoKWlkagueCgCbNZeNcemepkTu6u5c6arido793vm9kK98woBBv_wdd3_PDYrO7c8iHChO7tD714Suq9pvxG-PLQlyZ48VQfQ8NxFIUffsVs2-AaK-_iKK2yomxv9fG6Ak66G4QK_3pWIvJnBB5qUBrwkNcD7kVmwIgt6eq9Tq22VoC5rePFOWDhMEI-IrV2zviMqfILGPctok7erTPIRUIH5pnYzC3Y1hlfPMiB27lzH3f-rA7d6tbFNjY-lLsuRy7mYSkEu4Cr8Galn5UNFrpR_MVd2P9AO_HjLu6NGQKohksON9xbxlH60aTZwxMC4WsCBa4XWdzNv8dT-jMLzQCHclKIjI0llnPzpTYRxtj1FYanvVvIC-wGaYdV6mrEElRoT5bi_oT6hadD&xkcb=SoAU-_M3MPXvkyRr6J0IbzkdCdPP&p=3&fvj=1&vjs=3,Hunters 4 Staff Ltd,Rocester,Today
4,Transportation Specialist - Japanese Language Specialist,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DHQH2sIBYyG9BJMpY5Aj-hgdt9yrIkdRwVsIfvxNTPzjvGuSjzRAAIi2z0f1p-eYTqBBnDGUVQwFPXUs3uuU1BiYhVlTELjogO-hPCQEH5rz5_pT4M2EDOUKVrcqISL2PaPRBA8hGBvBum_qcrtNG9zLjhN70uvtSOGoLWjCWv9uVuRg429V7Wnbz3EEK-QFNWA_tMOH4rImS3ittdeEf3qfjZX9wq5F1dng6W5XDHr1EWw6ANA1BygZ1JZ7evazgRobSp28h0JPC05AYJKwyDZewKy5y8sFrLAQc8yVxtgsh9wjfO3xmG2oFGzM82ADkB_WFSgTfJhsLKW50hhJpS_DphgCOxdZD_wwVxWnA5_yrWR8oGXQp3wlCNrBSnjJ6dDlgoomqSTRMhA5GLiv5HdVZXrPn9Tx8wtIAp0PrO0j68ouwlXVgSzB9oIyAGUJdYtmqmZGa0ncVLjiLAQx7W2x6MIsFmzHCHD-oQ-Q679a8Kxu6BMSXs&xkcb=SoCa-_M3MPXvkyRr6J0PbzkdCdPP&p=4&fvj=0&vjs=3,Amazon TA,United Kingdom,Just posted
5,Order Distributer,https://uk.indeed.com/viewjob?jk=6607d3339f93f66b&fccid=5b8d10630cb111eb&vjs=3,DHL Supply Chain,Stafford+1 location,Today
6,Kiln Operative,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DDwq6u6mNjIeb9RGG3S09IaWvWgNhOsawlHRf00aYbzYVOWkb0OnWr_C270IvG0xTiaimnsa1Rp_gKpBCjng8AHXSbD7ylb0cV-0CqRQ-Anar9wejZFDPnPg_NkW3YURQmCkvAcCTE1Jt3IwY53ySh9Fi51ZslSQ0O5ikNTWDD-0W4Mv-6cFIFLCkZsQ1A8jO44KqvlvDzxvi29EbqMD48Dt77dsFSBqYssm-gKnRMbQnkgK09dXUr5Cee1IKVjUkzaFeEZQ-ITPK1wp2cttzI5yYrveD0oXaTsfxxYHI8VMO8XaI8XEA-Fd0wS8g4CysxvRdB2Cozll11y7fhPKom986iBgAaylORvNtMmv_m-VuWVlywpnOqWVKzNVakxptOhvLhBK0qCbYjS6LxEvo_Iwau-hnQeTdFxjCmuXBfMkGRSk1CJyuhjsGNKGMPMQ1FmB-ygvxQOvaP5KAOHdrAmxma8KQc_j843PXCw1hhCy1iXQhaDodsa3YxRd98xUDXAszIXIwzmbxQAVLUyEcg&xkcb=SoCz-_M3MPXvkyRr6J0NbzkdCdPP&p=6&fvj=1&vjs=3,Steelite International,Stoke-on-Trent,Hiring ongoing
7,Scheduling and Sales Support Administrator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0A33aybZ_gaSDpTOBsMjrQfLtTfJQ_codw2D_wFJW2i53xh0HtPjCccoB6Dz2jQOh0KEuAUfednF1dIRQ9IoksunA1S5D8KRm0tDSrl6YTPCekT02HPg1lLCWlvlogaABWdoBFF0DZoEhu80k47AaJt0TZ2Tk91LdXfs4sZBDSaJN6Gfh0qHTQkWUD3_4TqSKbLBZf1oaS5aRSM8vO9pGuJdc29Bwrztwq4cRgpgL8HaKJeZ718J08GvSB9rEaWS5x7jGIFUe_G42jrg8vs0sE-4id-T-N4qvdvtVNW7MPSCAu-7s4uyP6r5p7L7606THrZYWIQDLu8H3b9zI1JqyD1qCJat57SdSU-TcRf_ZUkw_e_NPy_jDu_DhiPcSh3rs9QDPvnaE3Qlp6le8xOEA-EwnrXTHSOQYygZs08oxfjnXT4dUkaHR0BGH-Pey_pP0WyrOlY8j1AlttTVD2Nhmt-IPbS0C5PUbFzi5_tJIwO6VkCdZ7iPMtBC71Hxt4oF0gYQ--K33HMlRmBcwLJM6anwoBsnsg28zQJDl7ivRLKqw==&xkcb=SoAH-_M3MPXvkyRr6J0MbzkdCdPP&p=7&fvj=1&vjs=3,Perry Johnson Registrations Ltd.,Stoke-on-Trent ST6,Just posted
8,Stores Supervisor,https://uk.indeed.com/viewjob?jk=a60ea28b85ec1cb2&fccid=c55f4ad42cee2cd3&vjs=3,Compass Group,Stafford ST18,Today
9,Yard Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CLn2rtl4npYmsmgZkUK9DnV9avH2h6vtz4Y9Dka1Ff3pzhNlJhnUgghJ3zU0JEEsINTNhIf1XqC6U5cF_YzQ_srvUN8jj9BIhXC0dHSse7gxVal4yiR1EoaoX3OKazQea0XSiJmuDd7J38nSEPNoL50OmZYrXq1VXJ6WWDroo6Do_iuAPm_y2PFRR3WNOSDkFD6aSL8iy3Sbivh00djYuDy13yBUQCt52sVFnG39YHhUE2mRvXRFqPKgOi5RbbVkgeYz_aBDK0qO6DKr8yWLAzT_fjtNERWzwIQQk5Zgircn4kROiFXrkaHaRWyq4jH4lBLQ8WEfXRebb_w4utIeNy6F3xZXBgFBr92E2KAeb0tFzyh0F4-sca_z6wmB0WFmR7wz7y96i-RklroU_xInT7WI65ImkwepR1u79zB8A087CqG0VtNxHuE8DXe7HVGHvdW4lxMCe6hjp1PE7QV-wvG9QXA_3E7Qt9SK4a23TVSxmQ62Cypp3ZGVmC1i74xYkDFndEmFWvKQ==&xkcb=SoBa-_M3MPXvkyRr6J0CbzkdCdPP&p=9&fvj=1&vjs=3,MKM Building Supplies Ltd,Stafford ST16,Today
