,job_title,job_link,company,location,date_posted
0,Void Property Clearance/ Deep Cleaner/ Labourer,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0C-KhQJClZpTIp6fGf_vCZkQMAXKWNFhdlkQejUGqNGuKpK8up9G4tJcKeqDvdNeecp5DYFLmSgKzsVSLFDLfIoHR9pwpUw2UJLUOrg8RL22fC3HPu0nOWhx-lKEom7EJIs1-IhL9g5JK0FPi8_PSpySZHjb_YFlswuqVzCQzmGxCSJn2r0xKS-PbQWaPbRw-5o91tXR1ngIHa9Jnc_9J7w9lmxMniAAW1VI6dE92UtBa-ncflGbW6K32grdFIb4Pp5q9vyDXWN-5guLQSQF5e5gjzLrnOFwcdbSn0heSbedG2lfFUYFqX9hjyxVkYU_5i60Y8EpZEpwPfsHNdflJ8HA4K2V3QLQiNIjdnHXhs-xA8rin8Sl9XbWY_UyJiRPxJk_U4DCoNZmyZdEbYh7Pszj_xny2N71mJytUZBcHtvfgYCW5WYYr9MPzNnT2-vqXyYLBdB4ibdOT-0eEC_6esrKjrW4mEId_BtwJAfnp-Kv9i0YxR6ajPUQOyKuLvPwcQ=&xkcb=SoDM-_M3MPCJa12zIB0LbzkdCdPP&p=0&fvj=1&vjs=3,Rigford,Sussex, 1 day ago
1,Clerk,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CoZEDu__g6PeKtOQ1fst7I3_lnXqXEIEJKkr__C76ljWCtVAfXe9ejEFWpdD02ZFp_trfGf2tgw84afPcyL0C1xYbAHT0a5FvL40BeiDtiH7SSWzpIgtOpu5IcOYGMWb9mK_UAtS5CSwcBgUSH8G7fPGUzr1v0dbd5piRUCIqXRDLOFmr010bjXk4fudW_a0roLdMYbO3NsW1nwXUUYeqd-oi18-vnMlmTaiHksvkt7l4w1krdZyx_lQ01q6vVqvlouKg7yrBIb2JrvoPBfFrMQLLhBKO6upPgCxm-uFVPZGUFhFHFdStaBNoACtreF53H9iiPauXRkqui9mzk9ZuRYxBUwCixzryLsdbuYgmKU4zgZa0c4r-lFA96-RNmYHicdTH4c1IrpFWSH0r-hyBWaGU4_4QoJ-744FPn-eQv5v6QOVPnhME6m0XE_mLvNOTGjB8Xq187mkVnTgk4Hh6I0gDxP5_nm3lMyouC1Z0J8g==&xkcb=SoB4-_M3MPCJa12zIB0KbzkdCdPP&p=1&fvj=1&vjs=3,Clerks Academy UK,United Kingdom,Hiring ongoing
2,Call Handler - Work from Home,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DzDGr7UggUoS9KlVz7rqwjIopo3PWupgpxUY68F1BiQrfkcRBaJaGLbmeMsy26q0GJb4yeOwWVUtRvv5wNrbKwPYLKBLdW61xE2ubFiWYWARkELaLqRpnerY1pIFxWbEn8mft2KayfRbOXT-HVdC_yOlrFLR7cX6NTp1tJPxt9Wu22fy1xstutD-SBs58Le_QfTf2zTOjOGVrAJx9q_NlMSWc3P8Tzp4LHCqxOOMJyCJiLf4Qo8dhebnV9ManIvoGqCGMOQnD9NFtMyy6B-sBCVwqUXnVWQN4aUb_BC5bw1k61ZWnrqJoAQe69U7ZnDOS40U8ioRNyTb8lnj7KVmQQkNlBvG1TzD8dqoTP7w0gZ42HUJE1Pgbt9AioN1PI7939jaVVndYZoq5BoE_J3XL9B1LyMDbY7Rjp6s1TWr2L_IQQMp0p2awf653THRvxQrsj2C7HNgNEi9yl2zhiCuem92Jaj7xfutr6EG5Kq1hy14FCYTsLJwTGH4qP7sQTa943FnMctkzTwpnItPmvsZLIOV9QoE0f9-j3tBW51kiMaPwtbZ1C2rabnqYEx4WDS_HC_j75p1RP_I0KzJv9_lWV1tPa0f9G3ei7S1tBrgkKNGf5rVj3cXRxFu-OmKIEdpA3iw4EnPBu4obQWSas1o1WIFGZvCX-EnmahLIgT5r8tED6GKY8oHdIB482GpyzjtDw5cyr_ryfFDrrYf3_eE1xsZDqFsoV_snroMsbsH4oShZNl_0_EZQdMJ4shfj_b9Axtz0DF48fgfXTvRjdeGU2X1-7oPLCGPtJ-DgfetvAnJ75Pc0cMgDpD5Hx9f1tClpRcMsnin99ZSUduoBu3fSjk0_3260WVhe31neKswkVr14lnAZE1ABBgBPLzBjXR-Zqshi_nER06vRGpMcxDSaXS-ZRxvDr1NueA3WMByGnmgiyQCmr6exF-RRjgThJpZqws1ffVlWitGemEjbPfKBstZ5Pfx1c9s34o45cqkUCS9n3lF5Z7d2DT5aeZMJUQcr6T91RhqvYCgpn0agb_6d_3_SjDFWvYUxs09U1OLr9kn7EXnPn9BhSwm3I9dcdcQZ9n6v27vo_P8J4HTiMSS3C&xkcb=SoDl-_M3MPCJa12zIB0JbzkdCdPP&p=2&fvj=0&vjs=3,The Recruitment Co,Remote in England, 1 day ago
3,Psychological Wellbeing Practitioner - Qualified *REMOTE*,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DKh8KWWOjvLHqbcTJu2XgF22LZqmh0TIZ0DdLbAobI6gqhTua511ucHRGEv97J_3cl1PwyLwZzJOjOKS0AYa8ohr607zE78shVYxNw1Q0E3E0XHvJj6Er9dsNl7BPQYFUfbMqrs_NjYolHX84uspIAYKS6fIk-fN6Dw9jdzHlO8iL2hx7fYNpcugn21MmvKyx-FARjqHAnxj_Sqh40hjoM6_Etw5wNm46MQ2ijYxjqbifgmsGJi_ruSoGthrxWyrN6E1x6-G4pOa7ryyHZtTMkEqEJ-x0cj7UlPEkFeHANpHwd4G5sK2pp-QVhTXl1Ho7U554X6Qd2kbwnuY-npZKrMCb9dAVAv_Doh9-TayFuELIi2FHxlBLNzVZnjvV_B_Rhopb0Z_y4l5UYGDr8IITdgYNxsI9RD5Y6Kygp-pIGMJd5kjSkyKXW-mh-uDSnE8__gjIq2s6i9OKfEUyCivN3daImeyeEIWYD256fMbIRIHYuA4874jI7MAW5Zbf4O7devNxhWaIJ9LrJKknlerJJ_56ja2eSI_k1dr4aVFMCzbZ_wS1isehOnaHwnrypuwbCFcjAy31iKviigS07tgLThm6XR-JBAljlDqW8Rx7F2vRFPuZP1ZTS&xkcb=SoBR-_M3MPCJa12zIB0IbzkdCdPP&p=3&fvj=0&vjs=3,IPRS Health,Remote in England, 1 day ago
4,Customer Experience Team Member,https://uk.indeed.com/viewjob?jk=6531d963c7deb51e&fccid=10b9f0a386e74039&vjs=3,Ambassador Theatre Group,Sussex,Just posted
5,Head of Volunteering Services,https://uk.indeed.com/viewjob?jk=49b82b79c103c513&fccid=9b7e3939651251a7&vjs=3,University Hospitals Sussex NHS Foundation Trust...,Sussex,Today
6,Cellar Person,https://uk.indeed.com/viewjob?jk=2190bbcf69a8e4b6&fccid=10b9f0a386e74039&vjs=3,Ambassador Theatre Group,Sussex, 1 day ago
7,Women's Support Worker,https://uk.indeed.com/company/Streetlight-UK/jobs/Support-Worker-fc548b17313d22b2?fccid=842ec7a5f2061481&vjs=3,Streetlight UK,Hybrid remote in Sussex, 1 day ago
8,Functional Assessor (Flexible working for a healthy work life balance),https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BexbCIdOQZ1_tOQ-PaNImqLFPPKLgEIL7KKxiY7z8z17KX5fR8PVZD8DisISGSbLTu9UInztYlPcDDxgEGoyglFZw1A0cXY4ssbTqwGzJeNqfLuk5qcL-hwPLhRkFNjOxdirASyc1SseBZnYo_daVPdsIcUWU2V9KLP98YhALdXjljyKn-H-hmfARh1R8kVQ4RUXdz1J4l0NwRUSlx-8YtNTd7MpDsypc_xnVyPnxhtAi-rrsWS_R2xKnymzgf15FV3xxFI7LNPvzXNLwO_UVngUvl3Cy3nih_b7MZCkZWWeuiXoZRyiDfvnRf9AAM844Jr4LW0vx2CgxFyULfkcnDIn9ZryC-Xm6R0cscR7BjtZNFQGU8eRo4DEnuGK-pvi1ssrhSscod34k3OR_9mUsIMmacNjG9QSpOEKEuMQgXMDVhkKf9u8GTFydv0grEQaYpxTueJbCwqoHQjnwEs29PMPSGZeC0zDy5YWA6IWeSqJhVPtZGJ7d_0eNF8lb7_DHZjyHjzKpsdU9JOhlNIFX2MNTp2-nmR0QTFJQQ3TG-3woi0gj6JX-v&xkcb=SoCr-_M3MPCJa12zIB0DbzkdCdPP&p=8&fvj=1&vjs=3,Global4Health,England,Hiring ongoing
9,Fraud Investigator,https://uk.indeed.com/company/Vermelo-RPO/jobs/Fraud-Investigator-5397cb54df3a6f1d?fccid=df9c02cdfa1b07fc&vjs=3,Vermelo RPO,Hybrid remote in Sussex,Today
