,job_title,job_link,company,location,date_posted
0,Cash in Transit Driver,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DJF8v2Kyg8lPLRKO1nDoRFIMWr6G-6kdoUGNCJrNTQ1woqqHE5zeWbzgqxKJ44Rp9DoUpQ7weGUV-IglWNw5DA63bXi8kmzp29K6ZujWVl3n0KixE-cmLiqcKosEUNtMovzzYlU_4FlgBX1LukFlDVAIvbDNglA0w6HPsiNCrrmlJrhUkxP5CudiBrHQZW3xhlhj35ZdLGgWPW6PT92qyjOUWRAK50dcN5fBPufVN8rx4BNBY7RXBsdjubsioNozbH9LRnFZh4hZQN_fBZFaZw9Nvc3thJzj8-aP35DgOsMWf6XbYWVHP0zu6rUxdeMOnVtdQlm-pTI-7Iu9rvpei9ejxvjV8UsxSVo38IexLn_erNm9G_qH11AYalz0VtrK8Mhk7liEGKVmmKgjyJziB8z1Q5HfG2AaeWrLJESNfSMF6F0TvqzJ8MjLsYzEnWgdmIyy3pylc3jcrbrhg8ZKAM8-qjaLThcszgO28pxNb7XnQpp6El_uaW5GijklGuVphrtwTt64gKEA==&xkcb=SoB2-_M3MPCIHxWMMJ0LbzkdCdPP&p=0&fvj=1&vjs=3,Security Plus Limited,Newcastle upon Tyne,Just posted
1,Apprentice Joiner,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BCmNyPhBsPmUUnEoiQpiVbIWkVxfxIzCEzj6uK-H0CNjSBtqjR0Xu_e6KsDl_hoQQB6Xaz1Dzsl0zrLIOLd0MekWeNNKvsuYRWvQqVdWp9IyyXPqp4r4MjMzbGPq4d1gjAf-l6kcMrpCqdQaH60pCMelqgaK3PmaF-kJ90IsYwF51_FgA0l5dHjj3p25b8uW_gvOQFtE56xD6cwO8JlKxcTtAKvf7Cn3sWsxBI8v4Kbx0kpwlfFr4mHhz9sW9Or1yNEHvPZ6Ec0fpGfDSGx2LudO488BrJrWZWMMDw35L3UZWemijjmpX6LFBsKC5J2BbbXowI-_NEMPAQQDvyG3bKHj_zBpTPrgSEidbZbkxFOJb5ZemTH5HA0-zOsMM1z0n0H9FJPNnWwJgGFVXuBvJ0CZ-3mbwhnLZ1DYYRr11-8Z0IaAPrxtYLDK5nS1oiWduLfP9UUHxp7XsA13gfYJANPZKGGD1y56l4adLlm13ql5oJf1MW7i-OL1EjmVyKA-HsFbkhBVivig==&xkcb=SoDC-_M3MPCIHxWMMJ0KbzkdCdPP&p=1&fvj=1&vjs=3,Optimum Skills,Gateshead+2 locations,Hiring ongoing
2,Residential Surveyors - Expert Witness Work,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DnuZKUF1087HAJObHLl17WW21v1rULxLNbKKUQc7ftcPGlwyAdYdDYjDSyZigY1PH0kdS9yTSYHZ6C4LFKhWTv_b39dPtVC7uxNHTnjUlWVq9lVnkNcXmz8TEwmHfvsy7cCSdIoxBcOs88acWOdviEKgAFUEPo_EZ_LkG8iVOIqyrOdgHYKaAlrLa8pxENp4V_50jt4WrrpiXEprIEygHB2jp2uMaXxJVVBtMC5NvBli8nzY3xUUyEPJDLJmEEObhDUJzY7TtJGEL11_PG8-DC_-Zm3S-RlatuCWOopJE5F54klM9qRHK3kCoQKCCXMFi3bhD4YsUzL4sS31wgXspHZbfLAO2IJTG1x7o-EdmC8zNZi1UTlZLoao2EaSJlqJI5SViPLT9Zl4-pslziBl1QRLGhpwWIHZTawVXNeHRpnPQkuOhnBP41xk19LzaK87DZl50T4z-F5UedfrOxGH6oNxeIr643Fh6SYZ_5MIfzMbZJeFlewwWNA5bJ8ZDM7m3bJbHTVzpo0rPA7j-s2vqE6dwoMnlTOKJUgza32imGhA==&xkcb=SoBf-_M3MPCIHxWMMJ0JbzkdCdPP&p=2&fvj=1&vjs=3,C7 Surveyors,Newcastle upon Tyne, 1 day ago
3,Braille Proof Reader - Gateshead,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CRexSVACVktBI1xsUGXvAluXORNUvXIpLI1JFi2c4kxkWNbW5ooL6HONjmNmhdXBVq3HXHGf0U6RsBP1UQ8gH92vCw4w7WtuxPS0oC0n_jPCn98VgOxNzT-Bnv_1Gx4XHCrvuX4N61GujG31H3nv0dX9wzBpZw51Nq9ftW6ockJEG2aaJuCmGeGO3MX3IkCaG-61uYVEhZ3Ouynx4AQQxElee7aPP9ZY05atkywHDyNOuVJMXZoedNq-SCuyfBjCJOCYkeScmJ6AW3cOyQFnqcBS6r5U62IbwcF7PjU2l-0jZwgxErKSGnxxWkQYoE77UATpX3K2EOu0VUuhqzHN0ABAIBqjry6H0p0t-iWPHz3GA-E7n0LYJBKLtgonBjDOI3YsLcam5w1XnvlTQH8RjRic2phal9WQm6JnGpx_yrFWzlsMT3dgMm4Wo4facUCroag07cOvgF9KuiD5iwZ_4mYoAoX9ODa5_UEIKHNjyMPGzRhz7M5n2W3erCnngQhO7JZNNHCyt1wRfvHVKfgoboNrCUCbcyQA7203OS-FerVloCIw3QH5hJw49u0BQQWOfRiONmJOXozQsAJylfkmwjAGfL0kJERy5oc1DB0jzrODd1z_jRgX4-&xkcb=SoDr-_M3MPCIHxWMMJ0IbzkdCdPP&p=3&fvj=0&vjs=3,RNIB,Gateshead NE8, 1 day ago
4,Team Leader - Cafe Ritazza - Newcastle International Airport,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0BU8_isMsbjn8j4RKL1TSfWIwdb0KcXGMGK022JopigPZlOqif8Nm7iOwfB4h6r7fyl_kUsn8DVXRXAEtUG18a214bHeIfNBtP6Ab6IVBaRV7r-xXvxv3XGNf-Kvl2ZRzPOo9O-WxM_OoFiv2AEeywFY0aUtl0V8X63DpO-5xVdoYfGxAztEUsw6GJVfboHQZ7igvwEoW9JJOq4Xu33MAFji5AfKY9iRjCeThQSxvVo2hiQodd_ApZYavmkla6tLRwmLpw-73bbiwRAWKC274U_HRZSMls1cbzTVgoxIjg5kt5rEj7dPrvJE-Nk64Jf6joOITLfXVwNzpU6AUmDsqSfFCdsirF6OZ_7MLJkIyFNP8eViabF8RzEeJ197wHNcBVrSUgGDsTlCkEALtNltNWXNWRljS0ko7xL5zsvYZvfx5mcWIaZ70kk-XI1rYXDSOHMx8BjUzentXSeFPa5opCmcbeMjUuM1hcteito9bvvS2OlghQI3o21FWzOsnVydsx1C0jSsYlQwA==&xkcb=SoBl-_M3MPCIHxWMMJ0PbzkdCdPP&p=4&fvj=1&vjs=3,SSP,Newcastle upon Tyne,Just posted
5,Live Chat Advisor,https://uk.indeed.com/viewjob?jk=21393217f0f108ed&fccid=6428102fe6bf373d&vjs=3,Live Chat,Gateshead NE11,Just posted
6,Energy Surveyor,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DziSKXX0I69IG2nge1cDZkXL9WWcw5EdkfA5RA3205SrULrIunSai9hG_cSal7Iv5OZBhVzWTU6NNgf7EywEqgkgw0fHxjQqCTyPaVUXGcfUxldOd-LPdahXQfTFHI5DCZ4L4wZeNQwTSsbN2ub3YRks5Fp2PRLAMDMGVhEfLxEUhcfR_xQQIsO99q2RGwYIhvZo-pEgMA_5Sse56VgRfRTi5rPiCkm5PBaiF3CfZF-TWGTWxkUWRTGl9xtN1hxIFy59YEdprdQSdGmCUuTSRlKQmWdsxtiLOoRwf_gLcUKfWHkHK2lhIN5uka85IFO2v-Rq8xrs3ACar18AI50HOyapJNvxnJh0_ipmaXMeLnsKmccLxXucZtS-sdvgyeFqXR4eD9yEVB-aX85uF9NM-sVVHNkolFIFAnm8wfSEgKELTydlSE-3m1UOmfCH8HwZle9CXCXWANytgHqRUkOY4VOo-Hf6WmFik1UdigtsVEnoDbi9lhURXYWiaq4e91sTFRhqSmaE4X1Q==&xkcb=SoBM-_M3MPCIHxWMMJ0NbzkdCdPP&p=6&fvj=1&vjs=3,Compliance365,Newcastle upon Tyne,Just posted
7,Data Entry Clerk,https://uk.indeed.com/company/Team-RH-Fitness/jobs/Data-Entry-Clerk-4a68c190045eb08e?fccid=dbe40af1c686ced4&vjs=3,Team RH Fitness,Gateshead, 1 day ago
8,Customer Service Officer,https://uk.indeed.com/company/The-Co--Operative-Bank/jobs/Customer-Service-Representative-bd9983ea317f22ef?fccid=6efa9a21564b8f9a&vjs=3,The Co-operative Bank,Newcastle upon Tyne,Today
9,Baker,https://uk.indeed.com/viewjob?jk=89bf89bb9b1433a3&fccid=9013fe46d330e874&vjs=3,Sainsburys,Gateshead NE11,Just posted
