,job_title,job_link,company,location,date_posted
0,Senior Carer,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DPCm0Bu-o7ojdaRN8YQGB5JWIHHQ0b4ofU9BBRtptWZkxx38zdrt7jpyEYlpd8K1tzhzaYeYMOGPtXWqVcD7P8fj11_tdk2bwZqlzYEwVfZ9G1jKn3WxLPacHhLo2gqKx9Ok8dVsP10ZrmMRR7bn5bWxLB_GZCE1imWmWZdthOL1lt5Bl8AbudH9mSTSmylP3bFkT2uuN7XcQOYqJlHH_zhWVpBZzQm229DOZg2GQ7VuxA3rfjn4gaphrTlFYou5B1rBxQJH-tpa0VRjX9oXaHRvUrjeDyIGRReRbFuS47zpMp3wdKar4QI5KeFo3NArEgxf6ldXkuuz3z-iybuo28Dptu5lgNsv96XgejN9NWxKonxiRv66kzen89RqxUi41x2svhUetFc6aZoPInHnURP-SKvdxSvsYz5wlbIklljzrCDMMaMQQeO9KgB5kPXtt6SUk3Mj6zfk2BEAC-1SOfQsB8hWVd0lWMkcy_Au089jUTVn7aHsv2sR1Wtg0J98yLhjfXLvTD3ut9IuoUCFav&xkcb=SoDi-_M3MPCuC7R_px0LbzkdCdPP&p=0&fvj=1&vjs=3,New Age Care,Leamington Spa, 1 day ago
1,Female Domiciliary Carer,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DPCm0Bu-o7ojdaRN8YQGB5JWIHHQ0b4ofU9BBRtptWZkxx38zdrt7jpyEYlpd8K1uX4v2oDq4DZmCowqDqZueM6rqnhBXYTy4AppjSbldTPeretKUNikew2OZiyD7niaBkguVVZI13X4WTSaA2jm2-WGbAPQPDNHVI7uci2StL8MNa75Nt0_6O9nsqrf1Vq_fjMuqwlMgsCLYaSmcExky1gzrSvoVnpPl8QL_vFKvhNOQguAEIKu6BmJX_dGlx654mAlhgiB3XLc0RXKU592lPgtj9SuqukVKIu51JPxQvJAGZ072Li9eGtmoZ0sRhMlmlh6jI0kZsRXMrqJwxSQbSk_wYcaBcWTg2F7Jp-aVYtI2cFVVc4CDA-7SLnsVS_iYvmndCwV2kVcjDEVI0heV2Vp90muJP5jfkmK9tmMVQjjqPJh8Wv073dWf1twNLZKI0zJ92QLbnPRqFBhGqXDRpxkQ_V6DLJ1YwFOaUqpY6IempvsI870yah2LvKGV0tAoD3Snln2lBvc-WQP0DhroO&xkcb=SoBW-_M3MPCuC7R_px0KbzkdCdPP&p=1&fvj=1&vjs=3,New Age Care,Leamington Spa,Hiring ongoing
2,Estates Technical Coordinator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DIVvefcqEydXI7Yxd_c1XTXYkDSABk6GbHDLtwvITpoXmd5gymGD6XhjpP4FO5OhYWCH8fVFk51cQO82Q1MAV5B7vr9Aiyalr6gdIZcym4D2qWPm8v1zJnuMqc8bxCxFy6KpOWfdLnFjaRQE8dQP-ESh_ZJBoO8tyUl1N4st9WDvPXFev9p6F2R7EGnRKytHyJX-tIbu8D6tlhJNQcSME7XOZMZ9THrj6ovbCJkK5mdvUzEeBzuFBZnybOQK0phVMRQWXykFwHCMl3rahZEkfTxgo_XuX7PGqg9dmzwW4IR7xke_N4ErrxpdFMhLcHItx8qvyJ4M8eYatzdRQJnA3cDlIMJwEPb6dewOGVFGO0KmzqUQHfE_iBOnBn4forL5wsoTlqEErjCNIvnfbfRbimorcZ0L0ty3sd2z1rYth49qEKtG0Du3uRPoE_QFsBPOF1ghGezWwKEX75dw9gBTzcE8cekP9nur4EOGoCuuWTajJQJpHt9MMUHLdflk5yqMtfSoeFhw1musVtre6PrIIDfcIfSVWWSnaOfQt2g0GkC7pZZs8qrI19BREes4eXFLq7xtNZ4IPp-g==&xkcb=SoDL-_M3MPCuC7R_px0JbzkdCdPP&p=2&fvj=1&vjs=3,Oxfam,Southam, 1 day ago
3,Customer Service Advisor,https://uk.indeed.com/viewjob?jk=75b98f91d19846d7&fccid=057abf3fd357e717&vjs=3,Barclays,Hybrid remote in Leamington Spa CV32,Today
4,Tyre Fitter,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0AI1yHMU3BtCUYvItcTUouyZX5UCw9lTjOPFeb40YDX99Jh7EpZwiUjajVx64T4npmU0tXKO4i6urNyrA7_ZzpJakTn3dloDL0soIXhPWMJbuGIf_HBlQjCciYa4XG3P8O7VOjD5CmR5ycCWGdBiVxPy7VcIY7bmCqLSJgtfUU-61J-u3wGdpy7mb82ZFWjzsM4GXaN8Utfcl2nok7HlPk5PgFZY7yU2WApChrJ7i7DiN7o1EU0H4rJFDE7AT3WXwBbcEdquc4L_Bss0fua_Wf7oLW2nD2TFVRI-Vsc8K6FszsXW_AEwDnlorAdNDuvzvSzX5vk8blpH0MEQhrOlgqFYwiiAIsQtASZwWrKN9urn02eVxYlatjs-zu1-SxJr8TPzORINnNOfaGDsEsafQVxtu73R5-1h1olYqOuIX5CqQ_0NFZpyMT7PUNp7X675k5p1HKtiBgbhcOPPSW1c2BC88QF-E6UUgjb0ptH_z3SfZqkWaeGMgIX-a2yEh-glZk=&xkcb=SoDx-_M3MPCuC7R_px0PbzkdCdPP&p=4&fvj=1&vjs=3,The Tyre Store Ltd T/a Just Tyres.,Leamington Spa,Just posted
5,Caretaker/Maintenance,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CI4LiRh49m_pE3krfEstIqNvht602phZFHKQDgdmHaDVEnqaE21Y506emKa-z_24vVec5QVWzOQooWzZ81ze7VNC_6OqdS20i3x_ceTRW9R0mqtb6K5iXS0gf0o8qQxhg-lr5LwViXtxtIAulRWeyu4fFy5zRd89EThy4Wti_r5dF8dxngzDCMprraAQtU2LT0TmRSZFotyOLmby1jZcdJeiFCyrXn2ptgXY8ygCh83gWGeT-yrjKhLbUvjdbMCyBz-Jls0MpdpAnTi_c56pIB7wv2gCfrsvZPEPqolJ3mvvGuUDmf8g0LmLiKx5XNfPhuw8vhiuip3YYl-yOcbMiFvI85VqGzrh8wma8lTSi1qE0TsRWWD4foUqm00fAE1IN_inlugRiN5TeopPbtyRaVSs9SovJLR9xBQ-FbUSZUU9SWA7QewjdGTpq6rIEYWqplLi0YNxCSORE8tGDweNui1IG6brqd14AAhO_HQ3YhhKi9tXAAjrIjMffRxP7Y945CHFQl6Untxw==&xkcb=SoBF-_M3MPCuC7R_px0ObzkdCdPP&p=5&fvj=1&vjs=3,Transforming Lives Educational Trust,Rugby,Today
6,EHC Plan Coordinator,https://uk.indeed.com/viewjob?jk=34920bfa7ad44cdd&fccid=1e90cef95be42d9e&vjs=3,Warwickshire County Council,Warwick,Just posted
7,Warehouse Operative,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DGQEV2NlcQcehCXGEWeWeiVnAVXVpCR_51jHBHz5i-8Rk9oYQT2HeK4LEaNfn6ZUmh_ghor5lMk3xvpk6nPKqk_NEkH3Vw4K2qdWu0jpKenVfPwBL5hkTLIfZGupz5aqb3gMi9n8c_5eH-CLMXYiv3v6tRcI3k1A5GNZNa7coPItmapG2MnAsUHPKZQ5XvsIiC_v5LZuRgNimg_p21VYlRAbtjeBqHFqT1f-7X76jHt4jNVYnYW9y70wL0IcmRLg11wWdjNVLlHOp3ccp8LZVkMzoikycJev5Afjd4ZSa_UNY3ba17vVnh4aKsWf-f1wCG4zrUI-cRJW--fsqM-sS6xEbInD9Il2oFWBwjcFK7tfPgtl0nScd8LSrrM_BPDLo7DdiInk-BxPm2Nt9FKmISVpTel_AzivO-3-GV1uYRlRN3AviCCz_mX-FCPqRVDDxZWbqmGR-bClFcBjT_QdJUJNUCCahZF78_-6OyJS8X204bI-6RVnw2a0XpnOx3h0e_41ygue184w==&xkcb=SoBs-_M3MPCuC7R_px0MbzkdCdPP&p=7&fvj=1&vjs=3,Advance Logistics Support,Rugby CV23,Hiring ongoing
8,Lettings Administrator/Negotiator,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DOYAwWaRtn3Xu5Sv3_AGcTIbtgGLdvzqb7KO13Ho7ZSROjzZsnXS1zG7jdH2RoAcQh8z9jm4AzVNc78OlYiEcetf_wACT6hFyx4GADroJoKf8vjqdvBNRQxeUm0q9skLoBoKozzdhyDsyjyn_4UOXCRwOd8ctCNWXqo6cLq8TLnYXdM9bivQkYzHZnxAg6zcf1x4krQYTLZXPPsnr2JBC_GWlDrEsbAxDByLVa-KXg4E3nl7ukAAbUobRw4CjUFReSSdo521c5hfu6n6hNNEB7KhTQK0HL9tVDuXmR1bB5iq763gZKpZT0TlVqmNZ5AaBi9u4Rh0nyGYvT5e_EaXAVa33qwI5FbHoS3Ysbe38Oqv8Nmur1EHXZstgqq8pYbs6GgOXMTEkbmNPw716AmcK5zcNXltIsEupOcsnK-H5wyCvKcFdeuUMGAdvkaFrHe86l8hgOF1Hkfyu7Ffmnjkq3rRWx4VQJUsL85CgzHbBy3flANodxJHGxa44BwUNLknM2EB7zZies1w==&xkcb=SoCF-_M3MPCuC7R_px0DbzkdCdPP&p=8&fvj=1&vjs=3,Newmans Letting & Property Management,Rugby, 1 day ago
9,Newborn Hearing Screener,https://uk.indeed.com/viewjob?jk=071cbf4df8070753&fccid=7691ebb71b24124c&vjs=3,South Warwickshire University NHS Foundation Trust,Warwick CV34,Today
