,job_title,job_link,company,location,date_posted
0,Painting and Decorating Supervisor,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DeB98j20gszVVV7-TUE5svTj36hj947jAl0EOg1cMv-tlZ7x5-uTRO5SHKIz8wA7CJHx38FcnpAgs81TQlJAzlT2cfRwhB66eMhzdNXhofMANAiyJUZTeWPtKIiw4LdRcXPcye4ERsd9fgBU_TYQYc66VxEt0gbLXMOX5WOhGgALTNWYtlnbhgujDdOiw-nfXfIBKr_5nCv3KI9X9V8PvrjUvbkXft7hlJPgDmGgkUYl06g2jYEH2_E_OVQEeHwGNTNoZbBtODhhX68Ee4D_9zG5qDnoBkPzlgoBxp4BWOSM2GQ_QhQlvIDSYXkwPp_aXDyJgUUp-MaGYxJgZsJE8BisRcIG7gC7bPRjwqoC2xCPjR1ISE204ENtpNAdJqJBSy_blArS9okRv8vjc1MoWOin72Hh7HiWaPDbCDI_IHECIW6TS6B6GgQlMz9VIgdYYGpx0l92OBtLDi8n6MO5WadlS5SO7qA9KUwP-e-tzxjyjuiMfFWu5hGxnxhCn6Oe9JSmIXqf8QHQ==&xkcb=SoC_-_M3MPcpkWSnWZ05bzkdCdPP&p=0&fvj=1&vjs=3,Story Decorating Group,Yorkshire, 1 day ago
1,Customer Services Consultant,https://uk.indeed.com/viewjob?jk=673dba96f4039d0e&fccid=c9c5dbd616ec8872&vjs=3,Post Office Ltd,Yorkshire,Just posted
2,Clerk,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CoZEDu__g6PeKtOQ1fst7I3_lnXqXEIEJKkr__C76ljWCtVAfXe9ejEFWpdD02ZFp_trfGf2tgw84afPcyL0C1xYbAHT0a5FvL40BeiDtiH7SSWzpIgtOpu5IcOYGMWb9mK_UAtS5CSwcBgUSH8G7fPGUzr1v0dbd5piRUCIqXRAD_k9Q4k0iRITChflx9oN55YiOyFIIVoP_w0bFTnn8ySHVi3GjUyj1ijrqZXeYhf5y7HmOuMsIaklPOFALmV9cCkdpeHKiWTdfllxBLnzEn1YSAKDFk3pMTBT2z3lhaNlrvdAyoWBEoaUwo9K4dkYRtifl9vAM0l6BCiLcmNv577V609sHtrLEJ5JhcZLIRSQ4RdztDgGCXPEtq8Y12aJj9lg3RE4qcFwek0M_cR3WeiMAsM1fC0T71eGZH8nayfgTKf2UtxReoCo8kBeGfmxlkZgtKbRkEb1_l2SZ1lX-pPIHlkd0tRpgTdwB2TZEmfw==&xkcb=SoCF-_M3MPcpkWSnWZ0_bzkdCdPP&p=2&fvj=1&vjs=3,Clerks Academy UK,United Kingdom,Hiring ongoing
3,Animal Keeper,https://uk.indeed.com/viewjob?jk=988d323e29f01516&fccid=f2db228390bc62c5&vjs=3,BIAZA,Yorkshire,Today
4,Stock Auditor,https://uk.indeed.com/company/Cash-Generator/jobs/Stocker-c0d6ae642f8448e3?fccid=90cbf62f68ca2ffa&vjs=3,Cash Generator,Yorkshire,Today
5,Sales Assistant,https://uk.indeed.com/viewjob?jk=b30f1a22bdddac4b&fccid=e6d10f9c77816214&vjs=3,WHSmith,Yorkshire, 1 day ago
6,Stores Person,https://uk.indeed.com/viewjob?jk=6bfe90094fc89768&fccid=b1d187bd2a99600f&vjs=3,Amey plc,Yorkshire, 1 day ago
7,Accounts Assistant Hybrid Working,https://uk.indeed.com/viewjob?jk=a9fdc75b45abd849&fccid=c8d7c1905aac627e&vjs=3,Roc Recruitment,Hybrid remote in Yorkshire, 1 day ago
8,Trading Standards Officer,https://uk.indeed.com/viewjob?jk=a073a18c204e456d&fccid=2880f4ab6125c00d&vjs=3,Buckingham Futures,Yorkshire,Just posted
9,"Kitchen staff / 7597 - The Scribbling Mill - White Rose Shopping Centre, Leeds",https://uk.indeed.com/viewjob?jk=05da22bd93a920c0&fccid=ba4da6467e7e64bf&vjs=3,J D Wetherspoon plc,Yorkshire,Today
10,Cleaner/Housekeeper,https://uk.indeed.com/viewjob?jk=59804beb3521ea6a&fccid=b1d187bd2a99600f&vjs=3,Amey plc,Yorkshire, 1 day ago
11,Sales Valuer,https://uk.indeed.com/viewjob?jk=4f5ec794c2419644&fccid=fba088f4ada23c2e&vjs=3,GCB Agency Recruitment,Remote in Yorkshire,Today
12,Humber NHS - QSW - Community Mental Health Team (Hybrid),https://uk.indeed.com/viewjob?jk=e50c7c7597861b6a&fccid=6e0e191faae4949f&vjs=3,Eden Brown Synergy,Hybrid remote in Yorkshire, 1 day ago
