locations,links,details
Bedfordshire,https://uk.indeed.com/jobs?q=&l=Bedfordshire&radius=0&fromage=1,success
Berkshire,https://uk.indeed.com/jobs?q=&l=Berkshire&radius=0&fromage=1,unprocessed
Bristol,https://uk.indeed.com/jobs?q=&l=Bristol&radius=0&fromage=1,unprocessed
Buckinghamshire,https://uk.indeed.com/jobs?q=&l=Buckinghamshire&radius=0&fromage=1,unprocessed
Cambridgeshire,https://uk.indeed.com/jobs?q=&l=Cambridgeshire&radius=0&fromage=1,unprocessed
Cheshire,https://uk.indeed.com/jobs?q=&l=Cheshire&radius=0&fromage=1,unprocessed
Cornwall,https://uk.indeed.com/jobs?q=&l=Cornwall&radius=0&fromage=1,unprocessed
Cumbria,https://uk.indeed.com/jobs?q=&l=Cumbria&radius=0&fromage=1,unprocessed
Derbyshire,https://uk.indeed.com/jobs?q=&l=Derbyshire&radius=0&fromage=1,unprocessed
Devon,https://uk.indeed.com/jobs?q=&l=Devon&radius=0&fromage=1,unprocessed
Dorset,https://uk.indeed.com/jobs?q=&l=Dorset&radius=0&fromage=1,unprocessed
Durham,https://uk.indeed.com/jobs?q=&l=Durham&radius=0&fromage=1,unprocessed
Essex,https://uk.indeed.com/jobs?q=&l=Essex&radius=0&fromage=1,unprocessed
Gloucestershire,https://uk.indeed.com/jobs?q=&l=Gloucestershire&radius=0&fromage=1,unprocessed
Greater Manchester,https://uk.indeed.com/jobs?q=&l=Greater Manchester&radius=0&fromage=1,unprocessed
Hampshire,https://uk.indeed.com/jobs?q=&l=Hampshire&radius=0&fromage=1,unprocessed
Herefordshire,https://uk.indeed.com/jobs?q=&l=Herefordshire&radius=0&fromage=1,unprocessed
Hertfordshire,https://uk.indeed.com/jobs?q=&l=Hertfordshire&radius=0&fromage=1,unprocessed
Isle of Wight,https://uk.indeed.com/jobs?q=&l=Isle of Wight&radius=0&fromage=1,unprocessed
Kent,https://uk.indeed.com/jobs?q=&l=Kent&radius=0&fromage=1,unprocessed
Lancashire,https://uk.indeed.com/jobs?q=&l=Lancashire&radius=0&fromage=1,unprocessed
Leicestershire,https://uk.indeed.com/jobs?q=&l=Leicestershire&radius=0&fromage=1,unprocessed
Lincolnshire,https://uk.indeed.com/jobs?q=&l=Lincolnshire&radius=0&fromage=1,unprocessed
London,https://uk.indeed.com/jobs?q=&l=London&radius=0&fromage=1,unprocessed
Merseyside,https://uk.indeed.com/jobs?q=&l=Merseyside&radius=0&fromage=1,unprocessed
Norfolk,https://uk.indeed.com/jobs?q=&l=Norfolk&radius=0&fromage=1,unprocessed
Northamptonshire,https://uk.indeed.com/jobs?q=&l=Northamptonshire&radius=0&fromage=1,unprocessed
Northumberland,https://uk.indeed.com/jobs?q=&l=Northumberland&radius=0&fromage=1,unprocessed
Nottinghamshire,https://uk.indeed.com/jobs?q=&l=Nottinghamshire&radius=0&fromage=1,unprocessed
Oxfordshire,https://uk.indeed.com/jobs?q=&l=Oxfordshire&radius=0&fromage=1,unprocessed
Rutland,https://uk.indeed.com/jobs?q=&l=Rutland&radius=0&fromage=1,unprocessed
