date,job title,company working,location working,link
2023-09-06,Automotive Vehicle Prepper/Polisher,Logic 360 Group,"Bedford, England, United Kingdom",https://uk.linkedin.com/jobs/view/automotive-vehicle-prepper-polisher-at-logic-360-group-3713881013?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=rIFYfe4MDWpLliZMrFrk3w%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-06,Health & Wellbeing Project Support Officer,East of England Ambulance Service NHS Trust,"Bedford, England, United Kingdom",https://uk.linkedin.com/jobs/view/health-wellbeing-project-support-officer-at-east-of-england-ambulance-service-nhs-trust-3705724292?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=FxmzFaJ9i2nOBKuRKkjJSQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-06,Store Assistant,Travis Perkins plc,"Bedford, England, United Kingdom",https://uk.linkedin.com/jobs/view/store-assistant-at-travis-perkins-plc-3713868079?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=Pvr3xeADJNKee4znGSgcDg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-06,Staff Nurse,Bedfordshire Hospitals NHS Foundation Trust,"Bedford, England, United Kingdom",https://uk.linkedin.com/jobs/view/staff-nurse-at-bedfordshire-hospitals-nhs-foundation-trust-3705722489?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=uGq2SigwdjIuTuT%2BbHKTxw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-07,Team Administration,Tempting Recruitment,"Bedford, England, United Kingdom",https://uk.linkedin.com/jobs/view/team-administration-at-tempting-recruitment-3712048409?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=aXNq0XHK0ReSYabl4XyquA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-06,Production Line Operators,Proactive Global,"Bedfordshire, England, United Kingdom",https://uk.linkedin.com/jobs/view/production-line-operators-at-proactive-global-3711150637?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=UnUla3Gg%2FWaTcEUm5bTcJw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-06,Mental Health Assistant,Bedfordshire Hospitals NHS Foundation Trust,"Bedford, England, United Kingdom",https://uk.linkedin.com/jobs/view/mental-health-assistant-at-bedfordshire-hospitals-nhs-foundation-trust-3705718852?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=l%2Byc9UuOQyDd6wl198Nlfw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-06,Theatre Assistant,Bedfordshire Hospitals NHS Foundation Trust,"Bedford, England, United Kingdom",https://uk.linkedin.com/jobs/view/theatre-assistant-at-bedfordshire-hospitals-nhs-foundation-trust-3705721661?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=NxAqkHcJIZfUMEnCK%2Fvueg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-07,Buyer,Earth & Wheat,"Bedfordshire, England, United Kingdom",https://uk.linkedin.com/jobs/view/buyer-at-earth-wheat-3712096782?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=ZGl8KdZEWs6QYfLXYr80ow%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-06,Teaching Assistant,Teaching Personnel,"Bedford, England, United Kingdom",https://uk.linkedin.com/jobs/view/teaching-assistant-at-teaching-personnel-3713749161?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=xuYI4bRGV12yzeZySa11sQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-06,Project Manager,NSR Associates - Middle East,"Kempston Hardwick, England, United Kingdom",https://uk.linkedin.com/jobs/view/project-manager-at-nsr-associates-middle-east-3713877936?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=uc%2F%2B0sVBu8w7aUtx5BptvQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-07,Luxury Estate Agent - Bedfordshire,Vesta Recruitment Ltd,"Bedford, England, United Kingdom",https://uk.linkedin.com/jobs/view/luxury-estate-agent-bedfordshire-at-vesta-recruitment-ltd-3712049393?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=%2BUAm8LBYLcygCnLa9IkmoA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-06,Yard Sales Assistant,Travis Perkins plc,"Bedford, England, United Kingdom",https://uk.linkedin.com/jobs/view/yard-sales-assistant-at-travis-perkins-plc-3713863684?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=SKKk8qltgIROBu0ZHZycMQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-06,Estimator,Attega Group,"Bedford, England, United Kingdom",https://uk.linkedin.com/jobs/view/estimator-at-attega-group-3713880069?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=O628mPKqnvZH7eqVKFcczw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-06,Home Care Assistant,Nurse Seekers,"Bedford, England, United Kingdom",https://uk.linkedin.com/jobs/view/home-care-assistant-at-nurse-seekers-3713884316?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=InZMvZ%2BETzwZOyUIR7jznA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-07,"Digital Marketing Manager - Fintech - £50,000",Blu Digital,"Bedfordshire, England, United Kingdom",https://uk.linkedin.com/jobs/view/digital-marketing-manager-fintech-%C2%A350-000-at-blu-digital-3712062041?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=K5yQSYRmvh5cH7LQVx2QxQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-09-06,Fully Qualified Teacher based in Bedfordshire,Teaching Personnel,"Bedfordshire, England, United Kingdom",https://uk.linkedin.com/jobs/view/fully-qualified-teacher-based-in-bedfordshire-at-teaching-personnel-3713751019?refId=V6zC8tlcjaIMnkt5zEK4RA%3D%3D&trackingId=r8Yf%2BUbeXJzAokIxztLgVw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
