date,job title,company working,location working,link
2023-12-10,Advanced Clinical Practitioner - Medical,Somerset NHS Foundation Trust,"Yeovil, England, United Kingdom",https://uk.linkedin.com/jobs/view/advanced-clinical-practitioner-medical-at-somerset-nhs-foundation-trust-3781472481?refId=2omoQ14FhuPjrLJBGBeuHw%3D%3D&trackingId=H3EsZyAKI1zIrqwDOsl7EQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-12-10,Specialist Addiction Practitioner,Leeds and York Partnership NHS Foundation Trust,"Leeds, England, United Kingdom",https://uk.linkedin.com/jobs/view/specialist-addiction-practitioner-at-leeds-and-york-partnership-nhs-foundation-trust-3781451836?refId=2omoQ14FhuPjrLJBGBeuHw%3D%3D&trackingId=M00qFV4YHdERGNm0LtHc%2Fw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-12-10,Protect Practitioner INTERNAL,Betsi Cadwaladr University Health Board,"Three Ashes, England, United Kingdom",https://uk.linkedin.com/jobs/view/protect-practitioner-internal-at-betsi-cadwaladr-university-health-board-3777849719?refId=2omoQ14FhuPjrLJBGBeuHw%3D%3D&trackingId=zeZecApJPzeT8hOKVuKX8g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-12-10,Clinical Practitioner,Guardian Jobs,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/clinical-practitioner-at-guardian-jobs-3783051710?refId=2omoQ14FhuPjrLJBGBeuHw%3D%3D&trackingId=6g%2FiGqpnVi3JP8H%2FL4Mu%2BQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-12-10,Advanced Practitioner,DHU Healthcare,"Derbyshire, England, United Kingdom",https://uk.linkedin.com/jobs/view/advanced-practitioner-at-dhu-healthcare-3672426284?refId=2omoQ14FhuPjrLJBGBeuHw%3D%3D&trackingId=zrJxpBzwqj2ZMrssYi3lRg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-12-10,Senior Mental Health Practitioner,Leeds and York Partnership NHS Foundation Trust,"Leeds, England, United Kingdom",https://uk.linkedin.com/jobs/view/senior-mental-health-practitioner-at-leeds-and-york-partnership-nhs-foundation-trust-3781451837?refId=2omoQ14FhuPjrLJBGBeuHw%3D%3D&trackingId=fhAH53Xf7WGmRr8R%2BJVLzw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-12-10,Senior Mental Health Practitioner,Leeds and York Partnership NHS Foundation Trust,"Leeds, England, United Kingdom",https://uk.linkedin.com/jobs/view/senior-mental-health-practitioner-at-leeds-and-york-partnership-nhs-foundation-trust-3781455215?refId=2omoQ14FhuPjrLJBGBeuHw%3D%3D&trackingId=aBTVFs6KYS8044%2BXNyh%2F0w%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-12-10,Clinical Practitioner,DHU Healthcare,"Derbyshire, England, United Kingdom",https://uk.linkedin.com/jobs/view/clinical-practitioner-at-dhu-healthcare-3677683067?refId=2omoQ14FhuPjrLJBGBeuHw%3D%3D&trackingId=0am%2F4DOrNOgx%2F4Z6QWbAjA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-12-10,Level 3 practitioner Bradford,Veritas Education Recruitment (London),"Bradford, England, United Kingdom",https://uk.linkedin.com/jobs/view/level-3-practitioner-bradford-at-veritas-education-recruitment-london-3783273644?refId=2omoQ14FhuPjrLJBGBeuHw%3D%3D&trackingId=yFVIJm4nKbKfTO7N6kn6XA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
2023-12-10,Locality Safeguarding & Assessment Advanced Practitioner (Children's Social Care),Gloucestershire County Council,"Gloucestershire, England, United Kingdom",https://uk.linkedin.com/jobs/view/locality-safeguarding-assessment-advanced-practitioner-children-s-social-care-at-gloucestershire-county-council-3608371273?refId=2omoQ14FhuPjrLJBGBeuHw%3D%3D&trackingId=sT75kg2OB0rZPIKfZEDXvA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
