locations,links,details
Bedfordshire,https://www.linkedin.com/jobs/search?keywords=&location=Bedfordshire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=103047120&f_TPR=r86400&position=1&pageNum=0,success
Reading,https://www.linkedin.com/jobs/search?keywords=&location=Reading%2C%20England%2C%20United%20Kingdom&locationId=&geoId=112709004&f_TPR=r86400&distance=10&position=1&pageNum=0,unprocessed
Bristol,https://www.linkedin.com/jobs/search?keywords=&location=Bristol%2C%20England%2C%20United%20Kingdom&locationId=&geoId=105982022&f_TPR=r86400&position=1&pageNum=0,unprocessed
Buckinghamshire,https://www.linkedin.com/jobs/search?keywords=&location=Buckinghamshire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=100312918&f_TPR=r86400&position=1&pageNum=0,unprocessed
Cambridgeshire,https://www.linkedin.com/jobs/search?keywords=&location=Cambridgeshire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=102057244&f_TPR=r86400&position=1&pageNum=0,unprocessed
Cheshire,https://www.linkedin.com/jobs/search?keywords=&location=Cheshire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=102797758&f_TPR=r86400&position=1&pageNum=0,unprocessed
Cornwall,https://www.linkedin.com/jobs/search?keywords=&location=Cornwall%2C%20England%2C%20United%20Kingdom&locationId=&geoId=102493435&f_TPR=r86400&position=1&pageNum=0,unprocessed
Cumbria,https://www.linkedin.com/jobs/search?keywords=&location=Cumbria%2C%20England%2C%20United%20Kingdom&locationId=&geoId=105804315&f_TPR=r86400&position=1&pageNum=0,unprocessed
Derbyshire,https://www.linkedin.com/jobs/search?keywords=&location=Derbyshire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=105472287&f_TPR=r86400&position=1&pageNum=0,unprocessed
Devon,https://www.linkedin.com/jobs/search?keywords=&location=Devon%2C%20England%2C%20United%20Kingdom&locationId=&geoId=101338677&f_TPR=r86400&position=1&pageNum=0,unprocessed
Dorset,https://www.linkedin.com/jobs/search?keywords=&location=Dorset%2C%20England%2C%20United%20Kingdom&locationId=&geoId=104701245&f_TPR=r86400&position=1&pageNum=0,unprocessed
Durham,https://www.linkedin.com/jobs/search?keywords=&location=Durham%2C%20England%2C%20United%20Kingdom&locationId=&geoId=100525693&f_TPR=r86400&position=1&pageNum=0,unprocessed
Essex,https://www.linkedin.com/jobs/search?keywords=&location=Essex%2C%20England%2C%20United%20Kingdom&locationId=&geoId=105321710&f_TPR=r86400&position=1&pageNum=0,unprocessed
Gloucestershire,https://www.linkedin.com/jobs/search?keywords=&location=Gloucestershire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=104897536&f_TPR=r86400&position=1&pageNum=0,unprocessed
Greater Manchester,https://www.linkedin.com/jobs/search?keywords=&location=Greater%20Manchester%2C%20England%2C%20United%20Kingdom&locationId=&geoId=105082928&f_TPR=r86400&position=1&pageNum=0,unprocessed
Hampshire,https://www.linkedin.com/jobs/search?keywords=&location=Hampshire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=106123994&f_TPR=r86400&position=1&pageNum=0,unprocessed
Herefordshire,https://www.linkedin.com/jobs/search?keywords=&location=Herefordshire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=104770966&f_TPR=r86400&position=1&pageNum=0,unprocessed
Hertfordshire,https://www.linkedin.com/jobs/search?keywords=&location=Hertfordshire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=103872123&f_TPR=r86400&position=1&pageNum=0,unprocessed
Isle of Wight,https://www.linkedin.com/jobs/search?keywords=&location=Isle%20of%20Wight%2C%20England%2C%20United%20Kingdom&locationId=&geoId=102573845&f_TPR=r86400&position=1&pageNum=0,unprocessed
Kent,https://www.linkedin.com/jobs/search?keywords=&location=Kent%2C%20England%2C%20United%20Kingdom&locationId=&geoId=104820895&f_TPR=r86400&position=1&pageNum=0,unprocessed
Lancashire,https://www.linkedin.com/jobs/search?keywords=&location=Lancashire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=102676082&f_TPR=r86400&position=1&pageNum=0,unprocessed
Leicestershire,https://www.linkedin.com/jobs/search?keywords=&location=Leicestershire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=101944433&f_TPR=r86400&position=1&pageNum=0,unprocessed
Lincolnshire,https://www.linkedin.com/jobs/search?keywords=&location=Lincolnshire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=103103829&f_TPR=r86400&position=1&pageNum=0,unprocessed
London,https://www.linkedin.com/jobs/search?keywords=&location=London%2C%20England%2C%20United%20Kingdom&locationId=&geoId=102257491&f_TPR=r86400&position=1&pageNum=0,unprocessed
Merseyside,https://www.linkedin.com/jobs/search?keywords=&location=Merseyside%2C%20England%2C%20United%20Kingdom&locationId=&geoId=103249531&f_TPR=r86400&position=1&pageNum=0,unprocessed
Liverpool,https://www.linkedin.com/jobs/search?keywords=&location=Liverpool%2C%20England%2C%20United%20Kingdom&locationId=&geoId=108577329&f_TPR=r86400&position=1&pageNum=0,unprocessed
Norfolk,https://www.linkedin.com/jobs/search?keywords=&location=Norfolk%2C%20England%2C%20United%20Kingdom&locationId=&geoId=103744951&f_TPR=r86400&position=1&pageNum=0,unprocessed
Northamptonshire,https://www.linkedin.com/jobs/search?keywords=&location=Northamptonshire%2C%20England%2C%20United%20Kingdom&locationId=&geoId=106630255&f_TPR=r86400&position=1&pageNum=0,unprocessed
Northumberland,https://www.linkedin.com/jobs/search?keywords=&location=Northumberland%2C%20England%2C%20United%20Kingdom&locationId=&geoId=104271276&f_TPR=r86400&position=1&pageNum=0,unprocessed
