date,job title,company working,location working,link
2023-09-07T06:22:32.370Z,Junior Product Designer,Get Staffed Online Recruitment,"Bedford,Southern",https://www.monster.co.uk/job-openings/junior-product-designer-bedford-eng--2aa9f222-3399-4256-833c-2a4429ec5baa
2023-09-07T05:34:46.900Z,Customer Resolution Team Leader,Copart UK Limited,"Bedford,Southern",https://www.monster.co.uk/job-openings/customer-resolution-team-leader-bedford-eng--c54fb8c0-fb78-4e33-8910-0b6cf49e41bd
2023-09-07T05:32:54.830Z,Self Employed Vehicle Collection And Delivery Driver,BCA Logistics,"Milton Keynes,HC",https://www.monster.co.uk/job-openings/self-employed-vehicle-collection-and-delivery-driver-milton-keynes-eng--1c65ec53-6e9f-4a84-aea6-8ac1e64051dd
2023-09-07T05:33:36.837Z,Mobile patrol office ( 6 on 3 off nights),Smart Recruit Online,"Milton Keynes,HC",https://www.monster.co.uk/job-openings/mobile-patrol-office-6-on-3-off-nights-milton-keynes-eng--b1ec37e5-ffec-44c0-8f9e-abfc4ff599d3
2023-09-07T05:50:49.020Z,Commercial Assistant Buyer,Business HR Solutions (Consultancy) Limited,"Milton Keynes,HC",https://www.monster.co.uk/job-openings/commercial-assistant-buyer-milton-keynes-eng--ed088d77-eb7a-4021-b9f3-1b185831e6bd
2023-09-07T05:11:41.680Z,Executive Assistant,Not For Profit People,"Milton Keynes,HC",https://www.monster.co.uk/job-openings/executive-assistant-milton-keynes-eng--7db1b460-f23e-47f2-85ab-027bd428a714
2023-09-07T12:22:29.520Z,Car Mover,Airparks,"Luton,HC",https://www.monster.co.uk/job-openings/car-mover-luton-eng--a02993ae-cefe-43d7-8b8f-98abefeaa540
2023-09-07T05:10:22.870Z,Visitor Services Assistant (4 days per week),Bletchley Park Trust Limited,"Milton Keynes,HC",https://www.monster.co.uk/job-openings/visitor-services-assistant-4-days-per-week-milton-keynes-eng--b6a3f22f-3466-4191-b83f-e4844b0ad323
2023-09-07T07:16:02.960Z,IT Technical Apprentice,QA LIMITED,"Buckinghamshire,HC",https://www.monster.co.uk/job-openings/it-technical-apprentice--34e25686-61de-4061-82a0-1bf5ed3a8c5c
2023-09-07T05:51:22.100Z,Lead Maintenance Technician,"U.S. Embassy, London","Astwick,HC",https://www.monster.co.uk/job-openings/lead-maintenance-technician-astwick-eng--04ca916d-51ed-4711-8cf7-edc4d1d1732a
