locations,links,details,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Bedfordshire,https://www.monster.co.uk/jobs/search?q=&where=Bedfordshire&page=1&recency=today&rd=5&so=m.s.sh,success,,date | job title | company working | location working | link,,,
Berkshire,https://www.monster.co.uk/jobs/search?q=&where=Berkshire&page=1&recency=today&rd=5&so=m.s.sh,success,,,,,
Bristol,https://www.monster.co.uk/jobs/search?q=&where=Bristol&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Buckinghamshire,https://www.monster.co.uk/jobs/search?q=&where=Buckinghamshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,job title,company working,location working,link
Cambridgeshire,https://www.monster.co.uk/jobs/search?q=&where=Cambridgeshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Cheshire,https://www.monster.co.uk/jobs/search?q=&where=Cheshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,https://vimeo.com/859786829/9fe94ae7ff,,,
Cornwall,https://www.monster.co.uk/jobs/search?q=&where=Cornwall&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Cumbria,https://www.monster.co.uk/jobs/search?q=&where=Cumbria&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Derbyshire,https://www.monster.co.uk/jobs/search?q=&where=Derbyshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Devon,https://www.monster.co.uk/jobs/search?q=&where=Devon&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Dorset,https://www.monster.co.uk/jobs/search?q=&where=Dorset&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Durham,https://www.monster.co.uk/jobs/search?q=&where=Durham&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Essex,https://www.monster.co.uk/jobs/search?q=&where=Essex&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Gloucestershire,https://www.monster.co.uk/jobs/search?q=&where=Gloucestershire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Greater Manchester,https://www.monster.co.uk/jobs/search?q=&where=Greater+Manchester&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Hampshire,https://www.monster.co.uk/jobs/search?q=&where=Hampshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Herefordshire,https://www.monster.co.uk/jobs/search?q=&where=Herefordshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Hertfordshire,https://www.monster.co.uk/jobs/search?q=&where=Hertfordshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Isle of Wight,https://www.monster.co.uk/jobs/search?q=&where=Isle+of+Wight&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Kent,https://www.monster.co.uk/jobs/search?q=&where=Kent&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Lancashire,https://www.monster.co.uk/jobs/search?q=&where=Lancashire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Leicestershire,https://www.monster.co.uk/jobs/search?q=&where=Leicestershire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Lincolnshire,https://www.monster.co.uk/jobs/search?q=&where=Lincolnshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
London,https://www.monster.co.uk/jobs/search?q=&where=London&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Merseyside,https://www.monster.co.uk/jobs/search?q=&where=Merseyside&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Norfolk,https://www.monster.co.uk/jobs/search?q=&where=Norfolk&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Northamptonshire,https://www.monster.co.uk/jobs/search?q=&where=Northamptonshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Northumberland,https://www.monster.co.uk/jobs/search?q=&where=Northumberland&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Nottinghamshire,https://www.monster.co.uk/jobs/search?q=&where=Nottinghamshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Oxfordshire,https://www.monster.co.uk/jobs/search?q=&where=Oxfordshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Rutland,https://www.monster.co.uk/jobs/search?q=&where=Rutland&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Shropshire,https://www.monster.co.uk/jobs/search?q=&where=Shropshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Somerset,https://www.monster.co.uk/jobs/search?q=&where=Somerset&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Staffordshire,https://www.monster.co.uk/jobs/search?q=&where=Staffordshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Suffolk,https://www.monster.co.uk/jobs/search?q=&where=Suffolk&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Surrey,https://www.monster.co.uk/jobs/search?q=&where=Surrey&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Sussex,https://www.monster.co.uk/jobs/search?q=&where=Sussex&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Tyne and Wear,https://www.monster.co.uk/jobs/search?q=&where=Tyne+and+Wear&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Warwickshire,https://www.monster.co.uk/jobs/search?q=&where=Warwickshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
West Midlands,https://www.monster.co.uk/jobs/search?q=&where=West+Midlands&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Wiltshire,https://www.monster.co.uk/jobs/search?q=&where=Wiltshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Worcestershire,https://www.monster.co.uk/jobs/search?q=&where=Worcestershire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Yorkshire,https://www.monster.co.uk/jobs/search?q=&where=Yorkshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
City of Glasgow,https://www.monster.co.uk/jobs/search?q=&where=City+of+Glasgow&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
City of Edinburgh,https://www.monster.co.uk/jobs/search?q=&where=City+of+Edinburgh&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Fife,https://www.monster.co.uk/jobs/search?q=&where=Fife&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
South Lanarkshire,https://www.monster.co.uk/jobs/search?q=&where=South+Lanarkshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
North Lanarkshire,https://www.monster.co.uk/jobs/search?q=&where=North+Lanarkshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Aberdeenshire,https://www.monster.co.uk/jobs/search?q=&where=Aberdeenshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Highland,https://www.monster.co.uk/jobs/search?q=&where=Highland&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
West Lothian,https://www.monster.co.uk/jobs/search?q=&where=West+Lothian&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
Renfrewshire,https://www.monster.co.uk/jobs/search?q=&where=Renfrewshire&page=1&recency=today&rd=5&so=m.s.sh,unprocessed,,,,,
