locations,links,details,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Bedfordshire,https://www.reed.co.uk/jobs/jobs-in-Bedfordshire?direct=true&dateCreatedOffSet=today,success,,date | job title | company working | location working | link,,,
Berkshire,https://www.reed.co.uk/jobs/jobs-in-Berkshire?direct=true&dateCreatedOffSet=today,success,,,,,
Bristol,https://www.reed.co.uk/jobs/jobs-in-Bristol?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Buckinghamshire,https://www.reed.co.uk/jobs/jobs-in-Buckinghamshire?direct=true&dateCreatedOffSet=today,unprocessed,,job title,company working,location working,link
Cambridgeshire,https://www.reed.co.uk/jobs/jobs-in-Cambridgeshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Cheshire,https://www.reed.co.uk/jobs/jobs-in-Cheshire?direct=true&dateCreatedOffSet=today,unprocessed,,https://vimeo.com/859787669/5c65644d54,,,
Cornwall,https://www.reed.co.uk/jobs/jobs-in-Cornwall?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Cumbria,https://www.reed.co.uk/jobs/jobs-in-Cumbria?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Derbyshire,https://www.reed.co.uk/jobs/jobs-in-Derbyshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Devon,https://www.reed.co.uk/jobs/jobs-in-Devon?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Dorset,https://www.reed.co.uk/jobs/jobs-in-Dorset?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Durham,https://www.reed.co.uk/jobs/jobs-in-Durham?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Essex,https://www.reed.co.uk/jobs/jobs-in-Essex?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Gloucestershire,https://www.reed.co.uk/jobs/jobs-in-Gloucestershire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Greater Manchester,https://www.reed.co.uk/jobs/jobs-in-Greater-Manchester?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Hampshire,https://www.reed.co.uk/jobs/jobs-in-Hampshire?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
