posted,job title,company working,location working,salary,link
2h,Referral Clinican - Ophthalmology,South Devon Referrals,Abbotskerswell,"Up to £100,000 a year",https://www.simplyhired.co.uk/job/nC_sV0iNIuvWIoC2toZ3Lo0HsaUmauN7TKXL2yB5BQQ8x0JCy1_5Pw
,Advanced Nurse Practitioner - Fenland PCN,West Cambs Federation (WCF),Huntingdonshire,£37.7K - £47.7K a year,https://www.simplyhired.co.uk/job/nBnsCZcB_8E39G9srH-zmi8Pv109EHTgTcsQkXwNZ0rJsBaZfOkdVg
,Occupational Therapist Opportunities,Royal Borough of Greenwich,London,"£37,725 - £46,857 a year",https://www.simplyhired.co.uk/job/Y4rj1zDG0_4BZcR9sMzoEBchPlBxIGkN88rsVp86hzhrr5_lyk0YYQ
,Advanced Clinical Practitioner,South Hornchurch Medical Practice,Rainham,£30.8K - £39K a year,https://www.simplyhired.co.uk/job/1ljd9JPRNfAE8JvMbsjLrAfJ9c5RKn68zCuXsVqEayndu6MEy03Pcw
,Advanced Nurse Practitioner,Alexandra Group Medical Practice,Oldham,"From £52,000 a year",https://www.simplyhired.co.uk/job/f3zd_URmyMicOems8pxl05el0ZuaePW_lsDzeGM5Kclsn6Er-Gml_Q
3h,Central London - ECC Veterinary Surgeon,Dynamic Recruits,London,"Up to £93,000 a year",https://www.simplyhired.co.uk/job/zl9BX0GXdl8ju22RkE_XrxWrsYdFkIIecgzUCO59iIksAZqi2fBQmQ
6d,Chemotherapy Advanced Clinical Practitioner,King's College Hospital NHS Foundation Trust,London,"£56,388 - £62,785 a year",https://www.simplyhired.co.uk/job/m8IGY7oY9A70KBco55JuCvqZJ3MYUN2se89L52ou2Y8v7nEJEg_eyQ
1d,Senior Theatre Practitioner (Bank),Circle Health Group,Harrow,Up to £30 an hour,https://www.simplyhired.co.uk/job/ysErbrwA9TXVSDifcoGjS1Hn-vdDiP7kjXGmc5ncMtQYjtel1StrAQ
3h,Independent Hospital Veterinary Surgeon - London,London's Best Vet 2021,London,"Up to £70,000 a year",https://www.simplyhired.co.uk/job/8xtbdI_qg1SEvaDKdI6wvfSrSI6MyMqFZZQhzjly-wteXmdlpxlZkg
11d,Advanced Nurse Practitioner/Clinical Practitioner,St Mary's Surgery,Ely,£38.5K - £48.8K a year,https://www.simplyhired.co.uk/job/rgdJX77HMg93LaOBCclBVQ2iK496ouar6xfDSclDXayL94TJkXA9RQ
7d,Advanced Clinical Practitioner,Oxford Health NHS Foundation Trust,Aylesbury,"£50,952 - £57,349 a year",https://www.simplyhired.co.uk/job/ProifdU8IVktgI-ysRxMQhrcyLw-VswB5clMeU21ydi85C8av4M9iA
6d,Advanced Nurse Practitioner,GPDQ,Remote,£45 an hour,https://www.simplyhired.co.uk/job/xbvPmVrYT9zdKkh2bmZecpdwUjhdmw5QS_spiZ4Q1ibQHBzorHYwxg
13d,Advanced Clinical Practitioner - Orthopaedics,Medinet,York,From £450 a day,https://www.simplyhired.co.uk/job/6xPom0hDm2R0zG0txU1c5NAKg5yQTZslBtguOIFziFwmOTqo_q1StQ
,Trainee Advanced Clinical Practitioner,Kent & Medway NHS & Social Care Partnership Trust,Folkestone,"£43,742 - £50,056 a year",https://www.simplyhired.co.uk/job/yHT-dHr52LEwBopv_PWA7EetDWcQMVWqr6FNxrhVO0PvoRkHWquusw
,Registered Veterinary Nurse- Medical Department,"Abington Park Vets, Moulton Practice",Northampton,"Up to £35,000 a year",https://www.simplyhired.co.uk/job/FyYDrUPphVkIPTEYJE5XK1XMj21ATr8kuZuvgJVAL174PUzohWlIQg
,Deputy Manager's - Children's Residential Home's,Anchor Care and Education Limited,Grantham,"£34,922 - £38,133 a year",https://www.simplyhired.co.uk/job/g_SaXbeF_4L3fjbhKt7fmdC9pk-njIFPpELNX1IngMH02v3uKZAhzQ
,Advanced Nurse Practitioner (ANP),Oxleas NHS Foundation Trust,London,"£56,388 - £62,785 a year",https://www.simplyhired.co.uk/job/wyG7louU6CEnF32mLkHauoaFni_gER8wqVfgwQ7nFlVR-qGV1C61vQ
