date,job title,company working,location working,link
,Advanced Nurse Practitioner - Fenland PCN,West Cambs Federation (WCF),Huntingdonshire,https://www.simplyhired.co.uk/job/nBnsCZcB_8E39G9srH-zmi8Pv109EHTgTcsQkXwNZ0rJsBaZfOkdVg
11d,Advanced Nurse Practitioner,Integrated Care Specialists Group Ltd,Leicester,https://www.simplyhired.co.uk/job/Ho7Cn16QKRECZQHPUblefZPKxEX4WGWq2x68PWKTSLWPBKXGRU67zw
,Advanced Social Work Practitioner,Compass Fostering,Durham,https://www.simplyhired.co.uk/job/BwxXp8hY1mr0FMvdXcQ5zjTBpmkIO_GCcKKLHxw28L6mw-AbURpEeA
2d,"Aesthetic Practitioner, Beauty Therapist (Part Time)",skːn Clinics,Esher,https://www.simplyhired.co.uk/job/ctFXCc8Wg93fQp6oenpiZDwZSQmy7laMJWh0GDdTFeAWaavQtCnjyQ
,Locum Advanced Nurse Practitioner,Healthcare Resourcing,Southampton,https://www.simplyhired.co.uk/job/NAUKEbIrpHF0zCbuyX7IEwSRI7ORDm4p4h0TSHg5glJAva8JUN354g
4d,Advanced Clinical Practitioner,East London NHS Foundation Trust,Leighton Buzzard,https://www.simplyhired.co.uk/job/rLBPYV2iGNK5IJouhbnPAz5MykWkWoX92VdzG2Kh9JDNNSiUMwC5rw
5d,Advanced Clinical Practitioner,Oxford Health NHS Foundation Trust,Aylesbury,https://www.simplyhired.co.uk/job/ProifdU8IVktgI-ysRxMQhrcyLw-VswB5clMeU21ydi85C8av4M9iA
9d,Advanced Nurse Practitioner/Clinical Practitioner,St Mary's Surgery,Ely,https://www.simplyhired.co.uk/job/rgdJX77HMg93LaOBCclBVQ2iK496ouar6xfDSclDXayL94TJkXA9RQ
,Advanced Nurse Practitioner (ANP)- Urgent Treatment Centre Essex,Integrated Care Group Ltd,Essex,https://www.simplyhired.co.uk/job/GHVfEV4VYJuHp56oD3-jDq_5PiJDvpp5GgRkED3-QR6PU7fM6pNh3w
4d,PBS Practitioner,Cedar Health and Wellbeing,Preston,https://www.simplyhired.co.uk/job/Xgy0i-dQJdi11CfwBozvP4oBtsSczRQY7ePl2TG0wiy2bis0tCvE4w
,Advanced Practitioner Sonographer,Bedfordshire Hospitals NHS Foundation Trust,Luton,https://www.simplyhired.co.uk/job/evbkBBYXQSmzsMaSNbiZGwpBgP09aOpNEguRiY9fEl9OUxew48uLCg
,Trainee Advanced Clinical Practitioner,North Bristol NHS Trust,Bristol,https://www.simplyhired.co.uk/job/ZWy0vMs9nyqvjHuU_lD3zWuefgaakDn9JhTSsoncSO0_eNxP_XWkpQ
9d,Registered Nurse,Hallmark Care Homes,Rugby,https://www.simplyhired.co.uk/job/_nDZH85Ag0mHe2YclaA-0w3vdkGyMJG--sRD9pAxzst5n8Sziv6Pcg
,Paramedic Practitioner,Whitewater Health,Hook,https://www.simplyhired.co.uk/job/4i7kaDavHdmIP_U1h1Hgj_AQNzprMBDNrKJBt3W0VTfxMP43Hn2uBw
13d,Remote Advanced Autism Diagnostic Practitioner,Humber Teaching NHS Foundation Trust,Kingston upon Hull,https://www.simplyhired.co.uk/job/rZtcpUNACV3tSq5a8bCpGN01Jqj9CLg_GzdyRXSVX6w-Vz0Wi8Yf5g
,Deputy Manager's - Children's Residential Home's,Anchor Care and Education Limited,Grantham,https://www.simplyhired.co.uk/job/g_SaXbeF_4L3fjbhKt7fmdC9pk-njIFPpELNX1IngMH02v3uKZAhzQ
6d,Early Years Practitioner,Abacus Ark Nursery Schools,London,https://www.simplyhired.co.uk/job/CbMcIeX6utRBCDfwYxdHuHIIgU8Loeudhlu8kMsg-WMoTylDBMuQeA
,Advanced Clinical Practitioners,Partnering Health Ltd,Whiteley,https://www.simplyhired.co.uk/job/eqiFNd8FSCJYgggCQo6-RZNihWfCAqIgThM78BiJraOZir4nLGXZLw
2d,Advanced Clinical Practitioner,East and North Hertfordshire NHS Trust,Stevenage,https://www.simplyhired.co.uk/job/UvAf_SxbXmkIAoiGhjWnKwaHbMnYfEsCw3pPmyg1AxpDevX8o1wTYw
,Trainee Advanced Clinical Practitioner,Kent & Medway NHS & Social Care Partnership Trust,Folkestone,https://www.simplyhired.co.uk/job/yHT-dHr52LEwBopv_PWA7EetDWcQMVWqr6FNxrhVO0PvoRkHWquusw
,Advanced Nurse Practitioner - Fenland PCN,West Cambs Federation (WCF),Huntingdonshire,https://www.simplyhired.co.uk/job/nBnsCZcB_8E39G9srH-zmi8Pv109EHTgTcsQkXwNZ0rJsBaZfOkdVg
,Advanced Social Work Practitioner,Compass Fostering,Durham,https://www.simplyhired.co.uk/job/BwxXp8hY1mr0FMvdXcQ5zjTBpmkIO_GCcKKLHxw28L6mw-AbURpEeA
11d,Advanced Nurse Practitioner,Integrated Care Specialists Group Ltd,Leicester,https://www.simplyhired.co.uk/job/Ho7Cn16QKRECZQHPUblefZPKxEX4WGWq2x68PWKTSLWPBKXGRU67zw
,Locum Advanced Nurse Practitioner,Healthcare Resourcing,Southampton,https://www.simplyhired.co.uk/job/NAUKEbIrpHF0zCbuyX7IEwSRI7ORDm4p4h0TSHg5glJAva8JUN354g
,Advanced Nurse Practitioner ( 12 month's initially),Bradford District Care NHS Foundation Trust,Bradford,https://www.simplyhired.co.uk/job/_vi-oOaMnpfHucPVTbD-Di4igThvnJwsaQYGiT91yiTwnZKKy9rWHg
9d,Advanced Nurse Practitioner/Clinical Practitioner,St Mary's Surgery,Ely,https://www.simplyhired.co.uk/job/rgdJX77HMg93LaOBCclBVQ2iK496ouar6xfDSclDXayL94TJkXA9RQ
,Advanced Nurse Practitioner (ANP)- Urgent Treatment Centre Essex,Integrated Care Group Ltd,Essex,https://www.simplyhired.co.uk/job/GHVfEV4VYJuHp56oD3-jDq_5PiJDvpp5GgRkED3-QR6PU7fM6pNh3w
