locations,links,details,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Bedfordshire,https://www.simplyhired.co.uk/search?l=Bedfordshire&mi=exact&fdb=1,success,,,,date | job title | company working | location working | link,,,
Berkshire,https://www.simplyhired.co.uk/search?l=Berkshire&mi=exact&fdb=1,success,,,,,,,
Bristol,https://www.simplyhired.co.uk/search?l=Bristol&mi=exact&fdb=1,unprocessed,,,,,,,
Buckinghamshire,https://www.simplyhired.co.uk/search?l=Buckinghamshire&mi=exact&fdb=1,unprocessed,,,,job title,company working,location working,link
Cambridgeshire,https://www.simplyhired.co.uk/search?l=Cambridgeshire&mi=exact&fdb=1,unprocessed,,,,,,,
Cheshire,https://www.simplyhired.co.uk/search?l=Cheshire&mi=exact&fdb=1,unprocessed,,,,https://vimeo.com/859767366/5a63af789d,,,
Cornwall,https://www.simplyhired.co.uk/search?l=Cornwall&mi=exact&fdb=1,unprocessed,,,,,,,
Cumbria,https://www.simplyhired.co.uk/search?l=Cumbria&mi=exact&fdb=1,unprocessed,,,,,,,
Derbyshire,https://www.simplyhired.co.uk/search?l=Derbyshire&mi=exact&fdb=1,unprocessed,,,,,,,
Devon,https://www.simplyhired.co.uk/search?l=Devon&mi=exact&fdb=1,unprocessed,,,,,,,
Dorset,https://www.simplyhired.co.uk/search?l=Dorset&mi=exact&fdb=1,unprocessed,,,,,,,
Durham,https://www.simplyhired.co.uk/search?l=Durham&mi=exact&fdb=1,unprocessed,,,,,,,
Essex,https://www.simplyhired.co.uk/search?l=Essex&mi=exact&fdb=1,unprocessed,,,,,,,
Gloucestershire,https://www.simplyhired.co.uk/search?l=Gloucestershire&mi=exact&fdb=1,unprocessed,,,,,,,
Greater Manchester,https://www.simplyhired.co.uk/search?l=Greater Manchester&mi=exact&fdb=1,unprocessed,,,,,,,
Hampshire,https://www.simplyhired.co.uk/search?l=Hampshire&mi=exact&fdb=1,unprocessed,,,,,,,
Herefordshire,https://www.simplyhired.co.uk/search?l=Herefordshire&mi=exact&fdb=1,unprocessed,,,,,,,
Hertfordshire,https://www.simplyhired.co.uk/search?l=Hertfordshire&mi=exact&fdb=1,unprocessed,,,,,,,
