posted,job title,company working,location working,salary,link
2023-12-12T17:29:18.037,Advanced Practitioner - Contextual Safeguarding,London Borough of Hillingdon,"UB8, Uxbridge, UB8 1UW",£47805 - £51903 per annum,https://www.totaljobs.com/job/practitioner/london-borough-of-hillingdon-job101696315
2023-12-12T02:09:31.223,Advanced Clinical Practitioner - Croydon,Hays,"CR2, South Croydon",£50.0 - £65.0 per hour + competitive rate,https://www.totaljobs.com/job/advanced-clinical-practitioner/hays-job101642420
2023-12-12T02:03:46.67,Advanced Clinical Practitioner - Barking,Hays,"IG11, Barking",£50.0 - £65.0 per hour + Competitive rates,https://www.totaljobs.com/job/advanced-clinical-practitioner/hays-job101639337
2023-12-12T02:03:00.83,"Senior Practitioner, Loch Leven Community Campus, Kinross",Perth & Kinross Council,"KY13, Kinross, KY13 8FQ","£46,193 - £49,779 per year",https://www.totaljobs.com/job/senior-practitioner/perth-kinross-council-job101690152
2023-12-12T02:09:48.143,Advanced Clinical Practitioner,SW Healthcare Ltd,"Broadmoor Green, WR2 5FB","£50,952 per annum",https://www.totaljobs.com/job/advanced-clinical-practitioner/sw-healthcare-ltd-job101465474
2023-12-12T02:11:07.69,Advanced Aseptic Services Pharmacist,United Lincolnshire Hospitals NHS Trust,"Lincoln, Lincolnshire, LN2 5QY","From £50,952 to £57,349 per annum Competitive",https://www.totaljobs.com/job/pharmacist/united-lincolnshire-hospitals-nhs-trust-job101480534
2023-12-12T02:07:50.647,Theatre Practitioner - Anaesthetics,Spire Healthcare,"Pentwyn, CF23 8XL",Negotiable,https://www.totaljobs.com/job/theatre-practitioner/spire-healthcare-job101537554
2023-12-12T02:03:10.487,Consultant Physician,United Lincolnshire Hospitals NHS Trust,"Lincoln, Lincolnshire, LN2 5QY","From £88,364 to £119,133 per annum",https://www.totaljobs.com/job/consultant-physician/united-lincolnshire-hospitals-nhs-trust-job101689218
2023-12-12T02:02:00.523,Quantitative Research Internship-Financial Services (13 months)-London,State Street Corporation,London,Competitive,https://www.totaljobs.com/job/research-internship/state-street-corporation-job101645229
2023-12-12T02:13:22.407,Full-time Surgical First Assistant,Spire Healthcare,"Pensby, CH61 1AU",Negotiable,https://www.totaljobs.com/job/surgical-first-assistant/spire-healthcare-job101543312
2023-12-12T02:06:12.243,Locum Consultant Dermatologist,SYK Recruitment,"Newlands, YO12 6AB",£90.00 - £110.00 per hour,https://www.totaljobs.com/job/locum-consultant/syk-recruitment-job101503310
