date,job title,company working,location working,link
2023-09-07T14:40:16.263,Revolucion De Cuba - Assistant ManagerExternal link icon,Revolution Bars,"RG1, Reading, RG1 1EX",https://www.totaljobs.comhttps://www.caterer.com/job/assistant-manager/revolution-bars-job101115475
2023-09-07T14:06:57.733,Courier Delivery Driver - Self Employed,Yodel,"OX1, Oxford",https://www.totaljobs.com/job/courier-delivery-driver/yodel-job101115102
2023-09-07T13:56:19.987,Craft Professionals - Electrical,AWE Plc,"RG1, Reading",https://www.totaljobs.com/job/craft-professionals-electrical/awe-plc-job101114814
2023-09-07T16:51:07.797,PAT Tester,phs Group,"Holywell, OX1 3PW",https://www.totaljobs.com/job/pat-tester/phs-group-job101114155
2023-09-07T13:52:41.283,Kitchen Supervisor,Response,"Littlemore, OX4 4SU",https://www.totaljobs.com/job/kitchen-supervisor/response-job101114678
2023-09-07T11:14:48.51,Delivery Driver,Evri,"OX29, Witney",https://www.totaljobs.com/job/delivery-driver/evri-job101112765
2023-09-07T14:30:37.317,Food Service AssistantExternal link icon,Blue Arrow - Newbury,"Oxford, Oxfordshire",https://www.totaljobs.comhttps://www.caterer.com/job/food-service-assistant/blue-arrow-newbury-job101115358
2023-09-07T16:00:31.927,Events ManagerExternal link icon,Heckfield Place,"Hazeley, RG27 0LD",https://www.totaljobs.comhttps://www.caterer.com/job/events-manager/heckfield-place-job101114399
2023-09-07T12:00:24.047,Java Developer (Space),CGI,"RG1, Reading",https://www.totaljobs.com/job/java-developer/cgi-job101113514
2023-09-07T13:39:46.797,EDD Associate,Talent Finder,"Milton Lilbourne, SN9",https://www.totaljobs.com/job/associate/talent-finder-job101114547
2023-09-07T10:00:12.507,Sous ChefExternal link icon,Audley Group,"Inkpen Common, RG17 9AA",https://www.totaljobs.comhttps://www.caterer.com/job/sous-chef/audley-group-job101109735
2023-09-07T16:50:50.293,Air Conditioning Engineer,Bennett and Game Recruitment LTD,"RG1, Reading",https://www.totaljobs.com/job/air-conditioning-engineer/bennett-and-game-recruitment-ltd-job101113780
2023-09-07T11:15:21.41,Delivery Driver,Evri,"OX4, Oxford",https://www.totaljobs.com/job/delivery-driver/evri-job101112771
2023-09-07T11:51:33.247,Kitchen ManagerExternal link icon,Greene King Pubs - Local,"Radley, OX14 3AE",https://www.totaljobs.comhttps://www.caterer.com/job/kitchen-manager/greene-king-pubs-local-job101113378
2023-09-07T16:50:50.137,Commercial Gas Engineer,Bennett and Game Recruitment LTD,"RG1, Reading",https://www.totaljobs.com/job/commercial-gas-engineer/bennett-and-game-recruitment-ltd-job101114137
2023-09-07T10:44:04.343,Chef de PartieExternal link icon,Leonardo Royal Hotel Oxford,"Wolvercote, OX2 8AL",https://www.totaljobs.comhttps://www.caterer.com/job/chef-de-partie/leonardo-royal-hotel-oxford-job101110978
2023-09-07T14:03:15,Panel Management Expert,NielsenIQ,"Rose Hill, OX4",https://www.totaljobs.com/job/management-expert/nielseniq-job101115058
2023-09-07T09:05:31.6,Care Assistant,Care UK,"Speenhamland, RG14 1LN",https://www.totaljobs.com/job/care-assistant/care-uk-job101109304
2023-09-07T10:04:08.557,Mental Health Nurse,Elysium Healthcare Limited,"Nythe, SN3 3RT",https://www.totaljobs.com/job/mental-health-nurse/elysium-healthcare-limited-job101109785
2023-09-07T13:37:33.83,EDD Associate,Talent Finder,"Milton Lilbourne, SN9",https://www.totaljobs.com/job/associate/talent-finder-job101114519
2023-09-07T11:32:55.853,Chef ManagerExternal link icon,Chartwells,"SL3, Slough",https://www.totaljobs.comhttps://www.caterer.com/job/chef-manager/chartwells-job101112963
2023-09-07T12:48:29.717,Occupational Therapist Disability Assessor,SJB Medical,"RG1, Reading",https://www.totaljobs.com/job/disability-assessor/sjb-medical-job101114175
2023-09-07T16:50:36.997,Labourer / Case Cleaner - NIGHT - MUST DRIVE,Calibre,"Fairfields, rg21 3aa",https://www.totaljobs.com/job/cleaner-night/calibre-job101113489
2023-09-07T16:00:23.497,Chef de PartieExternal link icon,FlexiPubs (South) Ltd,"RG21, Basingstoke",https://www.totaljobs.comhttps://www.caterer.com/job/chef-de-partie/flexipubs-south-ltd-job101115511
